727932-Romo Paranage-15482.28
489677-Ubaldo Mainha-4200.33
155560-Anfnia Seixas-6939.27
519361-Elisa Themes-5766.35
851082-Rebeca Neto-16171.37
650777-Angelica Aranha-16061.97
283149-Ximena Castilho-20815.89
661600-Jonatas Felgueiras-13920.11
334117-Carminda Morais-10298.51
23277-Ubaldo Mainha-1434.27
917797-Romo Paranage-14651.55
148279-Joaquim Rufino-19466.45
155326-Odete Vasques-2123.17
429135-Odete Vasques-3908.36
698468-Angilica Galante-20266.87
874900-Esperada Cardoso-11648.54
918258-Tabalipa Duarte-4916.54
616455-Neuza Francia-15483.15
496311-Odilia Bello-18156.49
842830-Sara Lameiras-6581.89
989778-Delfim Higuera-16701.07
880612-Zungela Ipiranga-8147.71
804016-Edgar Carvalheiro-9329.27
653988-Danilo Olaio-17993.56
139459-Judite Damasceno-12725.71
794818-Armanda Amorim-2449.62
647308-Camila Gabeira-2818.80
605049-Quintiliano Sousa de Arronches-5004.97
573917-Judite Damasceno-7319.93
909690-Anind Zarco-2713.52
672473-Antonio Castelo-18493.42
106552-Taercio Mafra-5717.39
701604-Jonatas Felgueiras-11535.43
613188-Jorgina Bogalho-21411.97
360667-Camila Gabeira-19638.53
311473-Emedlio Pimentel-911.64
116385-Antonio Castelo-2768.11
91256-Taercio Mafra-3074.16
381333-Emedlio Pimentel-15749.90
837087-Lina Andrade-8144.16
998147-Augusta Paio-3166.05
265959-Romo Paranage-15467.12
821505-Branco Saraba-89.30
303761-Feledcia Peassego-2105.43
658214-Polibe Olivares-3949.03
99685-Delfina Perdigon-4412.15
503073-Tibofarcio Camacho-15143.31
270284-Almerinda Palmeira-19584.22
566830-Sara Lameiras-11743.20
339966-Jorgina Bogalho-9776.74
465227-Heleedsa Marins-20266.72
965094-Henrique Bento-16964.54
203828-Judite Damasceno-8017.92
985445-Guaraci Damasceno-2756.12
480286-Angilica Galante-19172.70
344162-Feledcia Peassego-5568.86
371892-Armanda Amorim-7343.89
727135-Estanislau Beserra-5841.76
982238-Honorina Lira-6067.43
743821-Honorina Lira-15340.83
437926-Honorina Lira-14900.64
220676-Lurdes Cotrim-1765.46
747678-Quintiliano Sousa de Arronches-3127.50
687832-Angilica Galante-9047.35
687032-Almor Caiado-19462.15
73239-Sidfnio Frois-11060.76
190632-Telma Villalobos-6229.64
155596-Regina Barcellos-7736.91
59387-Adelino Barra-18656.73
283339-Feledcia Peassego-11789.34
180890-Liana Cardim-16753.72
782893-Odilia Bello-15241.09
838955-Armanda Amorim-1243.73
203284-Zulmira Becerra-17800.61
663291-Clarindo Areosa-2592.64
426246-Manuel Capiperibe-2518.53
75482-Trajano Fagundes-515.60
114072-Liana Cardim-11727.16
845005-Basilio Pedroso-12787.75
802406-Fulvio Villegas-15440.59
875299-Adelino Barra-7987.56
12559-Elisa Themes-10695.39
211983-Ubaldo Mainha-19053.78
644695-Filomena Barrios-19605.81
328846-Cassandra Varejo-15107.61
744721-Telma Villalobos-3257.03
236483-Fulvio Villegas-11097.79
692376-Guida Juca-3024.09
355887-Esperada Cardoso-6352.54
209255-Basilio Pedroso-5675.73
512653-Tabalipa Duarte-16334.48
187654-Adelino Barra-10279.77
487640-Clara Alcantara-10751.89
160287-Delfim Higuera-20878.34
893429-Oliveira Senchez-6756.79
406802-Nuno Balsemeo-9324.24
773644-Guida Juca-18166.60
700941-Almerinda Palmeira-18038.69
860641-Anfnia Seixas-16677.41
795780-Oliveira Carmona-11264.67
306048-Tibofarcio Camacho-13589.80
572336-Mercia Caeira-18931.67
893889-Quintino Alcantara-21056.55
593311-Sofras Cuaresma-21208.15
906590-Ermelinda Quintela-15712.25
980666-Marilda Leio-7161.48
758136-Carminda Morais-19549.22
830836-Jonatas Felgueiras-10441.39
312838-Edgar Carvalheiro-13040.00
565499-Augusta Paio-18657.96
874874-Adelina Quadros-21261.02
665317-Tibofarcio Camacho-7361.90
916685-Clara Alcantara-9130.84
390015-Eurico Siqueira-2671.94
697300-Eurico Siqueira-7591.00
200090-Filomena Barrios-17520.81
126753-Feledcia Peassego-14243.55
230124-Rodolfo Paz-8857.03
202580-Artur Grillo-4385.32
949064-Delfina Garcia de Gondim-7180.97
162480-Tarrataca Soares-1444.89
871832-Spnia ou Sonia Guerreiro-3511.54
748423-Danilo Olaio-2185.87
312597-Polibe Olivares-8219.77
691937-Branco Saraba-21016.74
328930-Polibe Olivares-4383.91
597672-Cleusa Goes-10595.17
820865-Anind Zarco-14867.48
183098-Romo Paranage-13764.67
545013-Anind Zarco-2489.32
735093-Anind Zarco-13780.94
26682-Danilo Olaio-18279.66
24821-Regina Barcellos-13442.31
107047-Henrique Bento-20325.44
899376-Odilia Camello-17187.52
275693-Ermelinda Quintela-19740.81
765722-Almor Caiado-13671.95
611246-Fulvio Villegas-18530.16
675806-Mercia Caeira-1807.15
755888-Angelica Aranha-19492.60
966049-Quintiliano Sousa de Arronches-4345.12
148457-Regina Barcellos-20575.38
484783-Leonidas Mafra-11120.79
924416-Elisa Themes-6587.03
824666-Gaudancio Fiees-9646.02
431891-Eurico Siqueira-6413.94
429829-Liana Cardim-14411.60
461584-Flor Portella-4932.88
240929-Delfim Higuera-8309.63
3148-Oliveira Senchez-7452.36
697307-Basilio Pedroso-9542.02
2236-Tibofarcio Camacho-16023.50
273417-Tabalipa Duarte-8933.51
291975-Ermelinda Quintela-11932.76
370509-Anfnia Seixas-11766.17
717307-Delfim Higuera-7975.65
661299-Carminda Morais-4945.11
800159-Letedcia Gago-13269.73
471103-Jorgina Bogalho-4867.30
373582-Esperada Cardoso-14977.33
536257-Clarindo Areosa-3139.47
726925-Artur Grillo-4609.49
455916-Trajano Fagundes-16192.23
780757-Emedlia Silvera-8380.31
808494-Guida Juca-1499.18
954855-Jorgina Bogalho-12736.35
495535-Esperada Cardoso-18882.96
196254-Lina Andrade-12136.13
700964-Antonio Viegas-11026.00
685469-Lurdes Cotrim-17359.74
389307-Carminda Morais-7680.26
811231-Artur Grillo-7807.53
99697-Quintiliano Sousa de Arronches-16842.09
739490-Basilio Pedroso-2955.06
171378-Neuza Francia-15683.15
220026-Oliveira Senchez-247.86
350031-Emiliana Foquio-6012.82
991222-Almor Caiado-4439.94
121534-Polibe Olivares-462.12
465544-Romo Paranage-2388.97
575458-Gaudancio Fiees-17672.86
115877-Silvio Mata-12906.14
121743-Tibofarcio Camacho-4112.30
866473-Letedcia Gago-224.86
642041-Micaela Chavez-13176.57
335310-Rodolfo Paz-11783.94
179937-Sara Lameiras-4022.60
320871-Eurico Siqueira-16312.51
590975-Armindo Castalo-18973.73
977703-Jonatas Felgueiras-16873.55
338285-Leonidas Mafra-3514.46
241683-Tibofarcio Camacho-3510.79
898470-Daniel Vieyra-21472.00
280913-Henrique Bento-9165.83
169771-Jorgina Bogalho-17922.25
889888-Spnia ou Sonia Guerreiro-6290.77
396121-Joaquim Rufino-8482.57
184005-Tibofarcio Camacho-430.94
966145-Melinda Roserio-15746.85
959859-Rodolfo Paz-1031.79
366967-Anfnia Seixas-16595.17
60425-Camila Gabeira-5692.75
884168-Nuno Balsemeo-19081.74
937893-Urbano Rodrigues-9179.71
477444-Augusta Paio-416.57
190549-Flor Portella-8475.47
297236-Manuel Capiperibe-12129.43
663888-Joaquim Rufino-17391.27
798079-Branco Saraba-7226.10
821343-Ermelinda Quintela-3570.86
715577-Ubaldo Mainha-8814.53
56238-Emedlio Pimentel-19155.13
475556-Zungela Ipiranga-4549.14
611626-Delfim Higuera-12058.52
847274-Delfim Higuera-20433.29
308189-Augusta Paio-21375.20
362385-Polibe Olivares-5193.33
673448-Flamednia Leiria-18859.97
78600-Jussara Varanda-14263.12
685170-Quintino Alcantara-10376.49
470859-Neuza Francia-2598.81
290306-Emedlia Silvera-15919.38
385194-Clara Alcantara-10899.29
653993-Henrique Bento-9010.58
926673-Oliveira Senchez-19419.05
340300-Heleedsa Marins-17097.29
817467-Liana Cardim-8336.08
237943-Antonio Viegas-1617.98
302086-Trajano Fagundes-18848.76
976041-Carminda Morais-11350.78
252371-Oliveira Carmona-1630.65
981691-Carminda Morais-6283.55
740778-Odilia Bello-9527.41
413800-Honorina Lira-8969.11
938651-Letedcia Gago-13788.38
825478-Andreia Moita-2926.94
232127-Esperada Cardoso-6335.12
488538-Odete Vasques-14667.50
258601-Jonatas Felgueiras-2365.68
340394-Melinda Roserio-19605.44
587965-Dulce Froes-5533.13
716891-Aludsio Sosa-11912.95
299762-Cleusa Goes-14950.35
812134-Esperada Cardoso-19194.49
898337-Polibe Olivares-15229.04
889295-Augusta Paio-2012.46
125900-Cassandra Varejo-919.95
486890-Celeste Duarte-17144.83
645713-Anfnia Seixas-5122.58
197321-Telma Villalobos-591.15
826885-Filomena Barrios-13927.03
521616-Esperada Cardoso-4779.36
88173-Lurdes Cotrim-10542.36
395397-Emedlio Pimentel-20640.48
613635-Artur Grillo-1134.63
185912-Nuno Balsemeo-14393.52
452527-Andreia Moita-13089.94
747299-Domingos Pas-5559.97
791821-Letedcia Gago-14896.43
404530-Delfina Perdigon-16998.40
77820-Carminda Morais-1741.84
580414-Zungela Ipiranga-13707.05
377653-Filomena Barrios-16227.93
726666-Nuno Balsemeo-18831.89
524902-Emedlio Pimentel-9013.19
260068-Heleedsa Marins-560.21
724938-Artur Grillo-17874.74
184343-Neeamia Arruda-2867.37
159525-Tarrataca Soares-13155.29
876382-Rebeca Neto-8154.50
224364-Angelica Aranha-7470.44
275083-Adelino Barra-16636.25
261782-Nuno Balsemeo-4615.19
576-Emedlio Pimentel-7832.45
303599-Ermelinda Quintela-2532.86
69187-Almor Caiado-3945.47
186637-Guaraci Damasceno-14082.71
330903-Tibofarcio Camacho-12389.72
956173-Anind Zarco-16011.32
740862-Jussara Varanda-8595.24
882293-Danilo Olaio-12207.49
207351-Lina Andrade-19300.24
754005-Henrique Bento-13178.02
94075-Jussara Varanda-4383.19
139311-Armindo Castalo-13556.23
19700-Eurico Siqueira-20356.92
921155-Jonatas Felgueiras-17703.95
296203-Basilio Pedroso-18687.26
924846-Jorgina Bogalho-7391.98
82555-Cleusa Goes-20189.39
206562-Anind Zarco-9653.38
374689-Danilo Olaio-20475.45
683701-Rebeca Neto-1938.15
511251-Anfnia Seixas-13219.09
584006-Ermelinda Quintela-8725.65
459572-Andreia Moita-18945.85
365312-Manuel Capiperibe-1490.22
575220-Clarindo Areosa-17183.19
240936-Jonatas Felgueiras-4467.60
71041-Aludsio Sosa-19448.42
425566-Zulmira Becerra-5855.65
45226-Flamednia Leiria-14109.40
688752-Trajano Fagundes-17896.24
650632-Nuno Balsemeo-356.51
447793-Leonidas Mafra-12272.35
867482-Zulmira Becerra-13226.95
495240-Taercio Mafra-7165.76
517702-Fulvio Villegas-8171.52
298477-Flamednia Leiria-7159.09
277386-Guaraci Damasceno-20139.80
711642-Artur Grillo-12759.22
483540-Clara Alcantara-18699.67
316783-Dulce Froes-14311.72
481728-Tibefarcio Colao-12773.39
556098-Liana Cardim-18467.87
195556-Henrique Bento-2001.71
452507-Jorgina Bogalho-5206.66
215401-Polibe Olivares-2837.00
813147-Eurico Siqueira-13579.99
170590-Gaudancio Fiees-1877.92
402989-Branco Saraba-9395.04
684204-Mercia Caeira-2835.04
937978-Celeste Duarte-2673.37
815310-Angilica Galante-10848.19
343802-Esperada Cardoso-19103.75
107461-Honorina Lira-14690.87
82211-Letedcia Gago-16555.39
149716-Micaela Chavez-4712.71
368844-Henrique Bento-17820.84
496885-Danilo Olaio-17397.71
637583-Tibefarcio Colao-1416.90
183800-Henrique Bento-18683.75
729819-Flor Portella-18883.12
448040-Carminda Morais-19911.28
21799-Tibefarcio Colao-649.88
898889-Celeste Duarte-16320.96
946793-Antonio Viegas-15726.94
660750-Adelina Quadros-6033.60
591167-Tarrataca Soares-16887.29
3817-Cassandra Varejo-12497.42
725143-Eurico Siqueira-13003.80
466787-Branco Saraba-9690.80
195938-Odilia Bello-21258.10
778434-Ermelinda Quintela-19067.74
179653-Aludsio Sosa-15893.12
472045-Edgar Carvalheiro-8727.28
367519-Oliveira Senchez-21046.74
318581-Emiliana Foquio-15108.51
540633-Tarrataca Soares-15224.43
846822-Romo Paranage-13499.63
956794-Andreia Moita-11812.04
240834-Elisa Themes-19556.71
415851-Rodolfo Paz-18093.83
936175-Celeste Duarte-10096.78
584412-Lina Andrade-6413.74
220716-Trajano Fagundes-4673.63
468900-Carminda Morais-19567.30
411175-Guaraci Damasceno-3225.65
229961-Telma Villalobos-3311.06
294103-Jussara Varanda-16169.52
100485-Marilda Leio-16249.09
803042-Antonio Viegas-4966.66
101928-Guida Juca-1005.99
210609-Odilia Bello-1775.35
609830-Heleedsa Marins-5711.19
837742-Cleusa Goes-13463.40
309588-Nuno Balsemeo-19878.09
455807-Ximena Castilho-19207.36
969855-Letedcia Gago-17484.83
442897-Tibofarcio Camacho-10122.93
878752-Carminda Morais-9619.10
35267-Romo Paranage-7502.29
379230-Guida Juca-13463.31
622930-Tarrataca Soares-5810.58
544802-Ubaldo Mainha-3611.84
357203-Moaci Mendoa-1285.39
15828-Tarrataca Soares-7558.48
437250-Estanislau Beserra-528.20
423700-Almor Caiado-16777.90
515809-Nuno Balsemeo-7107.49
560401-Danilo Olaio-6491.45
546972-Daniel Vieyra-5266.96
200006-Almor Caiado-1515.92
935354-Tibofarcio Camacho-13332.15
721896-Lina Andrade-7862.76
627691-Cleusa Goes-12996.33
389809-Delfina Garcia de Gondim-11931.65
960798-Eurico Siqueira-2761.19
300890-Angelica Aranha-10185.42
123693-Oliveira Carmona-16040.58
756016-Ubaldo Mainha-15021.35
