923041-Domingos Pas-7786.67
177501-Sara Lameiras-17548.57
388926-Clarindo Areosa-5176.80
848608-Adelino Barra-10848.69
978374-Fulvio Villegas-10382.13
966249-Armindo Castalo-17720.23
242712-Carminda Morais-9203.00
232636-Fulvio Villegas-15151.74
331949-Jussara Varanda-12622.98
40974-Delfim Higuera-15613.20
118428-Camila Gabeira-7777.60
597110-Augusta Paio-10579.37
95345-Filomena Barrios-13383.26
755369-Heleedsa Marins-6626.91
647922-Clara Alcantara-14836.69
5468-Oliveira Senchez-4041.52
896833-Ubaldo Mainha-12403.95
149904-Tibefarcio Colao-10601.44
346150-Basilio Pedroso-12774.76
852257-Honorina Lira-4590.33
280984-Dulce Froes-4116.68
892955-Lina Andrade-14692.65
362170-Neuza Francia-648.76
28165-Sara Lameiras-21226.32
562814-Daniel Vieyra-7917.96
826688-Basilio Pedroso-5413.18
113564-Odete Vasques-1257.31
216811-Marilda Leio-17428.81
10355-Jonatas Felgueiras-12747.44
101772-Cleusa Goes-18965.96
29675-Odete Vasques-9523.93
717107-Rodolfo Paz-13682.86
857919-Ermelinda Quintela-6041.65
841039-Armindo Castalo-13251.93
998723-Armanda Amorim-3212.72
858400-Sara Lameiras-7780.99
353616-Tabalipa Duarte-1727.29
276139-Ximena Castilho-15729.45
825903-Lina Andrade-514.72
367559-Regina Barcellos-11655.74
458435-Sidfnio Frois-341.20
216959-Urbano Rodrigues-17298.37
240240-Quintino Alcantara-8682.11
139977-Quintiliano Sousa de Arronches-9350.52
704243-Telma Villalobos-4455.67
64607-Tibofarcio Camacho-8834.26
742891-Anfnia Seixas-5052.96
152279-Telma Villalobos-5515.72
959028-Danilo Olaio-20823.98
509288-Spnia ou Sonia Guerreiro-20802.82
171668-Clarindo Areosa-10042.56
743504-Camila Gabeira-14134.73
117752-Edgar Carvalheiro-4822.30
140230-Silvio Mata-4228.86
388159-Mercia Caeira-12105.91
391649-Urbano Rodrigues-14896.55
10093-Trajano Fagundes-18013.98
357054-Romo Paranage-1240.67
165696-Celeste Duarte-3480.26
930022-Cleusa Goes-16005.35
300861-Augusta Paio-14832.23
275184-Melinda Roserio-9484.83
602802-Judite Damasceno-13646.01
141635-Oliveira Carmona-11882.57
249073-Tabalipa Duarte-17446.45
923841-Leonidas Mafra-12075.53
540689-Odete Vasques-3550.80
453235-Marilda Leio-15074.37
937617-Sara Lameiras-19426.03
336090-Flamednia Leiria-17120.49
532567-Clarindo Areosa-19813.50
985482-Anind Zarco-6371.41
428146-Ximena Castilho-15567.44
100801-Basilio Pedroso-13134.02
176127-Guaraci Damasceno-8421.68
842015-Regina Barcellos-5886.08
679426-Andreia Moita-14361.48
914897-Ermelinda Quintela-17426.02
733413-Melinda Roserio-20595.39
577648-Artur Grillo-1743.92
956892-Quintino Alcantara-3149.24
75515-Quintino Alcantara-13379.10
193375-Delfina Garcia de Gondim-3618.54
911872-Camila Gabeira-164.71
403941-Rodolfo Paz-7246.48
57740-Tarrataca Soares-15494.90
264920-Emiliana Foquio-18331.69
68278-Mercia Caeira-12296.00
308515-Basilio Pedroso-20103.34
667679-Jonatas Felgueiras-2284.28
592146-Marilda Leio-17793.85
866424-Aludsio Sosa-17039.76
798402-Tibefarcio Colao-9506.86
990882-Edgar Carvalheiro-8841.14
101852-Adelina Quadros-5450.35
864033-Emedlia Silvera-16780.92
750322-Urbano Rodrigues-11958.74
301409-Judite Damasceno-16009.42
970528-Quintino Alcantara-1057.67
178944-Almerinda Palmeira-8004.34
