179375-Sidfnio Frois-18229.50
210443-Joaquim Rufino-8689.54
342103-Domingos Pas-18662.85
859642-Clara Alcantara-9127.37
990934-Gaudancio Fiees-18617.67
370230-Rodolfo Paz-15371.41
735249-Delfim Higuera-14003.67
413267-Romo Paranage-6145.70
724614-Cassandra Varejo-10313.08
370520-Rebeca Neto-7419.29
434357-Tibofarcio Camacho-13231.08
144441-Feledcia Peassego-758.35
191745-Daniel Vieyra-3671.77
162528-Moaci Mendoa-6140.37
825750-Urbano Rodrigues-11450.28
177197-Adelina Quadros-12573.98
14930-Cassandra Varejo-13801.33
766657-Jussara Varanda-2650.63
562939-Camila Gabeira-1303.04
67359-Basilio Pedroso-9976.74
865039-Filomena Barrios-19031.08
129282-Antonio Castelo-14577.69
864175-Sara Lameiras-524.77
884200-Henrique Bento-3066.40
640967-Adelina Quadros-18344.66
196915-Edgar Carvalheiro-18111.59
893516-Lurdes Cotrim-19131.74
473788-Anfnia Seixas-2824.57
623643-Cleusa Goes-20970.20
81661-Antonio Castelo-19196.04
984730-Jonatas Felgueiras-17519.85
512224-Filomena Barrios-12696.31
358235-Quintiliano Sousa de Arronches-13414.95
897570-Tarrataca Soares-16863.79
473521-Almor Caiado-10695.37
77021-Artur Grillo-13527.33
111005-Angilica Galante-19256.27
761666-Letedcia Gago-20411.01
991327-Zulmira Becerra-1662.41
524604-Henrique Bento-16273.22
248367-Taercio Mafra-7238.23
80623-Odete Vasques-9263.36
198517-Odilia Bello-1632.10
793795-Daniel Vieyra-9491.08
28984-Ximena Castilho-17505.81
246187-Edgar Carvalheiro-15651.75
138953-Emedlio Pimentel-16502.86
722212-Delfim Higuera-12385.64
246269-Manuel Capiperibe-5950.71
823119-Antonio Viegas-19975.96
520121-Tabalipa Duarte-13.61
718667-Filomena Barrios-8044.41
548039-Dulce Froes-15696.40
388763-Telma Villalobos-2019.50
608688-Clarindo Areosa-13029.79
881485-Delfina Garcia de Gondim-2647.42
404069-Spnia ou Sonia Guerreiro-10458.80
553605-Augusta Paio-12646.03
836585-Odete Vasques-12033.65
360299-Sara Lameiras-8117.05
206409-Marilda Leio-20092.25
392349-Camila Gabeira-1054.60
913991-Esperada Cardoso-6650.08
645922-Angelica Aranha-7343.97
2064-Anfnia Seixas-20000.05
939587-Adelina Quadros-12364.03
568216-Ubaldo Mainha-19438.07
998955-Honorina Lira-17528.77
509822-Rebeca Neto-5572.30
92146-Delfim Higuera-6705.91
270529-Guida Juca-15727.97
326044-Emedlio Pimentel-18401.89
822962-Melinda Roserio-2516.20
476153-Angelica Aranha-12652.66
79411-Ermelinda Quintela-15352.68
178072-Joaquim Rufino-6647.24
501972-Tarrataca Soares-2188.08
222768-Sidfnio Frois-18478.07
62671-Marilda Leio-3478.33
784302-Taercio Mafra-6089.25
694429-Rodolfo Paz-3337.12
862229-Nuno Balsemeo-16710.38
490018-Heleedsa Marins-11303.78
125834-Almor Caiado-2813.70
158440-Celeste Duarte-14734.50
712877-Danilo Olaio-17146.28
186982-Adelina Quadros-12696.46
984823-Regina Barcellos-11843.85
660007-Sara Lameiras-5759.64
81823-Edgar Carvalheiro-6477.48
94217-Augusta Paio-639.59
419950-Telma Villalobos-8338.21
451372-Dulce Froes-9153.12
102474-Danilo Olaio-9734.37
19177-Sara Lameiras-17425.96
719898-Lurdes Cotrim-9278.25
660576-Basilio Pedroso-19130.12
893076-Telma Villalobos-1995.13
965409-Emedlio Pimentel-18351.73
354692-Sidfnio Frois-9347.71
