325621-Feledcia Peassego-15529.89
350910-Liana Cardim-1506.48
152141-Judite Damasceno-16538.12
161643-Zulmira Becerra-10021.54
770582-Filomena Barrios-965.29
500387-Leonidas Mafra-7951.01
690785-Branco Saraba-5994.98
237395-Cleusa Goes-772.74
398986-Elisa Themes-16702.19
904877-Angilica Galante-19322.13
36574-Estanislau Beserra-16030.55
455767-Edgar Carvalheiro-9629.22
686579-Guida Juca-5215.91
892133-Aludsio Sosa-3232.69
824883-Celeste Duarte-8760.39
620126-Trajano Fagundes-10665.40
369784-Branco Saraba-15282.30
202601-Edgar Carvalheiro-9159.84
972877-Feledcia Peassego-2749.00
852362-Edgar Carvalheiro-21048.04
47421-Fulvio Villegas-20653.57
231561-Odilia Camello-11643.29
63893-Feledcia Peassego-17190.16
741093-Andreia Moita-13604.24
56198-Aludsio Sosa-14632.49
417071-Esperada Cardoso-6433.86
878464-Anfnia Seixas-21377.56
838081-Polibe Olivares-21144.75
588065-Regina Barcellos-20049.64
557306-Artur Grillo-13163.33
255839-Oliveira Carmona-18963.80
525636-Jorgina Bogalho-10031.28
717609-Armanda Amorim-9347.08
500251-Almor Caiado-11974.49
67908-Domingos Pas-6460.22
674812-Sara Lameiras-15244.39
821350-Odilia Camello-3328.34
231012-Basilio Pedroso-19656.72
108488-Tabalipa Duarte-577.76
401820-Oliveira Senchez-5743.33
15886-Sidfnio Frois-11525.89
503612-Jorgina Bogalho-12481.15
320766-Neuza Francia-18238.33
670278-Delfina Garcia de Gondim-12538.49
960633-Silvio Mata-20089.17
500364-Mercia Caeira-6701.08
942299-Armanda Amorim-4514.46
139872-Telma Villalobos-7336.77
844740-Elisa Themes-2853.02
29781-Sara Lameiras-15287.04
547356-Cleusa Goes-1262.36
961240-Almerinda Palmeira-2907.39
19346-Ermelinda Quintela-10390.60
785566-Delfim Higuera-19427.30
994-Daniel Vieyra-672.07
754532-Emedlio Pimentel-11707.08
463251-Henrique Bento-16016.50
489263-Delfim Higuera-13503.06
219705-Trajano Fagundes-3836.67
726290-Dulce Froes-7066.97
49974-Jussara Varanda-14882.45
995650-Tibefarcio Colao-3297.22
56252-Ubaldo Mainha-3817.42
465741-Delfina Garcia de Gondim-4315.27
724368-Ubaldo Mainha-16765.28
932746-Quintiliano Sousa de Arronches-4677.99
249334-Liana Cardim-4772.62
495484-Artur Grillo-20377.51
451264-Lurdes Cotrim-6724.88
192457-Feledcia Peassego-7342.14
153588-Daniel Vieyra-6497.80
350543-Judite Damasceno-15717.76
803288-Quintiliano Sousa de Arronches-4533.48
316235-Moaci Mendoa-12658.14
559664-Adelino Barra-9680.55
526911-Neuza Francia-15689.88
201988-Silvio Mata-15912.37
43548-Carminda Morais-14862.49
707814-Letedcia Gago-19877.00
39527-Esperada Cardoso-12334.09
68468-Tibefarcio Colao-7520.79
858345-Heleedsa Marins-6699.46
370400-Liana Cardim-12777.49
623977-Manuel Capiperibe-14670.65
404644-Elisa Themes-10331.41
746097-Almor Caiado-431.85
370166-Jussara Varanda-18153.87
772804-Ubaldo Mainha-15089.46
926924-Adelina Quadros-4741.71
84933-Armindo Castalo-12422.10
456771-Augusta Paio-2247.95
125116-Armanda Amorim-10576.53
569265-Heleedsa Marins-19230.24
878176-Celeste Duarte-10551.64
1238-Leonidas Mafra-10330.85
179172-Letedcia Gago-13858.31
861075-Ximena Castilho-4337.18
296282-Ermelinda Quintela-8014.90
496629-Tibofarcio Camacho-2319.34
913381-Odilia Bello-15450.19
