138864-Esperada Cardoso-8227.67
492731-Delfina Garcia de Gondim-20869.23
147571-Urbano Rodrigues-4372.04
504476-Domingos Pas-2827.70
909614-Henrique Bento-12296.70
409053-Delfina Perdigon-9987.66
822376-Trajano Fagundes-14487.91
683953-Trajano Fagundes-10313.22
266818-Silvio Mata-8834.24
641147-Adelino Barra-20878.88
535883-Artur Grillo-21350.27
433521-Fulvio Villegas-16580.36
546849-Flamednia Leiria-15747.00
516645-Spnia ou Sonia Guerreiro-13267.21
121027-Honorina Lira-8941.46
448430-Rebeca Neto-16205.56
387211-Leonidas Mafra-8538.94
228804-Nuno Balsemeo-8865.78
844550-Lurdes Cotrim-19648.45
831636-Zungela Ipiranga-5120.02
178690-Adelino Barra-11845.38
292956-Silvio Mata-19369.72
846854-Taercio Mafra-6310.35
605197-Rebeca Neto-5400.68
133984-Sara Lameiras-3747.05
848787-Estanislau Beserra-16631.54
846018-Odilia Bello-19755.41
633776-Leonidas Mafra-15482.86
744047-Artur Grillo-16761.31
794960-Nuno Balsemeo-15404.79
250011-Jonatas Felgueiras-5781.74
248064-Basilio Pedroso-17594.67
798202-Danilo Olaio-7288.30
47996-Sofras Cuaresma-709.52
534628-Odete Vasques-686.02
167711-Eurico Siqueira-19514.51
389002-Cassandra Varejo-2758.13
988174-Aludsio Sosa-7854.47
681884-Tibofarcio Camacho-2167.07
736951-Moaci Mendoa-16005.02
794521-Dulce Froes-5822.69
906829-Aludsio Sosa-14445.17
991046-Edgar Carvalheiro-15503.15
626724-Anind Zarco-3268.79
330509-Celeste Duarte-12484.14
256132-Odilia Camello-9140.98
335672-Flamednia Leiria-9444.87
472692-Filomena Barrios-459.91
895997-Tabalipa Duarte-12526.73
482840-Taercio Mafra-869.27
548506-Augusta Paio-13557.21
304389-Guida Juca-19486.28
527093-Emedlia Silvera-16551.35
96177-Carminda Morais-11062.78
100486-Romo Paranage-8421.25
223059-Letedcia Gago-12373.81
312684-Silvio Mata-18077.17
699027-Tarrataca Soares-2337.06
564922-Quintiliano Sousa de Arronches-2111.18
621710-Neuza Francia-12686.01
697057-Edgar Carvalheiro-6516.66
40972-Danilo Olaio-10859.71
417873-Branco Saraba-360.14
109608-Elisa Themes-3781.10
196879-Lurdes Cotrim-357.27
214314-Nuno Balsemeo-12249.50
813271-Aludsio Sosa-16022.63
931809-Domingos Pas-14434.78
525398-Andreia Moita-15340.43
308628-Odilia Bello-20906.65
18448-Fulvio Villegas-4188.78
449381-Liana Cardim-13959.19
540959-Moaci Mendoa-238.53
767876-Honorina Lira-4.79
273209-Oliveira Carmona-16526.76
420171-Jonatas Felgueiras-19338.91
464893-Oliveira Carmona-17582.20
743049-Odilia Bello-20701.52
210979-Tibofarcio Camacho-7681.94
313736-Celeste Duarte-12525.02
17808-Anind Zarco-14625.21
904405-Neuza Francia-6064.87
761564-Joaquim Rufino-6330.28
632731-Ximena Castilho-10497.95
614082-Oliveira Carmona-8155.85
838809-Melinda Roserio-7725.21
13617-Quintino Alcantara-105.03
451192-Adelina Quadros-3372.46
399616-Celeste Duarte-19864.57
391107-Clara Alcantara-8742.87
563729-Cassandra Varejo-4168.21
614537-Almerinda Palmeira-12657.25
100857-Tibefarcio Colao-2120.03
440562-Leonidas Mafra-15866.36
743259-Ermelinda Quintela-14727.67
754885-Tabalipa Duarte-20536.05
173402-Sidfnio Frois-2591.35
812080-Delfina Perdigon-19865.86
119080-Angelica Aranha-895.02
136154-Odilia Bello-3968.94
