994860-Zungela Ipiranga-5636.98
964722-Emiliana Foquio-7732.96
899052-Emedlio Pimentel-3791.90
532376-Romo Paranage-19008.45
808737-Honorina Lira-3810.96
643815-Basilio Pedroso-16882.02
762093-Moaci Mendoa-14325.34
18703-Delfina Garcia de Gondim-16808.82
577613-Filomena Barrios-6750.69
859828-Aludsio Sosa-8570.14
435863-Aludsio Sosa-1915.26
615562-Moaci Mendoa-11524.90
605948-Delfina Garcia de Gondim-2569.06
394236-Spnia ou Sonia Guerreiro-12854.38
130770-Antonio Viegas-14472.47
770721-Melinda Roserio-1704.07
279190-Oliveira Carmona-2511.69
226356-Taercio Mafra-21161.88
177636-Antonio Castelo-1322.82
96278-Gaudancio Fiees-496.58
727183-Filomena Barrios-740.94
572639-Lina Andrade-21417.09
714106-Romo Paranage-19508.32
45634-Edgar Carvalheiro-14287.42
738322-Carminda Morais-2363.89
42984-Clara Alcantara-15061.60
549749-Camila Gabeira-16604.39
590423-Neeamia Arruda-12751.82
545469-Emiliana Foquio-13743.60
569132-Regina Barcellos-389.72
607179-Tarrataca Soares-17156.99
170821-Armanda Amorim-5257.88
741133-Emedlio Pimentel-15375.03
217167-Heleedsa Marins-8350.65
131299-Edgar Carvalheiro-3193.19
324970-Emedlio Pimentel-3713.62
409292-Sara Lameiras-5319.12
662710-Ermelinda Quintela-860.19
136632-Polibe Olivares-7145.64
375966-Gaudancio Fiees-9451.33
789598-Henrique Bento-16347.41
780687-Taercio Mafra-8274.28
513852-Urbano Rodrigues-18231.69
78688-Sofras Cuaresma-5839.02
902137-Ubaldo Mainha-5425.50
631321-Telma Villalobos-9988.75
520610-Emiliana Foquio-21232.84
849193-Judite Damasceno-20194.63
392482-Ubaldo Mainha-6561.16
779059-Basilio Pedroso-3130.09
654257-Neeamia Arruda-10397.98
745259-Filomena Barrios-7630.95
624706-Adelino Barra-16246.09
523054-Danilo Olaio-12802.04
485939-Almor Caiado-11586.23
768035-Almerinda Palmeira-14962.54
928677-Trajano Fagundes-16517.75
484912-Guaraci Damasceno-11381.40
576218-Elisa Themes-12305.33
231713-Esperada Cardoso-11558.28
20529-Trajano Fagundes-9529.99
582550-Emedlia Silvera-1902.60
55893-Romo Paranage-15408.85
730746-Neeamia Arruda-999.24
791572-Trajano Fagundes-9974.10
918727-Tibofarcio Camacho-2576.95
437181-Zungela Ipiranga-3996.23
239875-Adelina Quadros-19551.08
538574-Emedlio Pimentel-7152.01
437208-Domingos Pas-16894.33
860798-Silvio Mata-15279.69
598943-Adelino Barra-18655.52
915978-Clara Alcantara-13821.24
874812-Heleedsa Marins-19008.55
37781-Neuza Francia-18581.63
823375-Clara Alcantara-17965.98
895618-Judite Damasceno-5675.51
742418-Heleedsa Marins-2943.08
729318-Marilda Leio-8488.46
765154-Feledcia Peassego-7398.00
145337-Adelino Barra-2801.77
524123-Armanda Amorim-5097.76
163124-Augusta Paio-442.08
203398-Branco Saraba-5080.83
167999-Flamednia Leiria-10341.21
59220-Guida Juca-6334.61
128742-Emedlia Silvera-8023.56
337948-Heleedsa Marins-10450.99
171750-Telma Villalobos-3523.44
206365-Esperada Cardoso-21021.09
673506-Ermelinda Quintela-10077.71
142760-Domingos Pas-1698.12
163972-Almerinda Palmeira-19259.75
825739-Spnia ou Sonia Guerreiro-13746.95
858808-Jorgina Bogalho-7633.79
571103-Zulmira Becerra-10894.38
881352-Anfnia Seixas-4630.83
259439-Estanislau Beserra-14314.21
945241-Tibofarcio Camacho-16545.93
993683-Ximena Castilho-18477.99
