983785-Emedlia Silvera-7824.92
809371-Dulce Froes-4774.85
914796-Neeamia Arruda-21466.56
853356-Estanislau Beserra-15939.94
349298-Flor Portella-15745.76
609917-Anind Zarco-16021.08
972905-Ximena Castilho-17563.53
390832-Danilo Olaio-20202.93
992591-Daniel Vieyra-7852.92
388114-Odilia Bello-1016.50
768535-Urbano Rodrigues-20626.34
378470-Silvio Mata-8909.59
121502-Artur Grillo-4103.91
688971-Taercio Mafra-20512.44
734062-Silvio Mata-16151.10
789758-Ermelinda Quintela-7202.36
904066-Antonio Castelo-11672.09
597115-Joaquim Rufino-3281.16
826894-Lina Andrade-706.25
239719-Adelino Barra-15260.13
408343-Rebeca Neto-1952.98
68739-Regina Barcellos-11036.76
730978-Quintino Alcantara-6083.14
49492-Sara Lameiras-3595.20
878586-Estanislau Beserra-5682.54
799825-Armanda Amorim-7680.43
345214-Tibofarcio Camacho-2884.64
243425-Angelica Aranha-13110.61
467030-Armanda Amorim-19248.88
466290-Edgar Carvalheiro-18906.44
631843-Eurico Siqueira-14185.69
947474-Odete Vasques-12911.54
222555-Almor Caiado-19858.85
888233-Liana Cardim-13544.50
830568-Delfina Garcia de Gondim-9908.45
882508-Aludsio Sosa-3221.62
170320-Ximena Castilho-9505.07
183263-Leonidas Mafra-3372.67
312169-Armindo Castalo-5027.34
65981-Estanislau Beserra-847.16
349166-Anfnia Seixas-13323.48
930258-Clara Alcantara-20132.96
187729-Armindo Castalo-8710.34
275785-Urbano Rodrigues-4634.39
883396-Nuno Balsemeo-6942.70
744624-Neeamia Arruda-10311.52
165580-Romo Paranage-468.39
533978-Daniel Vieyra-10560.22
479636-Fulvio Villegas-918.51
345802-Anind Zarco-15199.17
855841-Augusta Paio-4237.82
934450-Guida Juca-12937.12
199424-Tabalipa Duarte-9384.16
349037-Lurdes Cotrim-21136.92
465486-Almerinda Palmeira-8840.92
427356-Aludsio Sosa-21128.37
550826-Danilo Olaio-1255.19
697460-Antonio Castelo-16530.53
110685-Camila Gabeira-15640.49
773883-Liana Cardim-17833.94
636991-Micaela Chavez-20542.50
364558-Romo Paranage-16477.01
904058-Delfina Perdigon-18549.00
478046-Armanda Amorim-3667.66
7459-Flor Portella-6852.31
290162-Adelina Quadros-16536.59
757718-Emedlio Pimentel-14467.26
547744-Almor Caiado-10149.40
876207-Angelica Aranha-6955.67
55278-Marilda Leio-9913.41
150937-Lurdes Cotrim-19869.78
545054-Manuel Capiperibe-7198.58
651537-Tabalipa Duarte-13507.62
690818-Honorina Lira-4557.57
938682-Adelina Quadros-6457.64
278526-Letedcia Gago-4675.71
971326-Trajano Fagundes-9523.29
699015-Tarrataca Soares-21468.76
479218-Clara Alcantara-8122.69
307924-Tibofarcio Camacho-13353.24
563639-Honorina Lira-9409.91
585852-Neeamia Arruda-530.53
309015-Zulmira Becerra-21127.04
448903-Oliveira Carmona-16159.12
354554-Anfnia Seixas-6763.67
7806-Leonidas Mafra-1781.61
319663-Quintiliano Sousa de Arronches-866.49
390008-Eurico Siqueira-5273.48
883597-Antonio Viegas-10058.27
460172-Antonio Castelo-9386.52
377263-Guida Juca-21092.15
304566-Tibefarcio Colao-1293.17
573935-Daniel Vieyra-9416.26
638486-Delfina Garcia de Gondim-21060.75
943560-Artur Grillo-18419.46
529321-Domingos Pas-8344.71
685931-Odilia Bello-7373.06
171108-Domingos Pas-8496.96
565300-Andreia Moita-390.96
712010-Anfnia Seixas-11485.57
215573-Honorina Lira-8744.50
710574-Gaudancio Fiees-12037.55
258418-Jonatas Felgueiras-7088.45
510644-Celeste Duarte-7404.84
707124-Tibefarcio Colao-17544.27
270190-Neeamia Arruda-1014.73
994720-Artur Grillo-5441.59
368393-Augusta Paio-18873.30
90223-Micaela Chavez-19828.95
155780-Eurico Siqueira-16431.23
872989-Quintiliano Sousa de Arronches-558.55
321841-Elisa Themes-3095.66
604539-Cleusa Goes-3098.24
997396-Adelino Barra-218.51
498369-Telma Villalobos-10615.58
462014-Adelina Quadros-19578.29
896135-Feledcia Peassego-7413.40
636749-Filomena Barrios-17937.08
73864-Flamednia Leiria-13473.15
123782-Angelica Aranha-4079.87
730322-Flamednia Leiria-20618.60
303451-Judite Damasceno-19756.98
631384-Sidfnio Frois-2788.19
320760-Anfnia Seixas-603.33
977361-Antonio Castelo-12788.31
93803-Aludsio Sosa-14812.93
683055-Branco Saraba-15021.89
431048-Oliveira Senchez-20788.26
25242-Anind Zarco-19134.16
514585-Celeste Duarte-10450.56
160144-Polibe Olivares-6223.03
661139-Cleusa Goes-15196.07
211794-Armanda Amorim-6457.54
103230-Guaraci Damasceno-8570.75
846091-Joaquim Rufino-7465.69
147503-Clarindo Areosa-20686.62
310359-Domingos Pas-6298.62
296676-Silvio Mata-12692.93
23903-Leonidas Mafra-15793.18
65911-Armindo Castalo-13953.49
94832-Feledcia Peassego-2130.26
500009-Odilia Camello-2356.87
119633-Telma Villalobos-17728.99
74597-Carminda Morais-8395.18
845945-Anfnia Seixas-17523.64
964749-Jussara Varanda-12780.28
376673-Letedcia Gago-13743.38
10555-Liana Cardim-6351.51
470441-Almor Caiado-8541.75
862899-Elisa Themes-12312.41
828064-Antonio Castelo-268.52
96258-Quintiliano Sousa de Arronches-14503.53
970931-Emedlio Pimentel-10349.88
116173-Domingos Pas-12070.63
336392-Augusta Paio-20269.09
641654-Almor Caiado-4783.90
125761-Almerinda Palmeira-1902.83
471770-Quintiliano Sousa de Arronches-5172.94
110729-Angilica Galante-13907.64
100585-Urbano Rodrigues-4291.43
923218-Neeamia Arruda-8249.71
287830-Aludsio Sosa-10530.68
855559-Odilia Bello-4855.55
321847-Tarrataca Soares-19156.71
306277-Joaquim Rufino-19055.24
171292-Melinda Roserio-12016.82
580747-Adelino Barra-18728.08
328649-Trajano Fagundes-2537.96
744378-Quintino Alcantara-19089.06
335485-Manuel Capiperibe-19750.07
684233-Marilda Leio-18474.47
369103-Nuno Balsemeo-17392.51
439159-Lurdes Cotrim-18861.06
981331-Quintiliano Sousa de Arronches-19134.28
619272-Ermelinda Quintela-5132.51
166224-Aludsio Sosa-15854.22
619640-Edgar Carvalheiro-21130.03
839841-Domingos Pas-13228.48
870086-Antonio Viegas-19975.92
180816-Clarindo Areosa-6964.44
118579-Liana Cardim-7981.28
60494-Polibe Olivares-1820.14
553765-Jorgina Bogalho-2984.53
118378-Quintiliano Sousa de Arronches-349.51
870507-Quintino Alcantara-5985.70
146544-Cleusa Goes-18687.36
620848-Camila Gabeira-288.72
935532-Lurdes Cotrim-17117.12
529663-Emiliana Foquio-9920.98
546673-Fulvio Villegas-14082.79
87149-Esperada Cardoso-12419.14
590660-Sofras Cuaresma-13179.75
345036-Tibefarcio Colao-5420.45
238541-Rodolfo Paz-15471.63
560318-Ubaldo Mainha-19540.34
649349-Romo Paranage-15206.97
160573-Armindo Castalo-14488.34
191091-Elisa Themes-14637.69
585904-Flor Portella-18192.99
89391-Cassandra Varejo-1293.62
553388-Quintino Alcantara-5164.49
629426-Dulce Froes-5330.40
235664-Heleedsa Marins-19183.85
294908-Ximena Castilho-1161.40
304841-Joaquim Rufino-13347.00
884737-Joaquim Rufino-17923.49
717171-Aludsio Sosa-9270.26
421784-Tabalipa Duarte-8517.34
354769-Sidfnio Frois-7418.36
386214-Andreia Moita-4474.42
213286-Delfim Higuera-6649.95
954564-Letedcia Gago-451.41
186896-Oliveira Senchez-9173.77
980397-Emedlia Silvera-14326.71
937095-Moaci Mendoa-16259.76
443847-Trajano Fagundes-20958.61
163551-Zulmira Becerra-4160.95
717055-Ubaldo Mainha-9105.16
556244-Adelina Quadros-9958.71
210780-Urbano Rodrigues-16642.57
227337-Regina Barcellos-289.87
693064-Flamednia Leiria-16269.42
714973-Clara Alcantara-13336.45
121748-Letedcia Gago-18386.25
668284-Silvio Mata-3940.79
431250-Honorina Lira-11015.23
59995-Tabalipa Duarte-11866.86
231446-Lina Andrade-20984.03
620341-Henrique Bento-10054.76
361641-Angelica Aranha-18746.87
61089-Guida Juca-5404.30
239369-Angilica Galante-18141.23
74965-Lurdes Cotrim-19338.38
