209914-Rebeca Neto-17714.46
569739-Nuno Balsemeo-2900.48
295243-Fulvio Villegas-5337.55
240610-Fulvio Villegas-11776.65
222098-Delfina Garcia de Gondim-14315.11
742044-Micaela Chavez-7652.23
967554-Micaela Chavez-8385.50
904932-Almerinda Palmeira-18562.82
840769-Polibe Olivares-168.18
495330-Filomena Barrios-12149.38
844499-Lurdes Cotrim-18571.48
31830-Clarindo Areosa-16442.35
895900-Odilia Camello-17135.30
499246-Romo Paranage-20727.71
555543-Urbano Rodrigues-9865.09
694971-Zulmira Becerra-8847.67
183537-Odete Vasques-15247.35
236254-Rodolfo Paz-7201.56
287556-Estanislau Beserra-18219.97
514533-Delfina Garcia de Gondim-9840.08
647727-Dulce Froes-4193.69
227488-Odilia Camello-6984.01
371563-Antonio Castelo-18362.97
270788-Liana Cardim-12223.13
835470-Letedcia Gago-3323.85
943718-Adelina Quadros-21250.79
758216-Henrique Bento-20037.79
639239-Edgar Carvalheiro-2435.32
318973-Emedlia Silvera-7058.20
300112-Neeamia Arruda-3098.51
252492-Angilica Galante-13674.98
353323-Clarindo Areosa-13552.42
205049-Tibofarcio Camacho-5631.30
586560-Angelica Aranha-16724.01
771171-Neuza Francia-15657.53
464628-Heleedsa Marins-16746.96
441681-Odilia Bello-6169.71
153531-Adelino Barra-13786.10
537815-Emiliana Foquio-15209.29
918950-Jorgina Bogalho-10607.46
824972-Henrique Bento-12129.98
100379-Emedlio Pimentel-16873.51
777002-Tarrataca Soares-19805.56
783445-Quintino Alcantara-16586.59
102603-Filomena Barrios-6469.47
806371-Daniel Vieyra-20794.12
106073-Cleusa Goes-3983.70
185245-Artur Grillo-14235.23
829198-Danilo Olaio-15800.61
776432-Judite Damasceno-5424.96
574185-Oliveira Carmona-14423.21
902888-Moaci Mendoa-4039.38
957324-Liana Cardim-2732.31
658113-Melinda Roserio-7390.15
276043-Eurico Siqueira-8761.17
162938-Ximena Castilho-10169.24
746163-Emiliana Foquio-11390.30
816639-Jussara Varanda-10987.31
497253-Telma Villalobos-11395.61
623331-Polibe Olivares-19673.37
494985-Silvio Mata-17444.28
881060-Oliveira Senchez-18383.30
134878-Camila Gabeira-14568.04
461490-Angilica Galante-11629.79
447454-Honorina Lira-4817.71
896647-Artur Grillo-9789.34
273696-Almor Caiado-341.96
20282-Emedlio Pimentel-4120.13
806289-Cassandra Varejo-13435.10
653180-Emedlio Pimentel-546.50
512608-Tarrataca Soares-19011.45
693195-Rebeca Neto-16535.42
811670-Urbano Rodrigues-9991.94
677741-Rebeca Neto-19186.55
558500-Andreia Moita-17756.19
556551-Neeamia Arruda-12170.32
994617-Guida Juca-1748.22
462420-Camila Gabeira-11948.42
177909-Tarrataca Soares-14056.49
970281-Flor Portella-2398.18
99617-Ermelinda Quintela-3873.31
172806-Feledcia Peassego-11430.24
92737-Cleusa Goes-7633.52
333086-Heleedsa Marins-16690.30
551965-Rodolfo Paz-3041.04
541770-Antonio Castelo-18396.61
981791-Esperada Cardoso-8501.72
618191-Guaraci Damasceno-6221.51
267609-Ximena Castilho-1068.45
943650-Delfina Garcia de Gondim-4438.15
269647-Mercia Caeira-14529.15
740584-Jorgina Bogalho-5836.04
786577-Anfnia Seixas-18216.97
26154-Liana Cardim-1815.46
920803-Anind Zarco-11210.98
467036-Lurdes Cotrim-8271.56
45148-Dulce Froes-2786.54
445186-Daniel Vieyra-16572.73
203785-Delfina Perdigon-10800.57
127234-Armindo Castalo-20380.00
