148995-Branco Saraba-19240.20
640926-Domingos Pas-8348.54
161236-Aludsio Sosa-339.75
585037-Dulce Froes-10964.59
836962-Angelica Aranha-2324.68
905087-Camila Gabeira-15933.45
468944-Quintiliano Sousa de Arronches-10998.62
263310-Lurdes Cotrim-2697.24
931455-Clarindo Areosa-7584.90
814704-Telma Villalobos-2734.35
241986-Clara Alcantara-471.01
372555-Carminda Morais-17427.42
37337-Flamednia Leiria-14964.19
869241-Artur Grillo-15610.04
550873-Honorina Lira-14703.58
572431-Esperada Cardoso-9727.79
695849-Sara Lameiras-20702.48
881778-Regina Barcellos-12010.28
978392-Branco Saraba-2804.75
33815-Almor Caiado-798.07
191757-Ermelinda Quintela-17220.48
370080-Heleedsa Marins-7129.37
402899-Heleedsa Marins-14429.75
926795-Silvio Mata-3493.60
909361-Silvio Mata-20029.11
360412-Quintiliano Sousa de Arronches-1510.00
156651-Armanda Amorim-14196.96
847686-Letedcia Gago-4290.94
746167-Lurdes Cotrim-11230.72
650936-Nuno Balsemeo-8126.23
991092-Micaela Chavez-8898.14
431981-Carminda Morais-11311.84
130882-Leonidas Mafra-2241.04
249031-Flamednia Leiria-3500.30
404169-Guida Juca-4579.40
916907-Tarrataca Soares-7803.00
208684-Danilo Olaio-7629.73
264796-Taercio Mafra-15058.21
864905-Angelica Aranha-11310.83
940467-Elisa Themes-3972.51
822537-Nuno Balsemeo-17252.42
269455-Emiliana Foquio-8671.90
653774-Henrique Bento-17133.21
529185-Lurdes Cotrim-14650.86
764928-Silvio Mata-16834.91
428228-Odete Vasques-16914.07
91517-Liana Cardim-3141.32
966996-Sofras Cuaresma-17693.97
936442-Dulce Froes-8157.79
978249-Armindo Castalo-20287.19
158934-Estanislau Beserra-11930.58
153904-Gaudancio Fiees-308.44
849591-Spnia ou Sonia Guerreiro-14024.98
132541-Antonio Castelo-3085.43
962255-Joaquim Rufino-13933.08
248093-Jorgina Bogalho-2172.53
317764-Estanislau Beserra-12263.44
876975-Odilia Camello-15453.11
773412-Armanda Amorim-16032.47
753243-Odete Vasques-3757.42
983756-Carminda Morais-8229.01
972395-Clara Alcantara-16870.55
667493-Honorina Lira-19519.04
683580-Moaci Mendoa-18415.53
302391-Anind Zarco-17060.32
928096-Sara Lameiras-20032.80
477601-Cleusa Goes-13661.14
643240-Armanda Amorim-5575.08
238865-Flamednia Leiria-10832.81
613030-Clarindo Areosa-19270.34
222553-Esperada Cardoso-13385.34
889972-Anfnia Seixas-10430.23
917446-Odete Vasques-19076.90
442397-Danilo Olaio-13508.91
510363-Ermelinda Quintela-8377.09
402624-Tibefarcio Colao-20516.37
547407-Melinda Roserio-2416.31
552583-Antonio Viegas-167.91
868796-Celeste Duarte-9990.30
948839-Polibe Olivares-18566.43
770963-Spnia ou Sonia Guerreiro-3233.82
10453-Ximena Castilho-18872.72
304862-Adelino Barra-1367.05
20133-Silvio Mata-7691.48
321511-Moaci Mendoa-19456.58
138548-Filomena Barrios-7645.77
268393-Carminda Morais-17381.25
28809-Tarrataca Soares-17976.77
296771-Daniel Vieyra-3410.62
845693-Filomena Barrios-11190.11
945169-Armindo Castalo-2122.98
95308-Angilica Galante-5913.09
268505-Guida Juca-17956.14
648607-Esperada Cardoso-14821.50
435545-Estanislau Beserra-14924.72
931711-Neeamia Arruda-13851.27
581553-Angelica Aranha-10159.11
379024-Oliveira Carmona-17509.40
451014-Flamednia Leiria-20002.37
69091-Zungela Ipiranga-6995.99
