449597-Jorgina Bogalho-1027.92
774782-Marilda Leio-7487.54
437649-Marilda Leio-4791.48
597062-Cassandra Varejo-2580.32
109208-Estanislau Beserra-12849.92
689217-Tarrataca Soares-20965.74
538808-Henrique Bento-20574.51
199206-Silvio Mata-14430.42
759700-Aludsio Sosa-15887.31
671419-Rodolfo Paz-14638.59
390980-Rodolfo Paz-11908.25
579634-Eurico Siqueira-17626.00
20749-Filomena Barrios-10015.54
926064-Basilio Pedroso-21071.51
18436-Cleusa Goes-15017.76
755676-Lina Andrade-17914.66
436917-Armindo Castalo-15035.21
889319-Clara Alcantara-16087.20
242505-Elisa Themes-909.96
124361-Liana Cardim-3056.67
49843-Romo Paranage-14730.58
767524-Eurico Siqueira-13071.54
756016-Zungela Ipiranga-9026.92
375658-Cassandra Varejo-11556.18
543826-Heleedsa Marins-13116.36
219803-Guida Juca-10359.08
469663-Angilica Galante-2138.61
687277-Odilia Bello-8577.51
463251-Esperada Cardoso-5765.09
486936-Clarindo Areosa-681.50
369595-Eurico Siqueira-17442.00
593529-Tibefarcio Colao-14124.84
933521-Urbano Rodrigues-19692.40
827220-Armindo Castalo-17461.32
388040-Camila Gabeira-10011.92
241542-Zungela Ipiranga-10194.12
76942-Heleedsa Marins-17498.81
433049-Odete Vasques-9550.85
541773-Zungela Ipiranga-780.65
130111-Eurico Siqueira-7075.52
385834-Polibe Olivares-124.38
216275-Emedlio Pimentel-13310.31
717419-Melinda Roserio-21309.65
910015-Almor Caiado-12663.08
236480-Celeste Duarte-8442.13
198898-Tarrataca Soares-2189.71
585649-Odilia Camello-11820.47
317299-Emiliana Foquio-9419.97
832222-Zulmira Becerra-11075.39
340221-Henrique Bento-17696.69
514713-Ximena Castilho-10865.71
889189-Oliveira Carmona-5313.04
263877-Cleusa Goes-14110.21
394794-Gaudancio Fiees-3334.47
173949-Anfnia Seixas-6016.84
145170-Moaci Mendoa-13798.83
528260-Branco Saraba-15564.68
825585-Branco Saraba-13453.02
208072-Flamednia Leiria-16041.34
655322-Regina Barcellos-7619.91
654273-Honorina Lira-10345.06
90870-Almerinda Palmeira-20183.95
74996-Carminda Morais-8311.75
540172-Aludsio Sosa-15895.70
829971-Clara Alcantara-17447.44
332432-Silvio Mata-1504.05
805451-Honorina Lira-21209.34
325968-Neuza Francia-8162.75
359738-Jussara Varanda-14864.84
448533-Mercia Caeira-20621.39
206113-Feledcia Peassego-11033.09
51016-Letedcia Gago-7699.17
199518-Almerinda Palmeira-2455.08
369038-Tarrataca Soares-16610.48
502294-Quintiliano Sousa de Arronches-19878.78
835768-Emedlio Pimentel-20702.11
535654-Angilica Galante-21270.16
736658-Basilio Pedroso-11928.58
239726-Flor Portella-2097.34
393433-Guaraci Damasceno-2851.83
538000-Oliveira Senchez-10413.89
704494-Oliveira Carmona-14174.40
782103-Celeste Duarte-19446.40
34705-Tibefarcio Colao-18865.25
857094-Emedlia Silvera-15765.44
455923-Antonio Viegas-16163.79
460012-Emedlio Pimentel-12384.31
397619-Domingos Pas-19991.68
643387-Mercia Caeira-9489.24
856332-Sidfnio Frois-18393.18
240831-Augusta Paio-11373.72
934807-Artur Grillo-20250.77
61833-Dulce Froes-783.75
180554-Estanislau Beserra-4234.10
380198-Feledcia Peassego-3547.83
458033-Marilda Leio-16172.39
779195-Tibefarcio Colao-662.15
116431-Rebeca Neto-21176.13
828414-Tibefarcio Colao-21452.56
274881-Telma Villalobos-16356.29
