202023-Zungela Ipiranga-12739.34
237588-Edgar Carvalheiro-20379.56
918709-Melinda Roserio-6339.98
789975-Antonio Castelo-3359.70
135539-Emedlia Silvera-20069.35
152480-Cleusa Goes-2774.17
654640-Flor Portella-15687.09
903727-Joaquim Rufino-9715.02
545512-Trajano Fagundes-10899.55
442787-Odilia Bello-17674.29
719016-Armanda Amorim-1961.48
243068-Sara Lameiras-4863.85
847100-Aludsio Sosa-18403.04
556716-Romo Paranage-12886.10
853727-Delfina Perdigon-20747.46
808162-Regina Barcellos-20818.98
687439-Emedlio Pimentel-9210.70
890435-Esperada Cardoso-13469.73
30988-Oliveira Carmona-14455.19
50181-Cassandra Varejo-8934.78
158405-Telma Villalobos-3397.13
200517-Heleedsa Marins-13269.56
715001-Neuza Francia-9293.20
743857-Marilda Leio-18888.77
742591-Heleedsa Marins-15452.47
675920-Augusta Paio-14465.71
542552-Oliveira Carmona-10217.75
118089-Anind Zarco-18316.65
711779-Angelica Aranha-13032.13
777205-Flor Portella-8747.79
272126-Zungela Ipiranga-18509.38
914916-Celeste Duarte-12106.54
459517-Guida Juca-9918.86
308286-Telma Villalobos-18286.30
283901-Lina Andrade-19093.72
521903-Urbano Rodrigues-10935.65
174770-Clarindo Areosa-18061.07
897144-Elisa Themes-13207.42
109104-Emedlio Pimentel-6089.70
356163-Carminda Morais-7607.47
81107-Lina Andrade-13960.19
519306-Nuno Balsemeo-5634.50
430180-Rodolfo Paz-8969.10
660828-Adelino Barra-20892.18
800670-Armanda Amorim-11340.18
187082-Ubaldo Mainha-1060.57
144578-Quintino Alcantara-10872.31
393301-Jussara Varanda-7036.45
823687-Antonio Castelo-3022.70
466723-Cleusa Goes-13286.26
405294-Armanda Amorim-3812.24
797806-Cassandra Varejo-20947.43
844776-Trajano Fagundes-13536.90
293909-Andreia Moita-12348.67
889062-Camila Gabeira-14796.68
856474-Esperada Cardoso-14858.55
421121-Polibe Olivares-5525.16
576500-Antonio Castelo-18489.09
506107-Almor Caiado-7642.49
405370-Anfnia Seixas-7492.32
51494-Clarindo Areosa-5311.54
232958-Urbano Rodrigues-19609.51
864678-Adelina Quadros-19543.12
406172-Elisa Themes-15031.23
198429-Tabalipa Duarte-2885.28
8999-Daniel Vieyra-2199.01
876137-Feledcia Peassego-2433.22
974613-Antonio Castelo-174.15
234277-Mercia Caeira-8629.21
764232-Honorina Lira-12413.27
436993-Delfina Perdigon-19133.78
817317-Micaela Chavez-21276.11
973565-Domingos Pas-2999.92
819565-Andreia Moita-16223.98
48850-Gaudancio Fiees-17415.97
462090-Lurdes Cotrim-17916.06
730016-Zulmira Becerra-18784.82
29909-Spnia ou Sonia Guerreiro-9419.73
755072-Sara Lameiras-18332.07
212840-Adelino Barra-5594.88
935343-Artur Grillo-5969.25
295172-Sofras Cuaresma-1792.58
122837-Emiliana Foquio-14012.32
295820-Anind Zarco-13215.68
75325-Leonidas Mafra-11751.33
415823-Lina Andrade-2941.11
141084-Zulmira Becerra-1643.58
188583-Almerinda Palmeira-13383.88
651170-Dulce Froes-13701.43
551306-Urbano Rodrigues-10238.72
778007-Almor Caiado-10488.07
899121-Quintino Alcantara-19761.02
663958-Odete Vasques-14717.42
904493-Delfina Perdigon-14900.38
59601-Feledcia Peassego-13866.29
327711-Flor Portella-14500.45
717823-Augusta Paio-19001.86
589722-Guida Juca-8328.91
950724-Adelino Barra-4130.58
35108-Zulmira Becerra-15036.10
