300063-Quintino Alcantara-14704.47
519398-Esperada Cardoso-9362.51
852550-Ximena Castilho-3652.32
292814-Celeste Duarte-996.99
779694-Odilia Camello-2867.82
689892-Telma Villalobos-17291.78
46407-Nuno Balsemeo-17704.82
132682-Liana Cardim-20553.77
800718-Jonatas Felgueiras-6575.40
702158-Flor Portella-8735.44
26385-Delfina Garcia de Gondim-13108.44
540916-Taercio Mafra-17323.64
366554-Augusta Paio-11907.33
311651-Clarindo Areosa-15530.25
528572-Joaquim Rufino-5493.21
756646-Armindo Castalo-19850.11
486588-Spnia ou Sonia Guerreiro-19825.74
362758-Quintiliano Sousa de Arronches-17482.23
949069-Urbano Rodrigues-17135.40
638625-Delfim Higuera-9147.59
571622-Oliveira Carmona-17077.85
468402-Carminda Morais-18183.26
616148-Artur Grillo-20976.92
996263-Polibe Olivares-10135.21
75487-Edgar Carvalheiro-7425.65
936939-Edgar Carvalheiro-5428.38
492652-Tibofarcio Camacho-6653.25
46992-Sidfnio Frois-2582.04
495021-Urbano Rodrigues-4281.53
483417-Odete Vasques-1773.08
532296-Dulce Froes-16728.80
425371-Angilica Galante-20903.48
198390-Ermelinda Quintela-2184.81
220257-Camila Gabeira-7174.77
267433-Clarindo Areosa-15395.52
635965-Rebeca Neto-8240.06
48449-Nuno Balsemeo-3000.15
34940-Odilia Bello-17380.62
760824-Filomena Barrios-7510.73
543173-Telma Villalobos-1440.73
600496-Armanda Amorim-7906.05
442827-Emedlio Pimentel-18540.30
127434-Anfnia Seixas-7717.45
20871-Ximena Castilho-8819.66
951141-Cassandra Varejo-15902.33
930464-Silvio Mata-12983.85
780895-Aludsio Sosa-19914.34
439966-Mercia Caeira-13569.85
819490-Henrique Bento-11432.62
835832-Almor Caiado-9163.22
676675-Joaquim Rufino-15909.22
913639-Cleusa Goes-5798.81
498776-Esperada Cardoso-18490.09
80937-Leonidas Mafra-10535.46
140034-Manuel Capiperibe-13544.97
267906-Edgar Carvalheiro-13469.44
401492-Almerinda Palmeira-15737.25
549796-Micaela Chavez-5526.81
276163-Joaquim Rufino-6895.01
591966-Basilio Pedroso-2648.53
464269-Polibe Olivares-16035.30
458073-Marilda Leio-20834.43
998749-Emedlio Pimentel-16474.58
284687-Regina Barcellos-5140.56
536145-Branco Saraba-15481.96
536908-Camila Gabeira-19944.64
439292-Mercia Caeira-5293.81
291746-Romo Paranage-17479.31
129211-Estanislau Beserra-9457.24
745215-Delfina Perdigon-10213.16
199283-Fulvio Villegas-21187.80
575559-Adelino Barra-7337.54
833222-Elisa Themes-8677.53
616058-Angelica Aranha-11450.38
461290-Lurdes Cotrim-3000.90
803707-Oliveira Carmona-20706.27
606478-Dulce Froes-13125.83
650497-Elisa Themes-173.91
375732-Almerinda Palmeira-16895.20
601671-Sofras Cuaresma-10297.82
680500-Tarrataca Soares-11019.81
321598-Camila Gabeira-13495.57
405899-Flor Portella-2049.06
464885-Anfnia Seixas-16645.22
579491-Cassandra Varejo-3395.00
406105-Tibofarcio Camacho-18793.04
696279-Judite Damasceno-11884.26
884211-Basilio Pedroso-19880.77
519696-Feledcia Peassego-5359.69
878898-Elisa Themes-18165.71
70135-Letedcia Gago-17997.68
557676-Trajano Fagundes-20890.89
799594-Honorina Lira-4730.11
794638-Carminda Morais-7464.76
860199-Quintino Alcantara-12760.56
499720-Ximena Castilho-14624.62
282811-Trajano Fagundes-11526.74
165118-Estanislau Beserra-8760.75
922034-Branco Saraba-2331.11
231827-Carminda Morais-1695.06
323360-Odilia Camello-17065.77
395918-Daniel Vieyra-5206.50
541411-Polibe Olivares-16404.50
109414-Armindo Castalo-16387.61
199633-Trajano Fagundes-16606.21
789712-Quintino Alcantara-20061.21
199709-Filomena Barrios-4509.20
36102-Clara Alcantara-4550.85
982094-Ximena Castilho-20360.07
897063-Clarindo Areosa-4407.55
382682-Emedlia Silvera-9940.79
668507-Cleusa Goes-5029.91
43432-Leonidas Mafra-3170.49
946061-Dulce Froes-6411.58
324926-Jussara Varanda-9923.58
275871-Zungela Ipiranga-17101.48
688649-Judite Damasceno-3788.64
292243-Regina Barcellos-3344.16
970865-Estanislau Beserra-14173.98
760563-Danilo Olaio-20162.95
572938-Odilia Camello-18001.94
961773-Telma Villalobos-4213.79
1097-Clara Alcantara-21164.23
6856-Basilio Pedroso-9158.85
290039-Flamednia Leiria-18612.10
710846-Emedlia Silvera-19334.86
768997-Emedlia Silvera-4476.91
747303-Telma Villalobos-7039.83
810883-Tibofarcio Camacho-14309.54
398123-Jonatas Felgueiras-7142.31
740849-Jussara Varanda-8708.04
678774-Lurdes Cotrim-14597.66
607816-Joaquim Rufino-8542.83
585738-Jonatas Felgueiras-6948.06
721954-Emiliana Foquio-4726.13
732449-Emedlia Silvera-18483.23
406936-Ermelinda Quintela-3856.09
945124-Dulce Froes-8303.56
899466-Filomena Barrios-14901.67
252058-Basilio Pedroso-1060.81
932666-Delfina Garcia de Gondim-14138.22
807621-Micaela Chavez-21125.01
578134-Adelina Quadros-5576.25
771287-Ubaldo Mainha-13612.11
882195-Delfina Perdigon-8694.49
686730-Lurdes Cotrim-746.98
9817-Telma Villalobos-6871.05
23755-Clarindo Areosa-9380.50
537138-Tibofarcio Camacho-11619.50
4480-Romo Paranage-6287.18
702696-Oliveira Carmona-13546.51
721076-Eurico Siqueira-8449.75
505041-Clara Alcantara-16685.53
88394-Taercio Mafra-16468.40
477989-Cassandra Varejo-16957.23
480219-Guaraci Damasceno-15289.26
838632-Antonio Castelo-9324.52
289523-Honorina Lira-3539.92
612898-Angelica Aranha-4975.29
103289-Clara Alcantara-6465.34
191523-Jorgina Bogalho-15152.36
102097-Anind Zarco-18269.57
30137-Gaudancio Fiees-8939.79
99811-Oliveira Senchez-17180.67
380505-Adelina Quadros-6990.62
110525-Angelica Aranha-4570.58
55024-Domingos Pas-6928.97
588236-Lurdes Cotrim-17921.86
204339-Domingos Pas-2903.16
770097-Dulce Froes-19724.19
53920-Delfina Garcia de Gondim-5021.27
988473-Heleedsa Marins-15882.29
930433-Basilio Pedroso-9007.75
908880-Polibe Olivares-11448.75
760507-Danilo Olaio-15342.56
851159-Guaraci Damasceno-7908.83
867566-Adelino Barra-11369.38
335896-Delfina Perdigon-11120.42
312610-Jonatas Felgueiras-16542.46
818492-Clarindo Areosa-17780.17
858024-Moaci Mendoa-21120.70
650252-Jorgina Bogalho-18635.75
916254-Romo Paranage-18775.06
161070-Neeamia Arruda-16749.31
505798-Artur Grillo-7552.08
395725-Sara Lameiras-8140.59
860124-Delfina Perdigon-12329.26
221277-Antonio Castelo-7967.79
768707-Sofras Cuaresma-20070.91
148015-Jonatas Felgueiras-10664.26
462490-Guaraci Damasceno-7688.01
903656-Marilda Leio-4819.67
89962-Armanda Amorim-20328.83
51544-Filomena Barrios-20205.61
404565-Sara Lameiras-155.83
13179-Dulce Froes-10119.79
20615-Zulmira Becerra-11718.39
965544-Lurdes Cotrim-11880.60
468908-Silvio Mata-7053.45
735045-Jussara Varanda-140.10
17701-Heleedsa Marins-10864.72
403500-Guaraci Damasceno-1298.92
364563-Honorina Lira-8799.82
347675-Quintiliano Sousa de Arronches-20900.34
778069-Adelino Barra-6099.54
932604-Almor Caiado-1214.84
629736-Quintiliano Sousa de Arronches-14155.05
286086-Regina Barcellos-13339.87
204847-Tibofarcio Camacho-9889.72
247685-Neuza Francia-20347.07
716740-Emedlio Pimentel-19542.41
502741-Micaela Chavez-7121.61
739588-Almor Caiado-1720.42
892591-Esperada Cardoso-639.06
606468-Esperada Cardoso-20626.84
419722-Neeamia Arruda-4811.33
211725-Neuza Francia-4282.79
358954-Marilda Leio-9895.65
566334-Moaci Mendoa-8142.86
118925-Moaci Mendoa-19095.34
197446-Carminda Morais-10467.67
748034-Odilia Bello-11422.70
190699-Eurico Siqueira-5305.26
615403-Emedlia Silvera-12444.18
106393-Joaquim Rufino-10095.41
35531-Oliveira Carmona-19889.61
965052-Emedlia Silvera-8996.89
399220-Dulce Froes-10610.48
336283-Quintiliano Sousa de Arronches-15136.14
761501-Letedcia Gago-8152.49
893567-Rodolfo Paz-11274.47
299238-Taercio Mafra-13891.95
349310-Adelina Quadros-17303.86
957402-Gaudancio Fiees-8835.17
471190-Melinda Roserio-9386.24
185094-Aludsio Sosa-3581.76
31720-Neeamia Arruda-14111.41
157156-Eurico Siqueira-12180.56
363839-Trajano Fagundes-11129.09
856616-Polibe Olivares-20846.70
399525-Jorgina Bogalho-18730.80
709306-Branco Saraba-2848.96
805053-Regina Barcellos-1797.61
426353-Gaudancio Fiees-17297.19
982151-Andreia Moita-7037.06
78915-Zungela Ipiranga-13118.92
652719-Trajano Fagundes-18879.23
431640-Armanda Amorim-7125.97
258280-Augusta Paio-9229.61
215326-Odete Vasques-11858.17
421702-Gaudancio Fiees-12632.17
74856-Lina Andrade-544.42
955525-Ermelinda Quintela-8492.47
221705-Neuza Francia-20306.74
5151-Feledcia Peassego-5481.72
928608-Jonatas Felgueiras-17062.51
543959-Flor Portella-10514.20
783552-Tabalipa Duarte-16308.52
112017-Clarindo Areosa-2106.27
349284-Clarindo Areosa-4518.42
256855-Adelina Quadros-10222.64
277353-Sara Lameiras-9018.55
193666-Cassandra Varejo-14798.10
871455-Manuel Capiperibe-1915.48
784475-Angilica Galante-680.70
403916-Basilio Pedroso-20479.98
431224-Heleedsa Marins-470.59
381769-Clara Alcantara-19188.42
445409-Oliveira Senchez-2914.71
469633-Jussara Varanda-5728.20
827408-Ermelinda Quintela-5525.93
918260-Rebeca Neto-21038.71
935143-Gaudancio Fiees-12165.81
715815-Camila Gabeira-2179.68
686629-Trajano Fagundes-8377.53
829737-Delfina Garcia de Gondim-16321.57
740405-Clara Alcantara-17655.88
71354-Cassandra Varejo-9784.86
770576-Emedlio Pimentel-21309.32
612704-Emedlia Silvera-18509.18
780359-Filomena Barrios-13242.61
727948-Judite Damasceno-18141.79
530327-Sidfnio Frois-12276.31
659373-Neeamia Arruda-4138.63
853143-Delfina Perdigon-14035.50
600436-Letedcia Gago-4498.96
862564-Anfnia Seixas-14066.36
183486-Dulce Froes-10302.24
863106-Artur Grillo-9515.11
13442-Romo Paranage-13811.24
500130-Antonio Viegas-6234.20
63672-Zulmira Becerra-18481.48
530478-Delfina Perdigon-16621.95
577862-Delfina Garcia de Gondim-15453.71
593631-Anfnia Seixas-16892.24
878612-Danilo Olaio-143.41
836721-Adelino Barra-7162.03
382830-Dulce Froes-16943.87
931413-Feledcia Peassego-5727.66
411527-Almor Caiado-19377.79
841861-Delfina Garcia de Gondim-20672.80
533471-Adelino Barra-15138.60
920969-Adelino Barra-2339.07
455851-Quintino Alcantara-15914.84
853931-Zulmira Becerra-15095.95
801840-Judite Damasceno-8259.89
162019-Oliveira Carmona-11728.26
158520-Edgar Carvalheiro-207.25
895403-Urbano Rodrigues-4956.57
659596-Jussara Varanda-4335.85
31099-Flor Portella-16854.26
855679-Letedcia Gago-12804.76
828580-Guida Juca-10329.14
512833-Jorgina Bogalho-228.86
567811-Tarrataca Soares-8117.40
879361-Feledcia Peassego-5080.58
15215-Manuel Capiperibe-17092.20
870641-Moaci Mendoa-15268.95
112773-Emedlia Silvera-9913.07
637422-Dulce Froes-10539.66
941677-Feledcia Peassego-9485.14
558374-Clarindo Areosa-12983.69
