795023-Emiliana Foquio-13791.81
425411-Antonio Castelo-404.80
256256-Flor Portella-11939.28
965996-Sidfnio Frois-6579.49
555161-Clara Alcantara-14898.11
266490-Edgar Carvalheiro-3349.25
979538-Telma Villalobos-17064.17
499114-Celeste Duarte-21171.96
705874-Adelina Quadros-18771.60
822053-Taercio Mafra-18512.47
254016-Gaudancio Fiees-6025.59
29950-Joaquim Rufino-8569.84
879161-Manuel Capiperibe-18152.40
97057-Angilica Galante-16037.23
774593-Danilo Olaio-7717.94
356515-Fulvio Villegas-5255.77
346199-Ubaldo Mainha-11385.57
156489-Emiliana Foquio-9215.72
974762-Emedlia Silvera-15522.78
493563-Quintino Alcantara-8556.16
438957-Flor Portella-13338.71
81455-Clara Alcantara-21099.00
204259-Anind Zarco-17652.96
255321-Filomena Barrios-11059.09
771781-Esperada Cardoso-18196.84
99607-Polibe Olivares-8335.57
868504-Aludsio Sosa-9169.03
54599-Guaraci Damasceno-18910.59
953134-Augusta Paio-20360.34
44021-Ermelinda Quintela-10130.44
382300-Danilo Olaio-3189.99
279344-Moaci Mendoa-13330.81
676918-Camila Gabeira-19482.85
314926-Delfina Garcia de Gondim-12110.57
708421-Romo Paranage-19268.29
379859-Aludsio Sosa-12904.45
144787-Odilia Bello-17843.13
982743-Romo Paranage-8198.84
876490-Jussara Varanda-5143.54
80958-Telma Villalobos-5973.98
901847-Spnia ou Sonia Guerreiro-7727.80
109525-Silvio Mata-16430.59
217591-Ximena Castilho-19177.36
654262-Romo Paranage-12645.67
242-Guaraci Damasceno-12872.76
30124-Cassandra Varejo-6101.72
649480-Heleedsa Marins-19063.17
655453-Quintiliano Sousa de Arronches-20193.00
753587-Flor Portella-18706.92
885942-Regina Barcellos-8652.90
578785-Basilio Pedroso-20061.91
271072-Guida Juca-1848.17
560610-Zungela Ipiranga-18060.35
135308-Quintiliano Sousa de Arronches-452.06
283190-Delfim Higuera-3032.06
776037-Ermelinda Quintela-1047.52
229809-Sofras Cuaresma-2834.02
513010-Quintiliano Sousa de Arronches-17560.57
163888-Armanda Amorim-21188.11
200984-Aludsio Sosa-12602.13
119264-Urbano Rodrigues-1933.08
333732-Armindo Castalo-13845.79
607380-Odilia Camello-18721.40
649832-Urbano Rodrigues-14567.92
259661-Lina Andrade-13495.91
145288-Jorgina Bogalho-13298.83
719277-Oliveira Senchez-5406.30
126415-Heleedsa Marins-7661.43
833092-Marilda Leio-6788.23
264856-Odilia Bello-7930.24
986313-Micaela Chavez-17061.43
415661-Sara Lameiras-20434.77
662426-Antonio Castelo-13006.01
460551-Guaraci Damasceno-13952.51
947947-Quintiliano Sousa de Arronches-14445.10
157560-Urbano Rodrigues-5881.72
635865-Daniel Vieyra-15838.91
999640-Micaela Chavez-20430.17
937042-Urbano Rodrigues-18373.67
201657-Lina Andrade-6901.48
679429-Estanislau Beserra-16141.35
981847-Honorina Lira-1730.66
863630-Flamednia Leiria-8467.29
401741-Carminda Morais-11461.89
247840-Jonatas Felgueiras-11166.54
201469-Rodolfo Paz-10613.28
38665-Emedlio Pimentel-10849.64
505591-Angelica Aranha-14709.63
631608-Neeamia Arruda-18279.00
580604-Tibefarcio Colao-21271.02
553564-Polibe Olivares-14812.98
186104-Daniel Vieyra-837.96
811955-Guida Juca-14666.59
554850-Clara Alcantara-10595.78
64621-Guida Juca-3193.42
84577-Emiliana Foquio-5955.43
276358-Esperada Cardoso-10705.82
875595-Romo Paranage-1376.04
8701-Neuza Francia-7102.35
25122-Antonio Castelo-13198.16
