623322-Cassandra Varejo-16735.32
700043-Celeste Duarte-17076.99
29138-Guaraci Damasceno-8355.48
504799-Guaraci Damasceno-13488.68
107616-Esperada Cardoso-5166.37
331111-Clara Alcantara-10975.51
357883-Micaela Chavez-7034.59
85794-Romo Paranage-19943.95
418267-Neeamia Arruda-18406.47
812875-Quintiliano Sousa de Arronches-13797.22
164264-Delfina Garcia de Gondim-15163.45
809984-Gaudancio Fiees-2475.61
652358-Emiliana Foquio-3225.91
713357-Spnia ou Sonia Guerreiro-18510.96
137704-Letedcia Gago-19762.03
509443-Silvio Mata-18820.50
642517-Fulvio Villegas-13229.25
981735-Estanislau Beserra-11075.27
272217-Augusta Paio-18639.45
851638-Almerinda Palmeira-10872.74
576316-Antonio Castelo-11214.39
349744-Melinda Roserio-9917.65
338142-Judite Damasceno-5219.34
874577-Urbano Rodrigues-10886.47
794916-Judite Damasceno-20537.85
352674-Polibe Olivares-20108.11
977312-Rodolfo Paz-6569.69
60510-Sidfnio Frois-6649.51
54501-Judite Damasceno-5097.40
211669-Zungela Ipiranga-11435.91
90571-Lina Andrade-3226.84
830883-Andreia Moita-18680.34
648999-Lurdes Cotrim-10448.88
541353-Daniel Vieyra-8362.79
45450-Taercio Mafra-4435.90
268904-Leonidas Mafra-3834.59
575532-Eurico Siqueira-17534.37
290513-Jonatas Felgueiras-9620.14
48697-Taercio Mafra-35.84
268351-Carminda Morais-7187.96
278702-Antonio Castelo-1924.03
727662-Adelina Quadros-20882.34
457920-Sara Lameiras-2113.99
605481-Flamednia Leiria-13269.41
432758-Odete Vasques-8435.02
44753-Danilo Olaio-7372.88
983611-Fulvio Villegas-7428.63
408203-Danilo Olaio-356.70
267560-Anind Zarco-18707.19
382954-Lina Andrade-16695.04
606025-Emedlia Silvera-5192.99
513089-Fulvio Villegas-16890.26
453889-Judite Damasceno-18754.84
799272-Neuza Francia-16006.06
940167-Elisa Themes-19530.39
671490-Judite Damasceno-6916.00
345916-Liana Cardim-19745.83
489813-Quintino Alcantara-165.08
647339-Guaraci Damasceno-19247.76
389348-Mercia Caeira-17666.75
443860-Trajano Fagundes-6857.97
385095-Romo Paranage-11523.10
592992-Estanislau Beserra-7392.81
683846-Rodolfo Paz-4915.96
748066-Romo Paranage-12455.36
798399-Emedlia Silvera-12972.08
652805-Joaquim Rufino-10300.70
886817-Odilia Camello-500.76
274595-Andreia Moita-14667.24
897542-Flor Portella-9886.29
540361-Anfnia Seixas-14820.73
481755-Artur Grillo-9919.75
965737-Anfnia Seixas-16065.68
450229-Delfim Higuera-13897.68
57062-Micaela Chavez-16685.16
702644-Trajano Fagundes-11388.31
464432-Ermelinda Quintela-5380.00
326036-Guaraci Damasceno-6088.87
695661-Heleedsa Marins-13871.61
840867-Zulmira Becerra-4485.75
693663-Lina Andrade-16101.15
343724-Basilio Pedroso-10961.14
304139-Branco Saraba-5955.96
61500-Augusta Paio-19840.46
415079-Regina Barcellos-4196.19
305044-Fulvio Villegas-28.38
919237-Mercia Caeira-14253.03
119927-Leonidas Mafra-2191.45
396926-Tibefarcio Colao-6958.41
397575-Odilia Camello-4851.98
543926-Melinda Roserio-13538.92
763486-Armindo Castalo-18402.35
474054-Adelina Quadros-9490.56
268623-Neuza Francia-15671.17
831039-Zungela Ipiranga-20385.32
425719-Danilo Olaio-14613.54
367416-Ermelinda Quintela-11327.90
308935-Sidfnio Frois-20829.09
137093-Trajano Fagundes-668.23
126486-Celeste Duarte-8462.20
