666426-Telma Villalobos-5043.23
307966-Silvio Mata-2521.48
661685-Ermelinda Quintela-14935.49
194729-Marilda Leio-12931.37
909237-Jussara Varanda-9565.43
81898-Oliveira Senchez-5941.69
289511-Augusta Paio-16230.54
590572-Odilia Camello-18196.00
213730-Romo Paranage-15232.98
893342-Filomena Barrios-20199.64
726754-Quintiliano Sousa de Arronches-14801.46
937644-Oliveira Carmona-17254.54
405183-Delfina Garcia de Gondim-17521.16
669072-Tarrataca Soares-16408.27
981935-Antonio Castelo-15252.53
10842-Neuza Francia-11198.51
317218-Zulmira Becerra-19481.40
308485-Andreia Moita-15472.47
251110-Micaela Chavez-3429.77
149892-Carminda Morais-4488.71
367586-Honorina Lira-12885.97
908063-Henrique Bento-10030.52
113090-Romo Paranage-12834.57
866718-Guaraci Damasceno-14371.26
757007-Almerinda Palmeira-4656.24
706219-Jussara Varanda-7726.35
341039-Odete Vasques-19859.52
30237-Antonio Castelo-6947.77
835794-Rodolfo Paz-7970.28
939259-Trajano Fagundes-826.94
39030-Antonio Castelo-14250.62
285182-Oliveira Carmona-10334.86
502032-Odilia Bello-13076.00
351266-Flamednia Leiria-15934.66
543965-Heleedsa Marins-10367.40
989367-Ximena Castilho-5939.62
802074-Basilio Pedroso-8593.03
271597-Odilia Bello-13083.33
988508-Silvio Mata-16131.69
199241-Fulvio Villegas-11496.25
280786-Flamednia Leiria-19376.64
959898-Aludsio Sosa-11624.65
206924-Angilica Galante-5494.84
427049-Polibe Olivares-18508.35
772992-Letedcia Gago-2648.95
259393-Letedcia Gago-16118.85
864390-Guida Juca-5692.03
454258-Daniel Vieyra-12324.75
821130-Guida Juca-8539.80
216117-Romo Paranage-19241.79
821814-Ubaldo Mainha-5969.76
489457-Taercio Mafra-3084.52
159813-Daniel Vieyra-20616.59
429620-Oliveira Carmona-6976.02
681949-Tarrataca Soares-19483.76
673806-Clarindo Areosa-19846.35
144116-Dulce Froes-15790.16
917564-Tarrataca Soares-5699.86
540741-Jonatas Felgueiras-17998.07
333089-Basilio Pedroso-17705.40
266572-Manuel Capiperibe-5648.78
380219-Liana Cardim-17553.67
475566-Edgar Carvalheiro-20805.27
538291-Angelica Aranha-7004.73
468718-Odilia Bello-13561.55
294459-Dulce Froes-7893.45
4882-Regina Barcellos-17414.89
434765-Tibefarcio Colao-7769.23
339355-Sara Lameiras-13514.64
739863-Taercio Mafra-7833.14
319179-Odilia Bello-2220.97
390793-Jonatas Felgueiras-16054.77
914604-Andreia Moita-18009.52
613888-Danilo Olaio-13580.07
915694-Fulvio Villegas-21274.76
109366-Oliveira Carmona-792.86
970649-Mercia Caeira-11202.91
331230-Delfina Garcia de Gondim-15247.26
710774-Rebeca Neto-3775.82
381357-Cleusa Goes-6803.22
624504-Eurico Siqueira-621.57
745676-Delfina Garcia de Gondim-12675.48
750684-Romo Paranage-3099.79
799341-Delfina Garcia de Gondim-13985.93
321268-Flamednia Leiria-9360.25
514765-Camila Gabeira-8706.51
53639-Danilo Olaio-10396.21
598358-Guida Juca-8744.69
66486-Delfina Perdigon-9451.80
515118-Celeste Duarte-9040.77
793694-Flor Portella-3742.18
652434-Armindo Castalo-20679.64
504263-Silvio Mata-12982.31
824745-Guaraci Damasceno-1455.47
668525-Angilica Galante-14578.68
987969-Emiliana Foquio-1488.99
110239-Manuel Capiperibe-13029.53
523865-Cassandra Varejo-2190.67
179966-Joaquim Rufino-19691.34
417895-Gaudancio Fiees-14621.65
