562291-Flor Portella-1917.70
381142-Spnia ou Sonia Guerreiro-12773.60
99143-Henrique Bento-12484.56
132570-Guida Juca-21032.26
926285-Tarrataca Soares-7906.77
192999-Gaudancio Fiees-13053.15
771932-Estanislau Beserra-10506.78
94717-Oliveira Senchez-1114.30
400963-Sidfnio Frois-10533.69
571847-Basilio Pedroso-1898.29
915855-Cassandra Varejo-16253.92
98599-Andreia Moita-3892.89
512738-Jussara Varanda-18773.88
471340-Gaudancio Fiees-21215.21
370988-Zungela Ipiranga-4249.64
999930-Odilia Bello-8111.57
981276-Ximena Castilho-20239.29
758715-Ubaldo Mainha-18115.40
298143-Adelina Quadros-19719.41
389627-Antonio Castelo-16400.29
781644-Manuel Capiperibe-6964.61
459816-Anind Zarco-3070.76
14473-Heleedsa Marins-10955.89
25181-Lina Andrade-14890.60
261627-Anind Zarco-9309.47
207979-Aludsio Sosa-20069.47
469703-Sofras Cuaresma-12414.45
409900-Emedlia Silvera-11947.20
780495-Guida Juca-15860.18
36347-Anind Zarco-899.24
121659-Delfina Garcia de Gondim-402.22
115073-Guida Juca-16286.82
397733-Angelica Aranha-18376.96
585134-Jonatas Felgueiras-19157.22
809846-Ubaldo Mainha-18185.00
998155-Basilio Pedroso-1892.24
343059-Moaci Mendoa-4806.94
132844-Sara Lameiras-15961.03
494931-Tibofarcio Camacho-14994.00
797579-Quintino Alcantara-12439.53
645340-Manuel Capiperibe-10195.91
954068-Artur Grillo-3042.22
338716-Estanislau Beserra-16346.20
828374-Gaudancio Fiees-4457.22
378031-Edgar Carvalheiro-10065.32
391378-Ximena Castilho-15945.30
868347-Micaela Chavez-8733.89
306565-Silvio Mata-8670.38
464748-Almor Caiado-12395.33
157391-Odete Vasques-18153.31
257769-Zulmira Becerra-20869.76
96583-Almerinda Palmeira-6034.47
133649-Tabalipa Duarte-19667.85
867089-Armindo Castalo-8301.30
354787-Edgar Carvalheiro-8300.24
342019-Leonidas Mafra-7499.32
553116-Flamednia Leiria-4493.17
974133-Quintiliano Sousa de Arronches-11696.23
498620-Tibofarcio Camacho-19580.88
939775-Emedlio Pimentel-1057.62
333946-Celeste Duarte-21450.20
835496-Oliveira Carmona-16736.32
559498-Urbano Rodrigues-3202.83
420039-Fulvio Villegas-20701.50
2252-Cleusa Goes-2490.21
632336-Emiliana Foquio-9703.63
792094-Ubaldo Mainha-1284.32
857289-Neeamia Arruda-3514.06
960767-Flamednia Leiria-10879.05
113810-Anind Zarco-16898.45
597646-Ubaldo Mainha-12536.95
90319-Branco Saraba-7990.47
29545-Tabalipa Duarte-6301.23
754042-Adelino Barra-2340.59
641239-Adelina Quadros-565.78
36463-Odete Vasques-11042.10
880150-Letedcia Gago-6765.19
40645-Quintiliano Sousa de Arronches-17943.76
824515-Branco Saraba-10298.53
729210-Sidfnio Frois-17699.67
395771-Heleedsa Marins-15350.81
81966-Antonio Viegas-2646.87
917083-Clara Alcantara-7097.17
551123-Cleusa Goes-5419.87
334824-Dulce Froes-5916.29
655677-Daniel Vieyra-16886.65
339348-Artur Grillo-2880.62
455305-Flor Portella-11341.02
977683-Trajano Fagundes-11014.43
921452-Adelina Quadros-6.89
710037-Letedcia Gago-850.84
226438-Elisa Themes-13521.66
273449-Angelica Aranha-11806.00
959623-Clara Alcantara-20381.51
704999-Polibe Olivares-17000.02
28182-Gaudancio Fiees-4151.74
561508-Moaci Mendoa-13015.14
129774-Sidfnio Frois-1924.85
73918-Basilio Pedroso-17344.63
387411-Antonio Castelo-5729.01
