324665-Regina Barcellos-15587.27
873891-Adelina Quadros-4072.13
920518-Angilica Galante-3988.28
788401-Tabalipa Duarte-21117.19
556375-Aludsio Sosa-8156.25
719832-Micaela Chavez-7990.29
951863-Neeamia Arruda-17563.89
756958-Micaela Chavez-4246.81
848361-Delfina Garcia de Gondim-10865.33
433527-Taercio Mafra-17946.22
408214-Quintiliano Sousa de Arronches-764.63
417946-Guaraci Damasceno-11273.37
335246-Taercio Mafra-5557.73
821853-Adelina Quadros-12415.62
451342-Taercio Mafra-3896.35
241498-Regina Barcellos-12823.54
802915-Spnia ou Sonia Guerreiro-2248.23
979085-Andreia Moita-6445.80
903902-Artur Grillo-20134.28
501383-Jorgina Bogalho-11103.78
839077-Leonidas Mafra-10143.02
420606-Judite Damasceno-11137.20
214953-Odilia Bello-13750.56
837547-Estanislau Beserra-18148.77
695647-Elisa Themes-14148.45
694894-Antonio Castelo-456.03
723426-Jorgina Bogalho-3824.06
657765-Judite Damasceno-13203.85
273323-Mercia Caeira-19902.89
421537-Lina Andrade-3403.07
224142-Neuza Francia-11471.46
973100-Oliveira Carmona-16745.66
575006-Danilo Olaio-1822.98
950378-Regina Barcellos-13641.35
403969-Regina Barcellos-8893.47
492154-Quintino Alcantara-17210.42
934766-Tibefarcio Colao-3632.82
716371-Filomena Barrios-7199.40
77577-Ubaldo Mainha-10682.13
866745-Dulce Froes-3471.51
66457-Fulvio Villegas-3513.75
568577-Branco Saraba-11573.48
791051-Filomena Barrios-17449.23
585478-Mercia Caeira-5223.90
773710-Eurico Siqueira-8787.94
807091-Leonidas Mafra-10562.86
959821-Almor Caiado-1897.37
518465-Moaci Mendoa-6514.53
462108-Zungela Ipiranga-9385.31
211003-Clara Alcantara-9169.14
782887-Spnia ou Sonia Guerreiro-16969.81
500484-Aludsio Sosa-21455.49
784401-Delfina Garcia de Gondim-12288.57
882295-Dulce Froes-3219.58
631715-Almor Caiado-12397.32
211955-Rodolfo Paz-11020.56
866965-Danilo Olaio-21020.15
803821-Filomena Barrios-3270.50
680287-Spnia ou Sonia Guerreiro-13925.12
286038-Quintino Alcantara-8462.40
42612-Quintino Alcantara-11760.23
174151-Jussara Varanda-13815.23
653756-Emedlio Pimentel-9898.24
572784-Ubaldo Mainha-1832.22
397967-Micaela Chavez-3258.54
16922-Delfina Perdigon-1595.82
921804-Augusta Paio-14054.49
80082-Mercia Caeira-1317.70
691776-Quintino Alcantara-13534.50
834463-Trajano Fagundes-18437.36
407593-Guaraci Damasceno-19497.79
961271-Elisa Themes-20229.53
96779-Cleusa Goes-10731.23
88815-Antonio Castelo-8452.12
39211-Armanda Amorim-18616.10
238028-Celeste Duarte-7061.43
492357-Guaraci Damasceno-5825.81
794725-Taercio Mafra-16806.61
630892-Delfina Garcia de Gondim-3568.70
495670-Joaquim Rufino-18447.04
116416-Tarrataca Soares-6186.28
759663-Quintino Alcantara-5231.06
442249-Oliveira Carmona-15562.02
948573-Jussara Varanda-6518.07
677284-Jonatas Felgueiras-2793.63
260097-Rebeca Neto-16786.01
941670-Leonidas Mafra-16566.10
72617-Odete Vasques-1679.21
973111-Lina Andrade-18345.52
839791-Melinda Roserio-16065.64
958695-Manuel Capiperibe-3301.97
856085-Emedlio Pimentel-13289.56
738815-Emedlio Pimentel-16893.98
744289-Jonatas Felgueiras-2538.63
961645-Spnia ou Sonia Guerreiro-15005.41
821553-Zulmira Becerra-14603.17
308232-Mercia Caeira-2927.75
892542-Melinda Roserio-15508.48
654565-Almerinda Palmeira-10713.37
286077-Artur Grillo-2076.93
