979884-Lurdes Cotrim-190.52
774264-Danilo Olaio-13371.84
77969-Delfim Higuera-14136.22
854477-Spnia ou Sonia Guerreiro-19709.57
216995-Honorina Lira-18355.40
134928-Antonio Viegas-19968.94
741369-Elisa Themes-3963.42
41050-Letedcia Gago-8365.76
838237-Dulce Froes-19070.22
101740-Nuno Balsemeo-3360.01
994262-Neuza Francia-18009.81
451275-Anind Zarco-17442.72
917502-Andreia Moita-21173.50
437681-Flamednia Leiria-17197.21
77169-Quintino Alcantara-12504.54
764620-Celeste Duarte-2891.05
604182-Danilo Olaio-9978.47
582968-Almor Caiado-18848.88
664525-Spnia ou Sonia Guerreiro-8832.42
950856-Urbano Rodrigues-19113.44
824379-Esperada Cardoso-18118.55
233947-Guida Juca-328.22
344055-Delfina Garcia de Gondim-16477.40
592712-Ermelinda Quintela-36.94
797855-Trajano Fagundes-14537.71
575685-Quintiliano Sousa de Arronches-13000.52
247707-Domingos Pas-4691.73
778185-Sofras Cuaresma-8507.56
884640-Quintiliano Sousa de Arronches-2209.36
529179-Manuel Capiperibe-19718.87
175176-Manuel Capiperibe-2992.28
318866-Ermelinda Quintela-16644.62
734515-Moaci Mendoa-9623.22
532795-Polibe Olivares-17539.15
51832-Anind Zarco-17152.29
541325-Lina Andrade-5343.21
652554-Gaudancio Fiees-2080.85
94184-Jorgina Bogalho-11328.64
456321-Sofras Cuaresma-19977.48
60850-Daniel Vieyra-4147.94
525865-Fulvio Villegas-10149.69
845627-Marilda Leio-13042.88
504116-Ermelinda Quintela-8795.39
902482-Oliveira Carmona-18580.71
511110-Carminda Morais-16646.40
890818-Heleedsa Marins-15496.97
838930-Esperada Cardoso-18023.50
959629-Melinda Roserio-12729.60
835882-Domingos Pas-18464.17
648567-Polibe Olivares-1109.94
381244-Zulmira Becerra-1255.20
825589-Estanislau Beserra-15543.65
248253-Taercio Mafra-1353.86
509642-Ximena Castilho-18112.88
202468-Sara Lameiras-1433.16
124587-Guaraci Damasceno-8802.07
884388-Melinda Roserio-10270.46
213226-Moaci Mendoa-10530.05
438342-Eurico Siqueira-18088.41
411673-Micaela Chavez-13680.06
178749-Jussara Varanda-17023.87
431100-Cleusa Goes-9637.29
971239-Anfnia Seixas-8164.94
566385-Delfina Garcia de Gondim-755.20
749334-Leonidas Mafra-4947.22
571918-Angelica Aranha-16418.47
608165-Emedlio Pimentel-19037.31
510629-Flor Portella-14884.61
889847-Sofras Cuaresma-15288.99
202140-Gaudancio Fiees-18753.11
992005-Zungela Ipiranga-7950.06
818013-Fulvio Villegas-14504.37
9437-Fulvio Villegas-8509.25
586747-Esperada Cardoso-20234.91
485127-Joaquim Rufino-3837.57
182985-Almerinda Palmeira-18913.29
603843-Tibefarcio Colao-16534.53
70280-Lina Andrade-14724.80
541924-Odete Vasques-4738.86
887361-Almor Caiado-5040.88
238807-Tarrataca Soares-16740.80
493858-Oliveira Carmona-19618.98
478104-Zungela Ipiranga-7744.24
472501-Lurdes Cotrim-3945.27
986691-Letedcia Gago-4860.12
223144-Cleusa Goes-11921.95
822798-Angilica Galante-12457.99
153690-Cassandra Varejo-16738.70
978102-Sofras Cuaresma-13819.28
701674-Ermelinda Quintela-313.32
252429-Guaraci Damasceno-11375.70
809118-Nuno Balsemeo-21080.64
319193-Dulce Froes-17590.59
270244-Telma Villalobos-9070.48
712305-Quintiliano Sousa de Arronches-17750.34
911062-Almerinda Palmeira-5627.74
471138-Camila Gabeira-10595.97
484346-Moaci Mendoa-8742.67
494018-Telma Villalobos-14952.45
390003-Oliveira Senchez-1564.63
