23925-Elisa Themes-13224.45
623632-Gaudancio Fiees-1595.39
520996-Telma Villalobos-10152.58
687260-Tibefarcio Colao-6986.49
115742-Daniel Vieyra-21168.85
754305-Odete Vasques-8325.91
864095-Melinda Roserio-15792.29
393607-Domingos Pas-17806.12
170311-Nuno Balsemeo-15024.00
658005-Odilia Bello-20691.08
502804-Neeamia Arruda-18306.48
915637-Gaudancio Fiees-19062.71
894335-Moaci Mendoa-10593.09
741926-Angilica Galante-4235.12
851170-Artur Grillo-14956.28
282947-Sidfnio Frois-8688.99
420270-Ubaldo Mainha-15167.63
470934-Neeamia Arruda-16851.56
220617-Honorina Lira-19133.27
760687-Odilia Camello-6625.01
95811-Cassandra Varejo-11480.04
875781-Honorina Lira-17399.20
711179-Dulce Froes-733.30
804046-Nuno Balsemeo-19670.72
62305-Aludsio Sosa-12314.40
205120-Flor Portella-17857.23
454956-Dulce Froes-1276.59
934251-Daniel Vieyra-16341.30
58672-Quintino Alcantara-3268.67
583324-Eurico Siqueira-13726.28
731897-Judite Damasceno-1112.40
44670-Letedcia Gago-126.32
628921-Ubaldo Mainha-12363.43
554704-Armanda Amorim-5026.64
476575-Henrique Bento-6577.26
542979-Sidfnio Frois-16709.31
24575-Estanislau Beserra-799.03
269106-Rodolfo Paz-17588.37
186531-Eurico Siqueira-20458.96
947161-Esperada Cardoso-2959.95
209001-Guida Juca-7257.27
991207-Telma Villalobos-8707.72
209416-Melinda Roserio-4899.17
241612-Sidfnio Frois-6424.72
378776-Antonio Viegas-17519.48
955726-Angilica Galante-10190.08
771762-Lurdes Cotrim-14600.32
247154-Camila Gabeira-2968.18
852835-Guaraci Damasceno-13620.04
842128-Adelino Barra-1264.68
975718-Joaquim Rufino-15476.77
349418-Daniel Vieyra-3311.84
839009-Carminda Morais-3643.94
188373-Camila Gabeira-17206.35
717910-Flor Portella-20720.14
457220-Almerinda Palmeira-5024.86
160479-Sara Lameiras-9452.58
249940-Clara Alcantara-13805.05
208910-Fulvio Villegas-12948.74
63358-Domingos Pas-10152.33
429311-Neuza Francia-19142.08
5963-Armindo Castalo-19555.58
387040-Oliveira Senchez-11519.13
168759-Adelino Barra-7396.18
938530-Almor Caiado-12213.36
656574-Edgar Carvalheiro-11073.09
898576-Oliveira Senchez-20684.70
689111-Cassandra Varejo-20372.36
297286-Aludsio Sosa-6249.61
909631-Branco Saraba-20250.25
506013-Adelina Quadros-909.70
779081-Adelino Barra-19909.76
236395-Melinda Roserio-58.80
603722-Adelina Quadros-10680.49
606324-Gaudancio Fiees-15249.87
655679-Basilio Pedroso-9811.60
674811-Micaela Chavez-4555.75
468186-Angilica Galante-14082.64
282958-Lina Andrade-19885.61
971963-Clara Alcantara-14109.87
410032-Urbano Rodrigues-19494.93
56532-Sidfnio Frois-8567.89
293585-Armindo Castalo-6115.42
443849-Jorgina Bogalho-15781.45
212049-Odete Vasques-11822.68
832447-Mercia Caeira-14959.24
278615-Eurico Siqueira-8741.15
194681-Quintiliano Sousa de Arronches-2620.99
379640-Zungela Ipiranga-10403.82
9700-Jorgina Bogalho-2088.71
697275-Odilia Camello-9302.81
355323-Danilo Olaio-8238.54
989807-Oliveira Carmona-18451.47
20472-Urbano Rodrigues-8511.07
99725-Flamednia Leiria-7288.36
682448-Celeste Duarte-5521.85
425216-Antonio Viegas-14284.63
259308-Esperada Cardoso-11311.74
357485-Quintiliano Sousa de Arronches-16975.54
533385-Quintino Alcantara-16050.80
