418472-Taercio Mafra-13650.69
663949-Branco Saraba-14265.91
635504-Ubaldo Mainha-11122.05
860961-Delfina Garcia de Gondim-6817.93
46770-Anfnia Seixas-19955.27
865621-Celeste Duarte-20449.77
427161-Manuel Capiperibe-19595.67
777832-Odete Vasques-20970.98
192380-Lina Andrade-6449.99
379182-Moaci Mendoa-1486.03
907731-Antonio Viegas-725.38
11177-Marilda Leio-5342.02
453794-Emedlia Silvera-4263.53
606741-Polibe Olivares-16392.14
190369-Branco Saraba-13347.78
31330-Estanislau Beserra-5781.59
92752-Artur Grillo-991.03
472514-Almerinda Palmeira-10068.81
443086-Edgar Carvalheiro-2355.90
695598-Jonatas Felgueiras-1234.85
770417-Aludsio Sosa-12793.93
913727-Almerinda Palmeira-14434.04
681142-Jonatas Felgueiras-13513.74
137677-Clarindo Areosa-3294.97
904054-Armindo Castalo-16726.88
713471-Cleusa Goes-17347.19
16210-Guida Juca-6143.28
402376-Andreia Moita-18158.01
403330-Gaudancio Fiees-16857.60
403363-Neeamia Arruda-19124.56
522571-Clarindo Areosa-21132.26
663076-Angelica Aranha-15056.56
521530-Sara Lameiras-15163.37
217086-Andreia Moita-11099.91
159761-Fulvio Villegas-9684.12
879975-Neuza Francia-9396.42
759699-Taercio Mafra-9211.74
258800-Sara Lameiras-7250.93
638757-Manuel Capiperibe-3010.12
608303-Eurico Siqueira-2939.32
62972-Emiliana Foquio-8524.55
426847-Anind Zarco-20491.18
194753-Odete Vasques-1231.56
853188-Basilio Pedroso-19433.73
8893-Augusta Paio-5590.49
368591-Tarrataca Soares-15999.29
963611-Odilia Camello-13492.05
886705-Esperada Cardoso-20534.64
610389-Elisa Themes-4246.19
126803-Flamednia Leiria-9932.27
615195-Cleusa Goes-17352.90
329630-Emiliana Foquio-17827.17
216538-Odilia Camello-4314.28
957061-Honorina Lira-11802.81
205230-Telma Villalobos-638.07
865097-Jonatas Felgueiras-9021.75
166487-Odilia Camello-11351.39
158312-Tibofarcio Camacho-13770.25
242950-Micaela Chavez-12961.52
340083-Flamednia Leiria-4307.95
369426-Flor Portella-6934.11
369903-Trajano Fagundes-20497.40
4589-Taercio Mafra-17104.73
795014-Emedlio Pimentel-11919.46
958265-Odete Vasques-16041.52
686807-Ximena Castilho-17680.17
860615-Silvio Mata-4757.00
239389-Delfina Garcia de Gondim-7958.58
598280-Melinda Roserio-13061.01
92397-Almor Caiado-1599.57
813692-Tarrataca Soares-19463.27
341489-Angelica Aranha-10752.13
586282-Lina Andrade-17432.18
775528-Regina Barcellos-19260.13
246064-Domingos Pas-14194.87
39487-Danilo Olaio-7826.90
491684-Armanda Amorim-16155.51
115322-Liana Cardim-9723.07
764403-Anfnia Seixas-9064.21
565667-Filomena Barrios-18425.14
678622-Jorgina Bogalho-4788.44
202111-Neuza Francia-6981.85
982117-Clarindo Areosa-21357.72
751530-Trajano Fagundes-9280.63
467410-Delfina Perdigon-4028.26
851341-Polibe Olivares-6238.65
768419-Esperada Cardoso-3458.73
385131-Telma Villalobos-7039.89
376143-Odilia Camello-9277.53
468052-Angelica Aranha-1658.35
517294-Sidfnio Frois-9965.14
409647-Zulmira Becerra-19657.16
31367-Guaraci Damasceno-8282.14
870691-Cleusa Goes-14419.66
755336-Neeamia Arruda-7039.50
127217-Henrique Bento-2183.17
189493-Neuza Francia-17530.86
319132-Anind Zarco-14889.87
271874-Almor Caiado-2218.80
645999-Micaela Chavez-14053.48
