279179-Sara Lameiras-5182.40
645487-Lurdes Cotrim-11188.42
356709-Anfnia Seixas-14872.21
120677-Trajano Fagundes-3448.58
449876-Odilia Camello-19073.71
846816-Micaela Chavez-14726.36
727190-Clara Alcantara-17887.25
867960-Camila Gabeira-12992.40
294310-Branco Saraba-17156.24
851872-Filomena Barrios-18142.75
650893-Estanislau Beserra-11150.71
701676-Edgar Carvalheiro-18577.16
453589-Delfina Garcia de Gondim-13615.89
74698-Jussara Varanda-20347.10
272344-Delfina Garcia de Gondim-11966.76
488617-Oliveira Carmona-6730.39
535335-Dulce Froes-13967.67
911409-Emedlia Silvera-13171.51
823779-Almerinda Palmeira-10349.61
107848-Elisa Themes-17028.13
443190-Ubaldo Mainha-12219.81
534382-Tibefarcio Colao-8081.99
467414-Almor Caiado-19046.52
621942-Telma Villalobos-10202.43
151049-Angelica Aranha-11665.16
568029-Esperada Cardoso-4775.21
621104-Armindo Castalo-15430.56
431587-Guaraci Damasceno-3434.84
482174-Urbano Rodrigues-11413.08
157076-Moaci Mendoa-17434.15
139861-Edgar Carvalheiro-7903.75
193356-Oliveira Senchez-9479.09
479400-Liana Cardim-11873.77
354703-Trajano Fagundes-8485.15
972646-Cassandra Varejo-2761.82
266752-Basilio Pedroso-13777.50
600191-Zungela Ipiranga-13308.88
216504-Tibofarcio Camacho-19243.20
500003-Artur Grillo-1623.18
745000-Sofras Cuaresma-20554.75
319718-Guaraci Damasceno-8281.31
391402-Flamednia Leiria-18903.25
661729-Almerinda Palmeira-6573.20
584288-Jussara Varanda-6381.91
782834-Lurdes Cotrim-17201.64
980654-Fulvio Villegas-8049.47
215422-Ermelinda Quintela-7130.64
22473-Basilio Pedroso-6937.97
313216-Neeamia Arruda-20642.96
911430-Henrique Bento-15645.58
957667-Tibefarcio Colao-8973.94
862415-Filomena Barrios-12847.85
192758-Trajano Fagundes-13874.47
416112-Honorina Lira-9625.48
154419-Almor Caiado-10303.31
75081-Antonio Castelo-6098.28
262478-Antonio Castelo-1785.59
337716-Moaci Mendoa-12795.82
248732-Quintiliano Sousa de Arronches-21088.95
477702-Eurico Siqueira-16603.23
214404-Odilia Camello-16772.80
565997-Letedcia Gago-8026.59
274891-Clara Alcantara-21318.52
304136-Oliveira Senchez-4097.85
524787-Augusta Paio-7799.39
425842-Anind Zarco-13710.14
274054-Polibe Olivares-14132.76
702317-Neuza Francia-901.31
927135-Quintiliano Sousa de Arronches-14733.79
964865-Augusta Paio-14303.73
76857-Odilia Camello-20165.88
582831-Zulmira Becerra-19126.70
874188-Romo Paranage-8614.61
645362-Quintino Alcantara-16677.65
964289-Trajano Fagundes-6748.07
613804-Filomena Barrios-17502.32
90913-Branco Saraba-14040.23
643741-Armanda Amorim-3492.42
778409-Spnia ou Sonia Guerreiro-14271.69
840838-Neeamia Arruda-2596.50
709754-Jussara Varanda-5587.27
891879-Telma Villalobos-10743.09
733278-Basilio Pedroso-9437.00
459412-Dulce Froes-15543.46
453690-Emiliana Foquio-17213.10
903235-Dulce Froes-3274.40
366777-Emiliana Foquio-1300.47
623146-Judite Damasceno-13076.91
10058-Lurdes Cotrim-8449.86
292598-Emiliana Foquio-8508.26
948467-Melinda Roserio-8380.53
708422-Daniel Vieyra-3364.61
171164-Quintino Alcantara-1487.10
578880-Trajano Fagundes-2591.70
784764-Fulvio Villegas-10776.24
280898-Judite Damasceno-12365.27
42181-Regina Barcellos-21068.94
826315-Ubaldo Mainha-8070.33
851969-Cleusa Goes-17220.43
562630-Estanislau Beserra-20303.36
