740781-Moaci Mendoa-13425.86
51351-Odilia Bello-20683.20
286628-Micaela Chavez-5368.87
496838-Danilo Olaio-13375.58
922519-Sofras Cuaresma-4530.78
477999-Silvio Mata-17543.59
954287-Rodolfo Paz-13707.73
537422-Flamednia Leiria-3749.48
134559-Emiliana Foquio-1440.19
409856-Aludsio Sosa-19442.02
122291-Dulce Froes-5544.59
199857-Neeamia Arruda-3260.27
684881-Ubaldo Mainha-21243.13
953946-Emedlia Silvera-20963.27
806824-Danilo Olaio-14027.65
836961-Emedlio Pimentel-20782.43
712499-Dulce Froes-17317.14
757181-Adelino Barra-17912.52
179176-Cleusa Goes-7959.02
93910-Joaquim Rufino-17603.12
701314-Lurdes Cotrim-19844.35
411397-Oliveira Carmona-9021.51
441666-Mercia Caeira-10248.36
875613-Honorina Lira-4893.06
383700-Andreia Moita-15931.13
969478-Liana Cardim-1674.66
914315-Joaquim Rufino-3051.79
665198-Mercia Caeira-20039.36
847600-Feledcia Peassego-2016.31
565676-Cleusa Goes-8067.25
485728-Zulmira Becerra-17134.27
381241-Delfina Perdigon-21168.38
303568-Taercio Mafra-19377.96
539335-Angelica Aranha-17131.88
134438-Taercio Mafra-6330.88
11396-Flamednia Leiria-12980.58
131855-Tibefarcio Colao-11674.88
482807-Oliveira Carmona-16121.53
601674-Edgar Carvalheiro-8595.17
139367-Adelina Quadros-12010.83
989391-Emedlia Silvera-2860.85
790389-Mercia Caeira-8164.66
258571-Branco Saraba-9707.70
562465-Elisa Themes-7258.26
172371-Henrique Bento-304.76
411465-Ximena Castilho-2874.88
116709-Liana Cardim-14276.20
601-Odete Vasques-8876.19
853028-Sidfnio Frois-4587.37
820460-Cleusa Goes-9368.76
29513-Trajano Fagundes-19348.66
665148-Almor Caiado-11421.72
655115-Elisa Themes-16084.31
473784-Zulmira Becerra-635.10
480418-Judite Damasceno-12916.82
575068-Angelica Aranha-4436.10
243565-Micaela Chavez-19817.27
916576-Dulce Froes-19162.44
742947-Oliveira Senchez-1036.13
602983-Emedlia Silvera-10404.33
546008-Esperada Cardoso-12384.63
90453-Domingos Pas-2636.44
101208-Gaudancio Fiees-2328.16
881841-Delfim Higuera-9362.90
488039-Dulce Froes-19397.70
86946-Adelino Barra-17288.62
173604-Edgar Carvalheiro-16016.21
879870-Branco Saraba-5780.54
721253-Delfina Perdigon-2703.14
299429-Almerinda Palmeira-15379.17
270116-Eurico Siqueira-12869.79
106354-Danilo Olaio-19510.70
631236-Rebeca Neto-516.87
586982-Neeamia Arruda-8545.69
568761-Cleusa Goes-7905.73
232593-Joaquim Rufino-20376.60
22646-Urbano Rodrigues-5883.50
539279-Branco Saraba-177.46
332148-Ermelinda Quintela-12134.68
221577-Tibefarcio Colao-3392.83
60732-Anind Zarco-4795.53
362772-Polibe Olivares-14216.60
825551-Jorgina Bogalho-128.07
587830-Nuno Balsemeo-89.11
672451-Rebeca Neto-14734.80
527128-Silvio Mata-14032.28
243280-Henrique Bento-2417.67
613528-Sara Lameiras-21183.07
38097-Nuno Balsemeo-3591.55
776286-Esperada Cardoso-15103.77
431079-Oliveira Carmona-1699.54
97539-Armanda Amorim-18713.17
833415-Estanislau Beserra-4356.59
256268-Adelina Quadros-3907.63
247939-Oliveira Carmona-5254.35
329170-Taercio Mafra-6319.62
586909-Lina Andrade-2917.22
194759-Letedcia Gago-11063.35
65294-Almerinda Palmeira-15063.74
887065-Polibe Olivares-17621.50
