795679-Marilda Leio-10117.13
272711-Nuno Balsemeo-19626.88
358113-Aludsio Sosa-11877.39
986208-Aludsio Sosa-21410.53
451619-Honorina Lira-8703.27
164980-Basilio Pedroso-13010.29
642822-Aludsio Sosa-11249.68
700355-Aludsio Sosa-18926.32
569127-Estanislau Beserra-5614.82
640844-Urbano Rodrigues-2807.95
350236-Esperada Cardoso-16445.91
968151-Lurdes Cotrim-19058.64
938821-Ubaldo Mainha-19222.22
335677-Elisa Themes-2977.25
755181-Daniel Vieyra-10631.76
330384-Rodolfo Paz-19573.41
967352-Odilia Bello-18025.00
993808-Camila Gabeira-3767.17
546413-Esperada Cardoso-17142.86
397452-Rodolfo Paz-11384.43
876600-Aludsio Sosa-16977.94
68991-Telma Villalobos-20167.62
466304-Tarrataca Soares-10272.17
602999-Ximena Castilho-16695.53
825585-Oliveira Senchez-15648.24
859210-Emiliana Foquio-10326.71
954643-Moaci Mendoa-2141.55
17767-Judite Damasceno-3911.48
229337-Celeste Duarte-122.11
922675-Elisa Themes-19846.09
411457-Edgar Carvalheiro-6960.01
7713-Sara Lameiras-14530.71
984156-Jussara Varanda-19235.37
698897-Jonatas Felgueiras-11476.56
621794-Tibofarcio Camacho-12664.82
753522-Antonio Castelo-10028.57
226356-Emedlia Silvera-16578.12
715822-Carminda Morais-613.46
438629-Branco Saraba-2535.75
447550-Carminda Morais-6484.98
899783-Celeste Duarte-15269.10
178268-Mercia Caeira-2384.34
218451-Micaela Chavez-8364.18
991858-Moaci Mendoa-9481.17
834166-Jorgina Bogalho-8712.55
500558-Heleedsa Marins-16690.08
354121-Feledcia Peassego-10037.51
362208-Zungela Ipiranga-6779.83
518627-Ubaldo Mainha-10684.22
886144-Mercia Caeira-17418.70
378563-Guaraci Damasceno-16892.86
388837-Feledcia Peassego-4609.80
469604-Tibofarcio Camacho-737.15
603521-Tibofarcio Camacho-15547.07
393587-Sofras Cuaresma-1310.57
181740-Jorgina Bogalho-16625.58
343542-Delfina Perdigon-7394.28
317283-Delfim Higuera-18707.91
153434-Jussara Varanda-11528.25
48630-Sofras Cuaresma-7452.28
958249-Henrique Bento-4851.23
777396-Sidfnio Frois-10685.12
546490-Cassandra Varejo-18009.81
733333-Mercia Caeira-3111.01
36824-Regina Barcellos-20414.95
111461-Almor Caiado-18161.93
710766-Guaraci Damasceno-6380.53
61095-Honorina Lira-1648.86
394623-Emiliana Foquio-4580.40
666330-Manuel Capiperibe-17710.88
323767-Angelica Aranha-4575.63
266717-Esperada Cardoso-1918.57
706153-Clarindo Areosa-12124.03
860526-Edgar Carvalheiro-606.53
721693-Delfina Perdigon-19796.90
156525-Mercia Caeira-13983.18
149228-Henrique Bento-21330.29
86627-Branco Saraba-8926.06
814578-Camila Gabeira-5025.17
884412-Adelino Barra-20311.83
698627-Elisa Themes-7780.23
119433-Armindo Castalo-5798.06
568371-Emedlio Pimentel-18975.12
515046-Tibefarcio Colao-5098.89
79331-Cleusa Goes-1191.27
138460-Camila Gabeira-8562.84
906879-Dulce Froes-889.50
728130-Tibofarcio Camacho-7040.36
435847-Oliveira Carmona-2773.67
183465-Estanislau Beserra-21092.52
52318-Odete Vasques-5024.67
967951-Cleusa Goes-2371.02
256816-Rebeca Neto-2341.87
949052-Melinda Roserio-1472.18
294344-Filomena Barrios-2872.98
845869-Fulvio Villegas-5484.36
231439-Delfina Garcia de Gondim-5993.43
161822-Esperada Cardoso-10780.71
698113-Domingos Pas-20.23
267639-Emedlia Silvera-21242.07
