971421-Ximena Castilho-4830.26
481161-Ximena Castilho-9660.86
954727-Angelica Aranha-5832.07
344231-Letedcia Gago-18963.39
886665-Henrique Bento-5252.66
412142-Danilo Olaio-13628.99
383140-Heleedsa Marins-20973.20
754816-Angelica Aranha-19522.68
797696-Sidfnio Frois-8947.18
737237-Tabalipa Duarte-17171.16
259910-Lina Andrade-14796.04
328459-Urbano Rodrigues-7746.01
886209-Camila Gabeira-20935.56
930815-Basilio Pedroso-1284.16
489772-Edgar Carvalheiro-11673.03
565723-Almor Caiado-14107.15
667401-Gaudancio Fiees-21300.98
132550-Rodolfo Paz-16273.69
530957-Jussara Varanda-2346.84
882093-Celeste Duarte-21014.21
819281-Armindo Castalo-12031.97
782642-Mercia Caeira-17675.26
348690-Zungela Ipiranga-19784.12
121260-Marilda Leio-5448.59
233176-Flor Portella-20023.49
643961-Neuza Francia-18494.31
437464-Edgar Carvalheiro-21200.98
583363-Armanda Amorim-10987.47
513396-Eurico Siqueira-3227.94
161351-Letedcia Gago-6796.76
441424-Ermelinda Quintela-10954.96
325038-Polibe Olivares-20532.78
326057-Cleusa Goes-2241.43
399208-Spnia ou Sonia Guerreiro-4862.65
888724-Oliveira Carmona-4410.14
681268-Ermelinda Quintela-6136.58
705336-Adelino Barra-2196.12
344068-Augusta Paio-13561.95
868632-Estanislau Beserra-16807.09
76724-Anind Zarco-20878.70
221934-Angelica Aranha-21473.12
80523-Zungela Ipiranga-11911.53
464599-Romo Paranage-21414.79
776723-Quintiliano Sousa de Arronches-6493.94
464062-Heleedsa Marins-11382.83
500036-Romo Paranage-4804.81
999425-Edgar Carvalheiro-867.03
596926-Urbano Rodrigues-20870.47
457794-Letedcia Gago-16664.32
112985-Neuza Francia-12070.25
444593-Aludsio Sosa-6627.63
788251-Quintino Alcantara-12368.44
926602-Lurdes Cotrim-4018.24
691984-Jorgina Bogalho-1361.17
238362-Cassandra Varejo-9845.82
315263-Jonatas Felgueiras-6545.98
533946-Rodolfo Paz-9955.97
880930-Danilo Olaio-19801.94
423226-Jussara Varanda-4121.68
190583-Lurdes Cotrim-9092.81
344352-Adelino Barra-20037.26
325956-Melinda Roserio-4960.31
976787-Domingos Pas-5869.57
622900-Carminda Morais-3531.66
663505-Nuno Balsemeo-2809.20
987326-Antonio Viegas-8112.35
308334-Delfim Higuera-4102.86
815515-Nuno Balsemeo-14451.67
401993-Anind Zarco-9771.06
936401-Domingos Pas-6868.13
495462-Zulmira Becerra-5146.74
817464-Neeamia Arruda-4605.16
499280-Telma Villalobos-17154.93
5511-Guida Juca-21261.16
629230-Cassandra Varejo-1942.96
350853-Anind Zarco-13532.83
670415-Feledcia Peassego-17885.91
587342-Andreia Moita-15869.23
214912-Zungela Ipiranga-6878.42
527272-Polibe Olivares-7577.78
121055-Leonidas Mafra-8562.74
440853-Adelina Quadros-16460.91
823974-Quintiliano Sousa de Arronches-691.07
647964-Angelica Aranha-8221.12
637513-Feledcia Peassego-18937.41
63685-Judite Damasceno-21210.92
725393-Almerinda Palmeira-112.79
672935-Branco Saraba-8548.66
303592-Daniel Vieyra-1895.98
40591-Emedlia Silvera-5751.25
107219-Liana Cardim-7732.46
847829-Guaraci Damasceno-6402.03
104729-Augusta Paio-6720.27
371058-Ubaldo Mainha-14556.75
269717-Letedcia Gago-11968.29
464210-Odilia Bello-1764.09
458217-Almerinda Palmeira-13531.34
43719-Oliveira Carmona-8423.24
68936-Antonio Viegas-891.44
452213-Odete Vasques-707.01
