101119-Carminda Morais-12924.13
297499-Nuno Balsemeo-20430.69
667577-Polibe Olivares-3138.38
714935-Rebeca Neto-3331.59
27530-Liana Cardim-6742.75
472460-Joaquim Rufino-6428.32
553205-Melinda Roserio-20935.75
667526-Celeste Duarte-2235.23
52931-Antonio Castelo-8789.41
696134-Trajano Fagundes-18950.81
325200-Melinda Roserio-13846.99
254720-Almor Caiado-1325.13
961590-Trajano Fagundes-2141.80
336419-Guida Juca-1014.12
416950-Emedlio Pimentel-7034.39
770109-Armanda Amorim-9179.12
223614-Dulce Froes-9304.65
548078-Delfina Perdigon-11721.32
438552-Almerinda Palmeira-19141.85
647963-Spnia ou Sonia Guerreiro-17533.98
270409-Tibofarcio Camacho-2652.39
789273-Gaudancio Fiees-14274.94
409328-Quintino Alcantara-12789.72
866974-Zulmira Becerra-9938.25
483222-Adelina Quadros-14252.42
890910-Antonio Viegas-7525.28
613822-Quintino Alcantara-8107.52
944206-Celeste Duarte-7718.16
797587-Gaudancio Fiees-10742.55
591690-Leonidas Mafra-7774.19
983477-Odete Vasques-9526.89
590420-Jussara Varanda-7449.95
193666-Domingos Pas-499.21
493496-Delfina Garcia de Gondim-13287.88
204846-Daniel Vieyra-6197.87
355246-Emedlia Silvera-7446.78
933509-Angilica Galante-1988.08
976487-Anfnia Seixas-10757.53
668060-Basilio Pedroso-14515.50
544807-Silvio Mata-576.58
851917-Branco Saraba-9366.42
881888-Celeste Duarte-11782.32
922144-Andreia Moita-9149.42
450626-Basilio Pedroso-3609.52
803755-Guida Juca-17651.57
914832-Tibofarcio Camacho-15360.28
553967-Anfnia Seixas-5914.78
461126-Sidfnio Frois-20094.55
184387-Guaraci Damasceno-5196.39
162303-Adelina Quadros-1837.00
75541-Domingos Pas-6075.52
678158-Edgar Carvalheiro-20564.34
792131-Adelina Quadros-16628.73
826789-Branco Saraba-7058.40
649105-Edgar Carvalheiro-1791.60
258653-Fulvio Villegas-15080.75
62697-Neuza Francia-11501.45
675058-Domingos Pas-20636.06
556294-Joaquim Rufino-7253.07
987642-Emiliana Foquio-3569.85
77142-Sofras Cuaresma-17360.61
324625-Cleusa Goes-15202.55
804157-Anind Zarco-4545.64
225758-Clara Alcantara-7363.91
115627-Tibofarcio Camacho-15470.40
678611-Tibefarcio Colao-13588.15
269956-Melinda Roserio-9163.94
855876-Manuel Capiperibe-4185.85
896506-Guaraci Damasceno-9411.42
92611-Tabalipa Duarte-17881.29
988997-Clarindo Areosa-8697.23
437582-Neuza Francia-12700.47
836606-Flor Portella-20198.51
624566-Manuel Capiperibe-18865.94
252088-Edgar Carvalheiro-12312.26
39279-Lina Andrade-18189.04
417323-Sofras Cuaresma-8906.90
456539-Odilia Bello-11855.46
101701-Almerinda Palmeira-4179.59
569901-Daniel Vieyra-12550.52
23441-Tibofarcio Camacho-17330.41
54216-Emiliana Foquio-3119.95
340384-Emedlia Silvera-11958.31
706781-Fulvio Villegas-17524.56
463843-Sara Lameiras-5402.24
777027-Sara Lameiras-20332.64
904988-Eurico Siqueira-12971.97
943125-Danilo Olaio-16296.54
566498-Camila Gabeira-7992.72
331400-Odilia Camello-16788.42
258177-Daniel Vieyra-3303.82
391269-Liana Cardim-6374.36
88003-Zungela Ipiranga-19727.76
668890-Leonidas Mafra-4959.99
843336-Angelica Aranha-12384.63
243319-Sofras Cuaresma-14522.40
580154-Estanislau Beserra-3486.62
607447-Elisa Themes-9916.05
181073-Delfina Perdigon-16521.71
230243-Quintiliano Sousa de Arronches-11240.19
