162493-Flor Portella-6474.39
731924-Liana Cardim-20662.12
850084-Melinda Roserio-3877.17
974018-Edgar Carvalheiro-17815.08
301002-Letedcia Gago-11695.72
907441-Filomena Barrios-20976.00
719802-Augusta Paio-12225.90
657521-Ermelinda Quintela-18440.06
557630-Gaudancio Fiees-8664.47
520918-Sofras Cuaresma-7479.84
977971-Telma Villalobos-17491.46
924967-Feledcia Peassego-17718.78
334527-Silvio Mata-9942.44
75743-Fulvio Villegas-687.35
910276-Angelica Aranha-17420.36
326885-Quintiliano Sousa de Arronches-9834.60
383727-Silvio Mata-13401.79
192594-Jorgina Bogalho-2853.53
869432-Ermelinda Quintela-6479.11
369130-Tarrataca Soares-6369.48
819515-Spnia ou Sonia Guerreiro-5614.43
225205-Anfnia Seixas-18533.68
359398-Augusta Paio-13082.18
210884-Tibofarcio Camacho-3598.10
86681-Clara Alcantara-2532.37
50740-Gaudancio Fiees-9195.64
614417-Celeste Duarte-3664.64
801055-Neuza Francia-17046.57
477009-Zulmira Becerra-13950.42
632498-Fulvio Villegas-16224.12
255288-Basilio Pedroso-12177.47
56927-Angelica Aranha-8284.89
736636-Oliveira Senchez-3733.65
177203-Spnia ou Sonia Guerreiro-2400.92
352646-Delfina Garcia de Gondim-626.95
563969-Judite Damasceno-10107.46
267667-Antonio Castelo-8868.77
634488-Antonio Castelo-9136.78
871009-Guaraci Damasceno-7876.71
18507-Armindo Castalo-13753.03
630604-Taercio Mafra-12770.75
168920-Sidfnio Frois-946.48
107478-Odilia Bello-17473.85
264453-Urbano Rodrigues-7870.79
231941-Judite Damasceno-15774.31
952921-Honorina Lira-15655.12
237927-Nuno Balsemeo-17347.79
987038-Trajano Fagundes-12779.30
909202-Delfina Garcia de Gondim-4803.17
873849-Antonio Viegas-21373.36
282815-Sidfnio Frois-4434.83
922909-Sofras Cuaresma-2551.68
84746-Oliveira Carmona-12782.76
95018-Moaci Mendoa-5260.56
197315-Letedcia Gago-5058.05
511021-Neuza Francia-14707.58
570524-Ubaldo Mainha-455.12
506595-Augusta Paio-8914.99
636640-Flamednia Leiria-14184.08
437668-Dulce Froes-8737.98
58531-Clarindo Areosa-8800.81
270867-Estanislau Beserra-5075.20
615253-Romo Paranage-5846.05
861027-Dulce Froes-14847.00
701746-Cleusa Goes-13004.14
973703-Spnia ou Sonia Guerreiro-944.41
789923-Delfina Garcia de Gondim-10250.12
385371-Lina Andrade-6840.35
910886-Filomena Barrios-21326.71
270181-Quintino Alcantara-18636.25
481764-Polibe Olivares-12522.00
176239-Emedlio Pimentel-15754.71
38879-Taercio Mafra-7806.03
177161-Carminda Morais-6149.80
888244-Manuel Capiperibe-18656.82
404069-Delfim Higuera-18151.72
193908-Neuza Francia-20289.62
495688-Aludsio Sosa-20943.47
296449-Edgar Carvalheiro-11417.75
21743-Regina Barcellos-17990.45
61773-Lina Andrade-19085.26
666650-Liana Cardim-19137.03
308338-Antonio Castelo-20697.42
555233-Taercio Mafra-15074.35
18704-Cleusa Goes-7528.40
412418-Jonatas Felgueiras-3117.60
247397-Melinda Roserio-16549.54
94165-Flamednia Leiria-5329.66
975669-Lina Andrade-21322.62
44901-Liana Cardim-14288.00
772234-Clara Alcantara-14438.62
699846-Cleusa Goes-9100.45
98605-Judite Damasceno-3348.70
616468-Heleedsa Marins-3029.42
114462-Eurico Siqueira-1514.77
810686-Adelino Barra-11808.89
195195-Neeamia Arruda-13381.36
57911-Domingos Pas-16482.31
784207-Eurico Siqueira-6477.23
284967-Taercio Mafra-4692.84
