272684-Ximena Castilho-13723.82
652151-Cleusa Goes-9845.12
457768-Judite Damasceno-11199.28
676519-Filomena Barrios-14586.87
435476-Fulvio Villegas-9193.81
736233-Silvio Mata-7125.92
618410-Honorina Lira-1665.48
867726-Nuno Balsemeo-2910.44
597000-Marilda Leio-10392.99
699105-Rebeca Neto-11747.95
954225-Micaela Chavez-21040.68
631322-Feledcia Peassego-8292.36
659846-Camila Gabeira-3662.10
208600-Guida Juca-7038.87
37094-Oliveira Senchez-16443.22
460039-Ubaldo Mainha-5845.75
331378-Anind Zarco-3857.09
381881-Quintino Alcantara-10885.77
933604-Angelica Aranha-6806.91
794767-Flor Portella-459.06
13299-Camila Gabeira-1188.60
613364-Ubaldo Mainha-5954.92
725405-Feledcia Peassego-14951.51
798175-Andreia Moita-2758.76
41523-Zulmira Becerra-11209.13
698550-Clarindo Areosa-7508.90
431145-Antonio Castelo-21152.21
227905-Quintiliano Sousa de Arronches-1511.19
69136-Flamednia Leiria-2560.53
209042-Moaci Mendoa-14718.48
660138-Artur Grillo-16888.61
695108-Emedlio Pimentel-1319.91
966103-Joaquim Rufino-20807.16
447244-Cassandra Varejo-650.31
331402-Emedlia Silvera-19860.72
537700-Telma Villalobos-1732.87
835075-Oliveira Carmona-17817.18
841938-Eurico Siqueira-5354.63
426015-Antonio Viegas-10205.32
217010-Adelina Quadros-21287.41
914028-Tabalipa Duarte-7399.17
471294-Feledcia Peassego-11056.12
520130-Henrique Bento-19075.79
236734-Emedlia Silvera-13645.42
829707-Taercio Mafra-1803.90
336142-Aludsio Sosa-21469.28
248784-Antonio Viegas-14062.79
899011-Clara Alcantara-4916.37
668703-Clara Alcantara-4915.80
975114-Melinda Roserio-20867.97
162066-Flor Portella-10282.27
726506-Edgar Carvalheiro-17296.98
765447-Polibe Olivares-4917.35
553350-Basilio Pedroso-9569.71
855685-Leonidas Mafra-12538.01
746679-Joaquim Rufino-3556.54
441235-Odilia Camello-11609.03
854146-Elisa Themes-14898.01
246020-Lurdes Cotrim-14934.70
169643-Honorina Lira-14279.62
350407-Celeste Duarte-6176.40
448452-Emiliana Foquio-7513.67
675236-Romo Paranage-19611.32
996864-Armanda Amorim-20326.85
376932-Adelino Barra-10310.58
630490-Edgar Carvalheiro-9423.21
844294-Guida Juca-19397.62
337068-Delfim Higuera-15101.32
467101-Antonio Viegas-1888.95
693114-Angelica Aranha-11440.64
715765-Odilia Camello-619.31
481787-Taercio Mafra-19773.79
462473-Artur Grillo-15535.71
177955-Sofras Cuaresma-6980.84
381319-Eurico Siqueira-7754.61
385920-Rebeca Neto-19660.92
44253-Judite Damasceno-21219.36
121453-Oliveira Carmona-5017.89
516533-Carminda Morais-18922.56
381843-Jussara Varanda-3424.66
725201-Honorina Lira-866.98
708674-Henrique Bento-56.96
575120-Esperada Cardoso-18291.59
573635-Tibofarcio Camacho-17538.53
290272-Polibe Olivares-7367.51
64364-Almor Caiado-316.53
158944-Daniel Vieyra-21416.97
531598-Mercia Caeira-17853.35
552824-Liana Cardim-4523.68
468644-Neeamia Arruda-17837.50
965051-Flor Portella-7649.91
876102-Liana Cardim-1612.16
199305-Guaraci Damasceno-7237.91
93543-Taercio Mafra-1188.81
72034-Armindo Castalo-3791.72
28062-Jorgina Bogalho-3882.36
592118-Ximena Castilho-10883.95
608495-Ubaldo Mainha-1244.43
414263-Domingos Pas-11539.96
992874-Anind Zarco-709.81
