476394-Marilda Leio-1234.42
366904-Neeamia Arruda-1797.70
812199-Tarrataca Soares-1336.07
11455-Almerinda Palmeira-7100.20
576672-Almerinda Palmeira-11696.66
703802-Lina Andrade-13580.56
238195-Emedlio Pimentel-4622.66
145417-Fulvio Villegas-10377.28
603781-Flor Portella-6537.85
367392-Spnia ou Sonia Guerreiro-17424.31
506393-Odete Vasques-7554.24
581308-Eurico Siqueira-19287.91
741077-Leonidas Mafra-3171.19
844367-Silvio Mata-17731.31
620721-Jonatas Felgueiras-242.24
716524-Moaci Mendoa-19739.27
402384-Emedlia Silvera-9426.82
632572-Gaudancio Fiees-18598.27
668870-Edgar Carvalheiro-6629.48
537414-Urbano Rodrigues-18403.15
84054-Judite Damasceno-18333.38
72377-Neeamia Arruda-20739.19
830269-Romo Paranage-8411.76
678927-Almor Caiado-1395.37
580566-Ximena Castilho-6771.58
631722-Fulvio Villegas-13968.74
771740-Tabalipa Duarte-13737.93
661275-Adelina Quadros-6079.42
795421-Taercio Mafra-10986.11
231106-Edgar Carvalheiro-9186.65
97702-Basilio Pedroso-21247.49
387957-Anind Zarco-5453.37
501478-Delfina Perdigon-6551.68
217760-Camila Gabeira-4403.63
97316-Delfina Garcia de Gondim-6109.44
684113-Artur Grillo-1890.92
714658-Sidfnio Frois-5328.63
943498-Rebeca Neto-21045.25
516050-Urbano Rodrigues-16468.36
36097-Delfina Garcia de Gondim-19610.68
387381-Micaela Chavez-4946.82
76297-Edgar Carvalheiro-1505.86
716857-Branco Saraba-7100.87
533787-Rodolfo Paz-3428.21
887805-Antonio Castelo-8219.19
399633-Mercia Caeira-241.19
302147-Antonio Castelo-20708.34
514083-Romo Paranage-14622.94
668015-Danilo Olaio-583.26
432811-Daniel Vieyra-6693.62
378591-Domingos Pas-8407.50
589409-Tibefarcio Colao-2583.42
137641-Edgar Carvalheiro-9960.59
369910-Sidfnio Frois-17475.93
448791-Andreia Moita-5049.97
987554-Esperada Cardoso-929.13
617921-Romo Paranage-19082.15
627984-Clarindo Areosa-8822.46
162666-Mercia Caeira-19179.14
50093-Lina Andrade-18188.63
521370-Sara Lameiras-15037.58
674200-Jussara Varanda-9498.64
412892-Emedlio Pimentel-7025.17
755276-Jorgina Bogalho-14168.87
919112-Quintino Alcantara-13858.53
1717-Ermelinda Quintela-12203.56
203556-Taercio Mafra-11094.91
755638-Emedlia Silvera-15861.19
117813-Flamednia Leiria-4597.98
289781-Augusta Paio-15248.48
856693-Quintino Alcantara-2998.86
656876-Judite Damasceno-15745.60
315683-Odete Vasques-12044.89
33620-Honorina Lira-20472.44
860825-Clarindo Areosa-1506.80
685103-Jorgina Bogalho-6316.81
422440-Jonatas Felgueiras-13668.85
891335-Tibefarcio Colao-1321.57
605870-Zungela Ipiranga-5372.75
266766-Gaudancio Fiees-4930.81
790481-Basilio Pedroso-6689.38
588311-Ermelinda Quintela-19055.95
249665-Almor Caiado-1664.27
944888-Flor Portella-7424.60
527540-Zulmira Becerra-10863.21
479115-Nuno Balsemeo-17030.06
303520-Heleedsa Marins-5379.45
618676-Mercia Caeira-16468.36
568921-Zulmira Becerra-16169.58
316920-Manuel Capiperibe-2187.42
429118-Carminda Morais-14185.32
910534-Andreia Moita-2776.37
984424-Oliveira Senchez-20408.86
547327-Basilio Pedroso-9683.48
870871-Dulce Froes-6243.92
874170-Adelino Barra-2473.87
75292-Antonio Castelo-10576.91
161441-Anfnia Seixas-20173.09
404608-Delfina Perdigon-4173.94
438958-Augusta Paio-10127.11
