576106-Romo Paranage-10881.92
691183-Domingos Pas-2932.81
232539-Rodolfo Paz-4198.98
355533-Adelino Barra-7863.68
776943-Henrique Bento-11939.31
566854-Telma Villalobos-13520.65
519106-Estanislau Beserra-8852.33
969326-Almerinda Palmeira-10314.86
287886-Jussara Varanda-9420.86
593704-Flor Portella-1828.26
677313-Marilda Leio-1854.03
253647-Anind Zarco-3860.94
974629-Polibe Olivares-6383.26
655611-Spnia ou Sonia Guerreiro-12616.82
558964-Armanda Amorim-17244.59
747266-Tibefarcio Colao-16365.42
946909-Rodolfo Paz-845.77
276748-Flor Portella-6045.47
526302-Emedlio Pimentel-2513.51
258309-Angilica Galante-16459.45
347253-Elisa Themes-11001.38
144969-Filomena Barrios-5299.08
224129-Telma Villalobos-19638.83
201305-Cleusa Goes-13040.55
546692-Almerinda Palmeira-5911.30
339305-Emiliana Foquio-18878.78
713049-Cleusa Goes-3833.41
320231-Tibefarcio Colao-18156.18
413175-Gaudancio Fiees-9716.60
108663-Aludsio Sosa-14949.19
146923-Rebeca Neto-4227.82
71356-Almerinda Palmeira-9909.27
89498-Angilica Galante-13451.51
950240-Oliveira Carmona-19053.53
492765-Angelica Aranha-13104.16
10367-Letedcia Gago-7542.71
586253-Basilio Pedroso-15889.84
223177-Polibe Olivares-4048.21
439521-Estanislau Beserra-3807.50
490467-Marilda Leio-3113.75
2423-Eurico Siqueira-3795.22
652702-Estanislau Beserra-7705.94
727657-Augusta Paio-18706.83
201916-Guida Juca-231.50
731090-Danilo Olaio-7846.42
390497-Anfnia Seixas-15846.53
960106-Taercio Mafra-19122.39
354122-Anfnia Seixas-18519.79
398351-Joaquim Rufino-20084.18
102742-Antonio Viegas-4854.25
725605-Flamednia Leiria-10764.27
646897-Regina Barcellos-5865.96
495236-Mercia Caeira-16933.24
11103-Taercio Mafra-20655.26
395804-Spnia ou Sonia Guerreiro-8597.74
196030-Zulmira Becerra-8146.80
783792-Marilda Leio-16706.40
872138-Jonatas Felgueiras-16635.11
264947-Odete Vasques-4614.26
924451-Joaquim Rufino-11835.28
959313-Letedcia Gago-10297.70
516456-Neuza Francia-4229.34
183588-Sidfnio Frois-3539.45
533855-Neuza Francia-204.73
550202-Taercio Mafra-13278.68
692689-Camila Gabeira-12915.81
520739-Zungela Ipiranga-6658.81
587902-Jussara Varanda-10397.53
150059-Manuel Capiperibe-6705.34
163082-Marilda Leio-20864.59
84734-Neeamia Arruda-13039.34
950143-Daniel Vieyra-8499.67
412011-Neeamia Arruda-14951.51
714347-Neuza Francia-8152.01
59067-Cleusa Goes-9807.51
177262-Manuel Capiperibe-6289.60
492132-Tibefarcio Colao-13444.81
963783-Lina Andrade-7445.85
946339-Rebeca Neto-6812.52
354501-Henrique Bento-10154.15
807365-Emedlia Silvera-850.16
546886-Regina Barcellos-11139.66
219963-Lurdes Cotrim-3938.94
838184-Almerinda Palmeira-17656.09
412653-Trajano Fagundes-8521.84
888229-Quintiliano Sousa de Arronches-6608.78
944591-Heleedsa Marins-20063.70
881883-Oliveira Senchez-1168.50
88595-Melinda Roserio-9507.96
346026-Sara Lameiras-6746.67
62277-Tabalipa Duarte-4719.91
713012-Tarrataca Soares-13725.38
363744-Almerinda Palmeira-16517.58
165357-Artur Grillo-16635.96
168060-Trajano Fagundes-14285.25
438405-Estanislau Beserra-1269.30
669083-Melinda Roserio-11978.74
380832-Quintiliano Sousa de Arronches-10122.72
194259-Quintiliano Sousa de Arronches-6098.77
259423-Dulce Froes-6612.23
