25143-Artur Grillo-12517.80
540400-Joaquim Rufino-5453.49
899242-Sofras Cuaresma-18853.75
605644-Clarindo Areosa-20039.91
219210-Neeamia Arruda-14677.90
82351-Anfnia Seixas-20458.08
243629-Antonio Viegas-19506.60
60927-Emedlio Pimentel-18449.88
232862-Guida Juca-21242.15
608696-Lina Andrade-16316.59
799229-Polibe Olivares-17696.84
973896-Domingos Pas-19962.24
807348-Andreia Moita-9586.40
811686-Regina Barcellos-20662.46
575261-Marilda Leio-12329.81
657930-Odete Vasques-13470.63
512191-Esperada Cardoso-9248.23
782302-Filomena Barrios-21238.84
984990-Delfim Higuera-2896.33
320939-Flamednia Leiria-12972.42
401751-Almor Caiado-8645.58
779180-Marilda Leio-19575.32
988810-Moaci Mendoa-16248.55
605968-Melinda Roserio-11161.83
214048-Daniel Vieyra-18867.59
645163-Esperada Cardoso-15959.33
883934-Regina Barcellos-20664.45
299373-Adelino Barra-8137.44
219567-Sofras Cuaresma-10807.29
871146-Branco Saraba-9235.66
181390-Quintino Alcantara-4314.84
208145-Tabalipa Duarte-8562.63
459109-Zulmira Becerra-5957.69
866227-Taercio Mafra-15353.75
35143-Almor Caiado-13841.05
185069-Taercio Mafra-16097.50
914707-Quintiliano Sousa de Arronches-21106.34
984039-Manuel Capiperibe-5424.50
937640-Telma Villalobos-8976.69
41077-Jonatas Felgueiras-10055.40
386694-Danilo Olaio-3502.38
290073-Delfina Garcia de Gondim-7014.46
757813-Feledcia Peassego-19079.05
80911-Odilia Camello-6332.88
103757-Judite Damasceno-10913.23
885260-Henrique Bento-2200.25
632406-Regina Barcellos-15139.39
824684-Sidfnio Frois-16029.23
277098-Angilica Galante-4633.77
458288-Cleusa Goes-5324.18
721897-Sidfnio Frois-9598.05
469675-Feledcia Peassego-4626.11
480804-Angilica Galante-9983.69
260445-Adelina Quadros-20444.50
447270-Emedlio Pimentel-4220.70
222624-Gaudancio Fiees-1654.72
780726-Antonio Viegas-7231.04
489159-Moaci Mendoa-20139.29
647295-Manuel Capiperibe-5567.23
474702-Emedlia Silvera-17271.81
358878-Jussara Varanda-64.19
481214-Guida Juca-1208.89
49855-Angelica Aranha-7793.69
40262-Oliveira Senchez-4301.46
318662-Adelino Barra-6085.94
436551-Estanislau Beserra-5513.33
578997-Sidfnio Frois-18681.13
177059-Melinda Roserio-2271.19
214777-Flamednia Leiria-4657.66
113439-Marilda Leio-13342.41
946827-Rebeca Neto-16906.00
101634-Odete Vasques-18850.81
351583-Carminda Morais-4716.47
487189-Armanda Amorim-15056.87
589365-Polibe Olivares-13255.22
278218-Basilio Pedroso-10224.75
922658-Emiliana Foquio-8165.71
187794-Armanda Amorim-742.64
381958-Emedlio Pimentel-3984.79
814954-Antonio Castelo-1051.09
945069-Basilio Pedroso-18740.55
977848-Emedlia Silvera-2226.73
415672-Antonio Viegas-20560.25
222991-Adelina Quadros-19300.29
176604-Joaquim Rufino-18891.34
240132-Liana Cardim-2079.29
636200-Marilda Leio-13468.51
661886-Quintino Alcantara-17340.39
289998-Odete Vasques-12359.38
200535-Jonatas Felgueiras-4092.69
868198-Carminda Morais-9812.14
135514-Branco Saraba-8107.08
516401-Henrique Bento-186.40
28012-Daniel Vieyra-15318.63
743312-Basilio Pedroso-14855.56
497316-Danilo Olaio-4883.13
242927-Gaudancio Fiees-12389.49
42790-Lina Andrade-13106.11
623020-Elisa Themes-9304.17
682044-Antonio Castelo-5641.34
