375243-Emiliana Foquio-1873.36
11353-Cassandra Varejo-3279.50
921894-Oliveira Senchez-19270.20
951576-Clara Alcantara-19204.09
749148-Angelica Aranha-3874.33
483678-Quintino Alcantara-21306.35
281551-Andreia Moita-6461.26
945170-Ubaldo Mainha-9365.81
182675-Joaquim Rufino-15868.86
516481-Anfnia Seixas-20596.73
301745-Esperada Cardoso-1865.64
596831-Emedlia Silvera-14015.76
834951-Moaci Mendoa-10020.14
162179-Guaraci Damasceno-1774.82
803401-Telma Villalobos-3202.31
546760-Elisa Themes-11707.15
398790-Basilio Pedroso-13939.96
927847-Telma Villalobos-14949.41
298794-Telma Villalobos-3676.40
619046-Letedcia Gago-20411.57
273855-Neuza Francia-16429.75
780646-Sidfnio Frois-3100.88
720581-Taercio Mafra-2334.39
196347-Sidfnio Frois-8016.02
597394-Odete Vasques-739.21
948236-Emedlio Pimentel-8784.68
933869-Aludsio Sosa-16438.67
45486-Filomena Barrios-20067.95
254376-Jonatas Felgueiras-21200.94
865219-Aludsio Sosa-17002.29
665128-Urbano Rodrigues-14770.19
29348-Cleusa Goes-16378.00
969232-Aludsio Sosa-3630.37
439378-Manuel Capiperibe-17272.33
391363-Oliveira Carmona-12083.47
574334-Zulmira Becerra-13412.95
988322-Lina Andrade-21092.29
398526-Clara Alcantara-20107.91
782820-Quintino Alcantara-19825.62
291177-Edgar Carvalheiro-14639.43
472781-Taercio Mafra-3671.25
145729-Henrique Bento-10261.54
906854-Tibofarcio Camacho-5476.40
107458-Delfim Higuera-20810.79
426072-Manuel Capiperibe-15089.87
149747-Elisa Themes-12990.77
857945-Odilia Camello-4745.82
949458-Joaquim Rufino-4294.97
352132-Angilica Galante-5112.80
364762-Sofras Cuaresma-10875.71
606394-Tibofarcio Camacho-20520.44
383589-Zulmira Becerra-7527.06
476991-Esperada Cardoso-17946.13
607183-Anind Zarco-11162.36
486862-Trajano Fagundes-16666.62
229776-Armanda Amorim-13723.29
267809-Letedcia Gago-11117.03
51183-Delfina Garcia de Gondim-3811.69
141735-Carminda Morais-11875.21
310194-Tabalipa Duarte-13558.86
938131-Tarrataca Soares-4390.08
174322-Odilia Bello-20613.92
597173-Anfnia Seixas-14183.85
143211-Aludsio Sosa-10205.09
800871-Cleusa Goes-4475.12
445164-Filomena Barrios-9077.42
683128-Angelica Aranha-15950.10
503085-Regina Barcellos-3235.77
819913-Esperada Cardoso-12517.19
416432-Angelica Aranha-20670.29
100172-Odilia Camello-20859.67
343914-Delfina Garcia de Gondim-16756.58
809738-Oliveira Senchez-18622.55
888148-Anfnia Seixas-10459.15
202952-Angelica Aranha-13077.15
212928-Rebeca Neto-20091.61
551471-Armindo Castalo-1543.60
592877-Dulce Froes-5128.63
319310-Emedlia Silvera-13666.83
566548-Emiliana Foquio-10796.16
215707-Marilda Leio-7392.32
873180-Mercia Caeira-2500.93
955260-Tibefarcio Colao-3649.02
906236-Edgar Carvalheiro-7307.91
398697-Flamednia Leiria-3165.10
886803-Moaci Mendoa-7887.23
633034-Celeste Duarte-13722.74
388848-Anfnia Seixas-10313.83
238131-Antonio Viegas-1472.19
322618-Guida Juca-20547.86
436152-Leonidas Mafra-16675.18
33216-Emiliana Foquio-15719.07
804483-Adelina Quadros-16818.62
347128-Marilda Leio-12682.85
804360-Domingos Pas-13516.84
9756-Daniel Vieyra-2320.87
859422-Flor Portella-9647.20
585544-Tibefarcio Colao-8496.25
691205-Henrique Bento-2103.80
479968-Anind Zarco-2987.02
