905651-Nuno Balsemeo-20288.56
541411-Joaquim Rufino-13240.03
217333-Melinda Roserio-3971.16
808261-Honorina Lira-21190.13
847825-Jonatas Felgueiras-19779.32
467295-Almerinda Palmeira-21132.08
597989-Feledcia Peassego-2783.91
63993-Moaci Mendoa-11932.72
157144-Delfina Perdigon-18147.87
522050-Dulce Froes-1347.56
415103-Marilda Leio-15496.62
727174-Trajano Fagundes-18132.03
44226-Flor Portella-6829.37
284643-Esperada Cardoso-11667.45
313094-Camila Gabeira-8271.09
502203-Anfnia Seixas-2560.93
62005-Nuno Balsemeo-14636.91
602299-Melinda Roserio-562.71
94565-Neuza Francia-2594.28
676046-Manuel Capiperibe-4349.50
719429-Angilica Galante-668.82
135444-Basilio Pedroso-19926.09
554038-Antonio Viegas-18661.70
604734-Armindo Castalo-4399.71
184824-Fulvio Villegas-17852.84
696642-Odilia Bello-19557.86
449204-Tarrataca Soares-17903.64
592326-Joaquim Rufino-84.83
6990-Liana Cardim-16655.78
724458-Neuza Francia-667.70
197920-Regina Barcellos-5404.89
849380-Carminda Morais-8206.25
220248-Sidfnio Frois-836.95
527858-Urbano Rodrigues-8743.00
96823-Almerinda Palmeira-10164.85
774968-Lina Andrade-3406.98
545940-Delfim Higuera-9601.47
7730-Trajano Fagundes-10057.39
257034-Polibe Olivares-16707.46
934645-Angelica Aranha-4749.87
562613-Moaci Mendoa-18481.85
588745-Clara Alcantara-8975.51
223864-Basilio Pedroso-15837.71
544900-Flor Portella-2948.15
836496-Heleedsa Marins-3449.12
928099-Ximena Castilho-4136.87
321911-Guida Juca-7572.33
596290-Quintino Alcantara-6917.57
837183-Guaraci Damasceno-2735.30
688211-Quintino Alcantara-19094.65
309070-Delfina Perdigon-17395.44
902836-Lurdes Cotrim-19781.33
154010-Tibefarcio Colao-3228.73
583926-Romo Paranage-7874.18
313670-Taercio Mafra-16642.54
560772-Oliveira Senchez-4436.99
989169-Guida Juca-12290.21
80769-Honorina Lira-15156.17
911548-Eurico Siqueira-13119.70
4847-Danilo Olaio-1361.75
85125-Quintiliano Sousa de Arronches-2024.84
866654-Odilia Camello-20513.87
715167-Emiliana Foquio-610.57
334560-Urbano Rodrigues-7576.41
769042-Angelica Aranha-7204.71
631788-Augusta Paio-9660.32
665063-Spnia ou Sonia Guerreiro-18350.21
447511-Ximena Castilho-21401.02
503214-Taercio Mafra-7395.30
572854-Almerinda Palmeira-14515.35
140132-Rodolfo Paz-4561.36
251309-Guaraci Damasceno-17490.03
11483-Cleusa Goes-19327.18
644517-Quintino Alcantara-4435.69
211665-Almor Caiado-18713.38
33071-Adelina Quadros-1184.86
69538-Camila Gabeira-20411.51
126625-Angelica Aranha-19541.15
316974-Feledcia Peassego-5491.35
994120-Polibe Olivares-2472.24
329923-Emedlia Silvera-8103.64
666156-Adelino Barra-18306.15
905655-Emedlia Silvera-9911.43
686079-Delfina Garcia de Gondim-7623.04
624058-Basilio Pedroso-19315.16
549613-Tibefarcio Colao-18680.65
990814-Sara Lameiras-10156.51
485884-Esperada Cardoso-6032.94
599242-Anind Zarco-21466.11
242436-Sidfnio Frois-5151.21
420312-Flor Portella-1399.68
250699-Artur Grillo-12236.34
600253-Mercia Caeira-15225.39
184140-Filomena Barrios-10977.42
820568-Domingos Pas-7068.82
827636-Trajano Fagundes-10704.32
320780-Guaraci Damasceno-10069.39
481416-Delfim Higuera-2039.41
757054-Elisa Themes-8015.41
683614-Liana Cardim-13917.83
