666966-Rodolfo Paz-18567.38
670200-Jussara Varanda-11089.34
54336-Mercia Caeira-6917.95
188209-Clarindo Areosa-3810.32
892704-Rodolfo Paz-14372.34
482587-Almerinda Palmeira-12387.26
534678-Flamednia Leiria-13775.72
786918-Joaquim Rufino-10382.12
216984-Clara Alcantara-12291.41
518296-Jonatas Felgueiras-10051.06
329715-Flor Portella-10307.73
786496-Joaquim Rufino-6669.59
457604-Lina Andrade-5695.30
676223-Angelica Aranha-8537.18
421646-Aludsio Sosa-18986.11
605179-Polibe Olivares-14836.10
291034-Nuno Balsemeo-6536.61
329077-Andreia Moita-9734.48
403581-Anind Zarco-3801.81
315703-Guida Juca-19636.99
966511-Almerinda Palmeira-1815.45
871108-Anind Zarco-13013.32
710060-Jussara Varanda-14107.89
860572-Lina Andrade-14294.66
43330-Celeste Duarte-13634.04
460235-Celeste Duarte-19890.09
119563-Adelina Quadros-1298.16
867686-Zulmira Becerra-15161.45
827791-Sidfnio Frois-16565.49
929299-Moaci Mendoa-14853.81
652747-Melinda Roserio-9938.64
665101-Leonidas Mafra-20387.35
636561-Anind Zarco-14339.61
137817-Rodolfo Paz-20188.22
873429-Adelina Quadros-20268.65
219750-Henrique Bento-7478.42
692071-Emedlia Silvera-15679.61
341424-Heleedsa Marins-15698.29
438374-Flor Portella-17916.57
716258-Flamednia Leiria-13151.02
209724-Leonidas Mafra-11452.72
248488-Regina Barcellos-1654.53
135398-Marilda Leio-11900.90
811706-Neeamia Arruda-4937.44
469987-Angelica Aranha-10776.17
48239-Domingos Pas-5453.53
635290-Moaci Mendoa-3805.62
554877-Estanislau Beserra-12369.03
619726-Aludsio Sosa-19403.42
266122-Carminda Morais-7235.74
777066-Romo Paranage-16977.84
184476-Ximena Castilho-7495.49
326756-Danilo Olaio-13276.84
946671-Odilia Bello-5480.12
904793-Guaraci Damasceno-19874.82
728099-Polibe Olivares-5670.47
425882-Quintiliano Sousa de Arronches-4231.98
568648-Adelino Barra-16857.53
573139-Joaquim Rufino-15758.89
234443-Armanda Amorim-17501.55
30915-Fulvio Villegas-15464.49
582597-Odete Vasques-19586.33
103646-Flamednia Leiria-7304.76
714273-Daniel Vieyra-14434.23
68645-Ubaldo Mainha-18213.28
556545-Andreia Moita-17435.72
914073-Jonatas Felgueiras-19579.98
316950-Ermelinda Quintela-18850.83
139304-Ubaldo Mainha-9471.73
819508-Cleusa Goes-9359.24
73820-Clarindo Areosa-10189.54
628318-Zulmira Becerra-1940.53
731489-Domingos Pas-7741.57
35084-Sofras Cuaresma-18018.71
350809-Elisa Themes-16234.56
665005-Edgar Carvalheiro-13165.29
542262-Artur Grillo-14264.43
101518-Ubaldo Mainha-1862.77
446707-Basilio Pedroso-9804.16
681203-Elisa Themes-14542.35
587479-Basilio Pedroso-1838.26
458955-Ximena Castilho-10144.54
963753-Cleusa Goes-4007.02
461335-Polibe Olivares-18177.37
898372-Daniel Vieyra-15186.04
663305-Odilia Bello-14907.85
516938-Eurico Siqueira-1538.44
885152-Antonio Viegas-784.62
852947-Ermelinda Quintela-8029.08
509816-Carminda Morais-17555.90
90201-Oliveira Carmona-3916.94
625017-Zungela Ipiranga-4051.53
213214-Armindo Castalo-16071.16
474790-Marilda Leio-4330.94
124018-Oliveira Senchez-4739.92
229544-Tibofarcio Camacho-14036.56
380616-Clara Alcantara-6706.89
491308-Oliveira Senchez-2330.90
878570-Sara Lameiras-19759.43
681707-Guaraci Damasceno-4039.70
