856509-Andreia Moita-18396.60
567188-Ubaldo Mainha-11224.94
65332-Edgar Carvalheiro-3171.86
855347-Anind Zarco-4855.79
127469-Delfim Higuera-20515.43
424961-Odete Vasques-19851.09
564255-Odete Vasques-3533.97
640120-Manuel Capiperibe-1197.88
236788-Adelina Quadros-12802.29
511896-Odete Vasques-9250.78
778889-Letedcia Gago-11389.35
842694-Cassandra Varejo-19745.02
378190-Dulce Froes-14540.84
767474-Zulmira Becerra-7554.55
134082-Antonio Castelo-7270.99
507261-Leonidas Mafra-5290.41
491785-Guida Juca-16796.05
34356-Clara Alcantara-4787.61
761971-Lurdes Cotrim-3505.15
263371-Estanislau Beserra-1855.43
811395-Oliveira Carmona-4483.22
19652-Heleedsa Marins-10181.64
722273-Anfnia Seixas-7660.59
127256-Basilio Pedroso-18858.26
111054-Flor Portella-15694.77
153917-Esperada Cardoso-6615.00
822027-Emedlio Pimentel-14459.92
887175-Leonidas Mafra-13685.43
739897-Neuza Francia-9898.21
338011-Danilo Olaio-6166.01
14550-Odilia Camello-8064.12
142376-Moaci Mendoa-12514.32
772325-Henrique Bento-9266.71
518786-Liana Cardim-1493.14
204402-Almor Caiado-15524.25
505699-Anfnia Seixas-7450.96
847637-Honorina Lira-18599.18
310825-Henrique Bento-9553.21
51735-Cleusa Goes-2985.77
790803-Nuno Balsemeo-11699.15
72629-Antonio Viegas-1994.46
192454-Jussara Varanda-6735.89
476621-Odilia Camello-2718.77
336023-Zungela Ipiranga-4483.96
21782-Edgar Carvalheiro-19586.00
700686-Emiliana Foquio-12346.23
396347-Antonio Castelo-9529.87
84198-Neuza Francia-6458.14
314949-Clarindo Areosa-7918.65
399625-Tabalipa Duarte-17416.56
568895-Anind Zarco-15332.45
666858-Honorina Lira-6149.54
196813-Odilia Bello-49.47
913739-Regina Barcellos-4692.83
944890-Filomena Barrios-17463.05
917674-Jussara Varanda-11105.22
986008-Andreia Moita-13709.18
488272-Elisa Themes-18260.02
311640-Heleedsa Marins-16968.34
712363-Neuza Francia-19732.33
544804-Basilio Pedroso-11243.19
339864-Clarindo Areosa-21039.85
207215-Honorina Lira-18686.99
468240-Almerinda Palmeira-13451.29
609020-Tabalipa Duarte-6825.90
383014-Liana Cardim-14335.08
779569-Domingos Pas-480.10
679026-Zungela Ipiranga-5334.98
392212-Branco Saraba-16978.10
970861-Armanda Amorim-16920.39
722129-Jussara Varanda-16861.00
234997-Jonatas Felgueiras-18794.40
701921-Clarindo Areosa-7981.63
115872-Delfina Garcia de Gondim-8616.31
329227-Delfina Garcia de Gondim-3707.57
847415-Honorina Lira-12841.40
403826-Emiliana Foquio-5414.36
878456-Feledcia Peassego-12431.15
871855-Emedlio Pimentel-18875.07
215324-Zungela Ipiranga-11189.94
308489-Camila Gabeira-6792.33
236596-Adelino Barra-21014.68
150153-Adelina Quadros-17056.86
278676-Telma Villalobos-16443.18
52256-Adelino Barra-2391.64
415785-Daniel Vieyra-13840.11
803288-Clarindo Areosa-18944.15
200774-Ubaldo Mainha-9938.10
96515-Dulce Froes-5081.98
318503-Regina Barcellos-21344.13
95455-Leonidas Mafra-14032.38
488525-Sofras Cuaresma-15864.75
321227-Silvio Mata-4931.41
833479-Antonio Castelo-21394.20
977169-Marilda Leio-14279.89
877670-Domingos Pas-11889.21
434348-Oliveira Senchez-7082.40
426771-Delfina Perdigon-339.57
50318-Estanislau Beserra-18470.54
697201-Daniel Vieyra-14028.89
