329301-Clara Alcantara-15037.96
68607-Rodolfo Paz-18965.91
645035-Antonio Viegas-4459.46
259717-Tibofarcio Camacho-5378.24
122459-Sidfnio Frois-10745.69
165575-Tabalipa Duarte-19705.63
37556-Sara Lameiras-11767.21
48965-Silvio Mata-8937.90
534368-Feledcia Peassego-4152.69
849093-Zulmira Becerra-16542.57
16411-Delfim Higuera-5011.02
82034-Melinda Roserio-3146.87
500967-Silvio Mata-7613.32
795678-Celeste Duarte-9165.92
955621-Almerinda Palmeira-3602.31
759957-Aludsio Sosa-13993.96
201045-Marilda Leio-9989.50
745128-Rodolfo Paz-9795.16
79567-Daniel Vieyra-15760.50
77308-Melinda Roserio-6254.15
757858-Aludsio Sosa-7794.32
750438-Almor Caiado-5220.30
334502-Tarrataca Soares-9585.31
380940-Feledcia Peassego-6238.43
251561-Andreia Moita-13417.99
207116-Ubaldo Mainha-16275.59
726120-Filomena Barrios-8032.76
482535-Leonidas Mafra-4895.38
29216-Telma Villalobos-6386.17
361693-Carminda Morais-20026.95
950857-Angilica Galante-11669.69
158713-Romo Paranage-17827.19
53868-Polibe Olivares-14515.70
281358-Guida Juca-6194.67
100899-Trajano Fagundes-19717.19
667656-Ubaldo Mainha-1404.42
630852-Flamednia Leiria-13911.69
60746-Odilia Bello-4581.67
6304-Mercia Caeira-3827.13
518246-Clarindo Areosa-15800.75
962017-Tarrataca Soares-14095.42
321324-Trajano Fagundes-3722.17
227258-Zungela Ipiranga-9302.71
180786-Henrique Bento-16975.52
461234-Marilda Leio-14431.69
573279-Tibofarcio Camacho-5273.53
244175-Eurico Siqueira-3495.01
191318-Delfina Perdigon-19085.61
192542-Emiliana Foquio-18890.84
811062-Edgar Carvalheiro-18671.19
124185-Tibefarcio Colao-3205.97
438826-Moaci Mendoa-1764.35
472719-Lina Andrade-19566.62
593070-Lina Andrade-1773.59
180821-Marilda Leio-19048.20
3884-Clarindo Areosa-20383.94
269375-Estanislau Beserra-581.54
219768-Heleedsa Marins-10623.46
337597-Mercia Caeira-12455.38
168431-Sara Lameiras-12463.49
590315-Basilio Pedroso-9199.90
70460-Danilo Olaio-14334.29
767578-Gaudancio Fiees-2744.18
735538-Joaquim Rufino-10420.11
772050-Fulvio Villegas-607.08
494365-Camila Gabeira-14497.12
53789-Micaela Chavez-10544.97
146580-Sara Lameiras-2662.33
800782-Tibefarcio Colao-16905.71
539049-Artur Grillo-14152.56
428685-Clara Alcantara-10203.62
915353-Angilica Galante-19154.33
836731-Armanda Amorim-1777.17
936429-Estanislau Beserra-10324.52
395234-Spnia ou Sonia Guerreiro-18822.25
190731-Carminda Morais-20227.19
379849-Domingos Pas-19812.89
239467-Antonio Viegas-21074.36
444550-Esperada Cardoso-147.53
703994-Zulmira Becerra-18872.92
828861-Quintiliano Sousa de Arronches-10022.37
943335-Basilio Pedroso-19751.52
486242-Elisa Themes-6875.05
963006-Tabalipa Duarte-12434.42
450345-Fulvio Villegas-16728.37
645432-Mercia Caeira-17330.28
68503-Dulce Froes-13149.24
988934-Oliveira Senchez-4766.80
659196-Adelino Barra-2806.41
900534-Delfina Garcia de Gondim-19723.45
914084-Feledcia Peassego-3556.90
806513-Liana Cardim-6456.33
131929-Lina Andrade-21281.19
174262-Estanislau Beserra-7825.99
185402-Aludsio Sosa-19460.49
937399-Adelino Barra-13842.11
924619-Guaraci Damasceno-5467.96
200850-Melinda Roserio-4883.01
945377-Dulce Froes-14749.60
926278-Fulvio Villegas-9023.77
