185774-Adelino Barra-20897.44
26366-Zungela Ipiranga-20966.03
422750-Lina Andrade-5173.76
450600-Emiliana Foquio-11235.48
244579-Joaquim Rufino-10092.11
147304-Romo Paranage-1747.90
5081-Oliveira Carmona-7285.87
569238-Jorgina Bogalho-15339.04
524471-Tibofarcio Camacho-19711.92
194884-Taercio Mafra-9133.29
102977-Carminda Morais-17685.15
513530-Carminda Morais-12300.58
574829-Sofras Cuaresma-1599.97
299642-Zulmira Becerra-14754.47
361376-Esperada Cardoso-17746.92
85280-Jonatas Felgueiras-18548.39
488015-Danilo Olaio-323.60
177289-Letedcia Gago-19359.30
865594-Polibe Olivares-6509.71
151138-Quintiliano Sousa de Arronches-17891.65
496032-Jorgina Bogalho-16987.85
617803-Taercio Mafra-15388.15
342623-Esperada Cardoso-14419.06
960260-Emiliana Foquio-1907.22
125458-Anfnia Seixas-466.00
17548-Tarrataca Soares-18036.85
699956-Heleedsa Marins-10136.89
968982-Adelina Quadros-7323.83
658791-Clara Alcantara-4407.65
57020-Regina Barcellos-7059.16
784197-Augusta Paio-879.28
542450-Sidfnio Frois-6765.46
874497-Emedlia Silvera-2734.05
203087-Delfina Garcia de Gondim-15433.65
978821-Heleedsa Marins-13150.07
962630-Almor Caiado-5975.41
301819-Odete Vasques-17132.41
1469-Elisa Themes-10957.26
663521-Tarrataca Soares-2789.01
779743-Sara Lameiras-12339.58
577723-Lurdes Cotrim-5792.59
676790-Flamednia Leiria-833.18
106826-Joaquim Rufino-9761.92
442662-Neeamia Arruda-12703.95
500290-Guida Juca-2938.91
673792-Oliveira Senchez-19688.53
532095-Antonio Viegas-17076.71
595918-Rebeca Neto-16901.89
42551-Eurico Siqueira-17048.53
253940-Cassandra Varejo-2551.49
897575-Almerinda Palmeira-12777.27
953137-Emedlia Silvera-289.20
71132-Melinda Roserio-1950.27
110537-Elisa Themes-10704.69
998906-Clara Alcantara-6984.86
927107-Taercio Mafra-12731.60
396334-Silvio Mata-3032.08
106545-Henrique Bento-9498.04
59424-Emedlio Pimentel-17978.46
913764-Melinda Roserio-11406.17
242937-Neuza Francia-18315.14
831139-Lurdes Cotrim-18109.84
737174-Rodolfo Paz-17555.71
351891-Marilda Leio-19386.82
362024-Eurico Siqueira-17561.97
262746-Jonatas Felgueiras-3756.41
533041-Cassandra Varejo-5420.37
991079-Judite Damasceno-18211.44
154681-Estanislau Beserra-10137.19
171017-Micaela Chavez-5461.49
852534-Carminda Morais-16523.92
260602-Lurdes Cotrim-6167.40
588363-Tabalipa Duarte-18174.77
458997-Joaquim Rufino-19358.29
282460-Clarindo Areosa-947.07
624452-Aludsio Sosa-8829.70
609709-Neuza Francia-19745.03
319381-Delfina Perdigon-7820.10
349387-Augusta Paio-11431.65
225926-Branco Saraba-4678.53
719292-Anind Zarco-11587.05
759763-Esperada Cardoso-1984.82
784124-Ubaldo Mainha-19110.70
412565-Flamednia Leiria-490.46
722917-Augusta Paio-21253.28
746792-Silvio Mata-2484.69
411297-Ximena Castilho-21340.79
112765-Tabalipa Duarte-16429.14
474095-Armanda Amorim-18722.64
71062-Jorgina Bogalho-3250.06
817431-Delfina Perdigon-2892.42
472491-Leonidas Mafra-14490.01
867381-Almor Caiado-13203.02
255629-Fulvio Villegas-16587.15
472772-Adelina Quadros-1079.54
913540-Angilica Galante-5717.01
324326-Oliveira Senchez-12781.12
754523-Polibe Olivares-6217.41
711563-Melinda Roserio-4237.31
833775-Quintino Alcantara-16978.03
