231658-Cassandra Varejo-1858.08
773851-Domingos Pas-3456.14
984562-Emedlia Silvera-11497.46
700523-Zulmira Becerra-6284.37
374514-Judite Damasceno-19616.22
885419-Guaraci Damasceno-5890.76
940320-Flor Portella-6810.00
435419-Quintino Alcantara-20712.01
126535-Letedcia Gago-4246.63
941866-Oliveira Carmona-511.06
618112-Oliveira Senchez-6903.37
984132-Telma Villalobos-11971.11
499615-Emedlia Silvera-13990.96
650802-Gaudancio Fiees-19837.96
400700-Liana Cardim-20471.71
716006-Odilia Bello-11145.72
242154-Aludsio Sosa-9190.29
80350-Esperada Cardoso-6279.81
219528-Heleedsa Marins-7181.07
835237-Telma Villalobos-14700.49
828011-Filomena Barrios-5611.84
144639-Trajano Fagundes-4946.84
558929-Leonidas Mafra-19161.84
235516-Guaraci Damasceno-5113.51
348662-Henrique Bento-13577.52
600122-Odilia Bello-21064.68
443646-Camila Gabeira-19942.26
287503-Sara Lameiras-15678.23
332541-Sara Lameiras-13155.59
556843-Adelino Barra-5649.10
886685-Edgar Carvalheiro-2182.55
70079-Zungela Ipiranga-4613.99
848172-Rodolfo Paz-16399.58
754583-Micaela Chavez-6087.10
457130-Heleedsa Marins-1435.75
363032-Tibofarcio Camacho-586.92
841356-Eurico Siqueira-9431.35
348774-Telma Villalobos-13304.23
837057-Celeste Duarte-11442.72
949092-Telma Villalobos-8093.45
626745-Clara Alcantara-3767.48
488129-Trajano Fagundes-5368.18
33728-Fulvio Villegas-3391.83
279509-Artur Grillo-11829.37
876274-Zulmira Becerra-7569.11
741075-Jussara Varanda-11082.74
589919-Antonio Castelo-12041.15
181311-Camila Gabeira-19634.64
595601-Odete Vasques-18668.17
85023-Moaci Mendoa-16322.83
1165-Zungela Ipiranga-5824.26
655687-Melinda Roserio-14259.14
225932-Adelino Barra-3624.64
754477-Celeste Duarte-14557.43
509544-Oliveira Senchez-9221.36
839794-Anfnia Seixas-1193.93
861701-Honorina Lira-11539.83
18913-Mercia Caeira-17251.65
115283-Tibefarcio Colao-12532.77
999706-Anfnia Seixas-10538.78
712673-Oliveira Senchez-16918.79
689924-Carminda Morais-12380.51
1540-Urbano Rodrigues-1537.94
979341-Domingos Pas-790.64
410614-Filomena Barrios-16225.74
752489-Domingos Pas-6329.30
884350-Ermelinda Quintela-14637.92
131201-Angilica Galante-7633.27
874520-Dulce Froes-20094.42
435012-Quintiliano Sousa de Arronches-20514.42
794473-Feledcia Peassego-16986.71
579649-Tibofarcio Camacho-13278.77
795020-Quintino Alcantara-14758.79
474316-Filomena Barrios-3343.75
413398-Henrique Bento-12337.85
488541-Jonatas Felgueiras-6360.54
957171-Antonio Castelo-17969.38
925561-Sidfnio Frois-16255.86
58668-Eurico Siqueira-20854.61
984799-Almerinda Palmeira-7484.12
305329-Esperada Cardoso-13942.06
505070-Almerinda Palmeira-3103.02
272413-Angelica Aranha-10700.97
833291-Joaquim Rufino-18885.72
458533-Armindo Castalo-20739.85
174035-Mercia Caeira-4009.90
819591-Odete Vasques-12839.47
773255-Quintiliano Sousa de Arronches-15818.73
53939-Jonatas Felgueiras-8724.48
293279-Zungela Ipiranga-4089.49
490981-Marilda Leio-12452.54
876071-Delfina Perdigon-7782.76
654825-Mercia Caeira-2460.64
312432-Celeste Duarte-19498.98
344584-Oliveira Carmona-16738.72
678249-Neuza Francia-10405.63
65916-Silvio Mata-6828.99
908288-Armanda Amorim-20646.72
852917-Antonio Castelo-16542.42
774325-Antonio Viegas-14610.52
