447206-Oliveira Senchez-15322.78
664984-Gaudancio Fiees-10363.67
744347-Domingos Pas-223.95
478492-Sara Lameiras-6429.96
230807-Rebeca Neto-4036.09
386522-Nuno Balsemeo-18429.45
66370-Delfina Garcia de Gondim-12710.29
670758-Angilica Galante-2959.31
4113-Rodolfo Paz-14654.42
499777-Almor Caiado-6189.17
147212-Jonatas Felgueiras-4008.80
326039-Cleusa Goes-10045.45
940085-Emiliana Foquio-18502.90
765367-Odilia Camello-19557.68
832603-Telma Villalobos-13165.15
462982-Delfina Garcia de Gondim-64.18
69305-Domingos Pas-16924.85
527433-Odilia Bello-6596.72
850940-Liana Cardim-20526.76
269973-Daniel Vieyra-18056.92
168729-Zulmira Becerra-8633.55
345185-Judite Damasceno-17096.81
404809-Antonio Viegas-10611.38
859043-Liana Cardim-13119.03
825168-Mercia Caeira-14797.36
883658-Ximena Castilho-8017.15
919838-Zulmira Becerra-14887.84
984820-Lina Andrade-3238.28
980892-Emedlio Pimentel-18866.79
935103-Feledcia Peassego-3854.66
806028-Leonidas Mafra-7046.34
557226-Moaci Mendoa-814.96
370033-Liana Cardim-16999.01
472443-Odilia Bello-12872.76
375654-Spnia ou Sonia Guerreiro-16341.01
794121-Sofras Cuaresma-9965.01
630719-Eurico Siqueira-12174.21
468169-Delfina Perdigon-14204.06
977229-Antonio Viegas-19013.87
678366-Melinda Roserio-19783.22
104059-Guida Juca-1226.44
368818-Neuza Francia-10302.01
831384-Henrique Bento-14105.71
948196-Danilo Olaio-9665.60
968268-Carminda Morais-16539.36
240555-Odilia Camello-4942.46
744393-Artur Grillo-17888.77
32733-Danilo Olaio-7878.62
149362-Dulce Froes-2983.55
461572-Esperada Cardoso-2255.50
239337-Oliveira Carmona-2276.54
167737-Ermelinda Quintela-11680.23
591957-Sidfnio Frois-4613.71
916807-Oliveira Senchez-13163.19
34034-Odilia Camello-7498.03
768805-Tibefarcio Colao-2415.60
4778-Romo Paranage-5933.05
178144-Trajano Fagundes-11463.37
273723-Elisa Themes-770.03
756054-Tibefarcio Colao-14194.65
76592-Antonio Viegas-12642.20
557719-Zulmira Becerra-3159.04
240308-Nuno Balsemeo-8034.96
494392-Estanislau Beserra-1319.30
825120-Rebeca Neto-17359.64
608145-Oliveira Senchez-8072.49
637589-Melinda Roserio-4897.70
60523-Estanislau Beserra-20009.48
345116-Polibe Olivares-3187.38
984949-Sofras Cuaresma-16394.94
691093-Emedlio Pimentel-14990.87
534903-Clarindo Areosa-201.61
917901-Neuza Francia-3804.02
671472-Daniel Vieyra-18428.96
260163-Marilda Leio-10792.37
652242-Antonio Castelo-18908.46
120970-Ermelinda Quintela-4770.00
378034-Liana Cardim-7740.60
5225-Andreia Moita-14224.05
119201-Jonatas Felgueiras-5729.06
214239-Adelina Quadros-5985.98
529675-Augusta Paio-17271.32
265950-Telma Villalobos-8315.67
498671-Leonidas Mafra-5207.54
660996-Fulvio Villegas-21110.15
303311-Domingos Pas-20571.83
194422-Almor Caiado-6008.21
855459-Adelina Quadros-4827.15
497271-Melinda Roserio-7017.20
360876-Quintino Alcantara-13348.39
235032-Esperada Cardoso-16540.54
712685-Adelino Barra-7761.00
351552-Micaela Chavez-11643.66
391943-Judite Damasceno-14748.64
844601-Letedcia Gago-18395.25
50998-Jussara Varanda-18468.29
102928-Clarindo Areosa-1565.39
670684-Domingos Pas-15533.95
298436-Antonio Viegas-15958.92
847652-Flamednia Leiria-6027.69
303283-Melinda Roserio-2135.21
356421-Marilda Leio-19272.33
58322-Lurdes Cotrim-14691.01
326887-Romo Paranage-13670.10
866293-Zungela Ipiranga-13163.71
420351-Delfina Garcia de Gondim-2489.38
190358-Rebeca Neto-555.57
780934-Tarrataca Soares-12132.28
86464-Clarindo Areosa-2010.43
112174-Edgar Carvalheiro-5888.90
493617-Quintino Alcantara-8021.94
445033-Letedcia Gago-14395.50
496097-Trajano Fagundes-20806.08
429110-Clarindo Areosa-14094.52
226393-Jussara Varanda-20943.18
581644-Ermelinda Quintela-19512.54
765472-Zungela Ipiranga-8899.61
488651-Zulmira Becerra-16587.42
122993-Edgar Carvalheiro-4453.45
649416-Carminda Morais-989.74
461500-Feledcia Peassego-19544.67
794279-Edgar Carvalheiro-12234.29
876788-Ximena Castilho-8294.41
576933-Almerinda Palmeira-19368.70
286657-Adelina Quadros-17256.13
883264-Adelino Barra-20351.95
417753-Lina Andrade-4174.76
509404-Angelica Aranha-13239.65
345254-Augusta Paio-20130.88
707387-Honorina Lira-19332.54
476158-Jonatas Felgueiras-16872.32
438500-Gaudancio Fiees-14885.42
467184-Emiliana Foquio-11169.35
620534-Sidfnio Frois-20415.12
741788-Rebeca Neto-13343.15
697240-Camila Gabeira-3117.15
907241-Domingos Pas-13701.33
594853-Gaudancio Fiees-2701.58
541011-Judite Damasceno-3725.04
315827-Dulce Froes-18782.11
580530-Anind Zarco-10812.04
828738-Neuza Francia-9311.58
21836-Neuza Francia-7201.42
139570-Almerinda Palmeira-3812.79
160106-Trajano Fagundes-13240.21
309837-Adelina Quadros-13477.18
654056-Armanda Amorim-2561.41
990938-Delfina Perdigon-10867.36
292784-Adelina Quadros-12032.77
198939-Antonio Viegas-10511.09
875170-Domingos Pas-7292.06
299330-Honorina Lira-445.51
782050-Anind Zarco-2205.73
200118-Almor Caiado-20867.13
646821-Emiliana Foquio-11373.89
408814-Letedcia Gago-12456.99
402067-Celeste Duarte-1518.70
44331-Esperada Cardoso-4208.61
328660-Carminda Morais-12291.53
633012-Delfim Higuera-2948.69
664774-Neeamia Arruda-16987.44
900105-Heleedsa Marins-6855.59
293856-Moaci Mendoa-8913.42
345916-Andreia Moita-12855.42
676819-Henrique Bento-17621.88
544705-Sofras Cuaresma-15081.14
130462-Polibe Olivares-8350.32
374035-Angelica Aranha-11130.76
353925-Odilia Bello-4649.21
611145-Quintiliano Sousa de Arronches-14105.54
494224-Aludsio Sosa-15332.19
583694-Lurdes Cotrim-19141.19
740995-Cassandra Varejo-13369.29
955261-Fulvio Villegas-5217.92
915118-Flor Portella-19974.69
264321-Anfnia Seixas-6455.30
312706-Feledcia Peassego-21086.60
747035-Jonatas Felgueiras-2005.50
525541-Edgar Carvalheiro-3029.04
490065-Celeste Duarte-14715.16
806842-Emedlio Pimentel-4625.26
900098-Jonatas Felgueiras-1526.26
36459-Sidfnio Frois-5863.67
30679-Delfina Garcia de Gondim-19843.22
82876-Flamednia Leiria-21382.38
323520-Marilda Leio-380.18
710481-Ximena Castilho-12243.31
613122-Moaci Mendoa-15540.78
108479-Lina Andrade-14481.20
525211-Joaquim Rufino-21356.10
12684-Neuza Francia-17639.33
235672-Domingos Pas-20318.33
94280-Estanislau Beserra-14773.86
882364-Antonio Viegas-9919.33
462192-Adelina Quadros-18610.16
26935-Antonio Viegas-15518.56
637650-Delfim Higuera-15725.66
424799-Dulce Froes-6106.96
246065-Delfina Garcia de Gondim-19268.04
488078-Esperada Cardoso-16908.46
761982-Taercio Mafra-13133.75
562002-Guida Juca-1801.27
471832-Armindo Castalo-2052.21
265171-Letedcia Gago-5781.03
897282-Domingos Pas-18205.66
283282-Oliveira Senchez-16351.09
203844-Adelino Barra-6672.63
938972-Henrique Bento-10256.88
268403-Domingos Pas-7634.50
234032-Oliveira Carmona-1834.55
325922-Almerinda Palmeira-7572.17
867269-Judite Damasceno-7997.79
758169-Spnia ou Sonia Guerreiro-4637.67
35083-Ermelinda Quintela-3355.48
761392-Rebeca Neto-2519.62
19974-Jonatas Felgueiras-2037.62
650701-Tabalipa Duarte-2289.65
847703-Neuza Francia-15519.04
740453-Branco Saraba-14316.89
470136-Flor Portella-13164.40
45610-Jorgina Bogalho-11942.82
512264-Melinda Roserio-6816.65
105770-Antonio Castelo-18104.24
920410-Delfina Perdigon-17629.75
838547-Romo Paranage-15312.53
838726-Neuza Francia-8287.89
464234-Zungela Ipiranga-12074.40
352723-Judite Damasceno-20922.88
445343-Armindo Castalo-19465.44
988160-Angilica Galante-5495.31
985604-Polibe Olivares-17395.76
199657-Artur Grillo-3876.05
