838223-Artur Grillo-2276.26
379932-Basilio Pedroso-20620.00
188407-Spnia ou Sonia Guerreiro-3237.34
995349-Polibe Olivares-3756.37
732026-Eurico Siqueira-8781.36
855402-Quintino Alcantara-15479.50
551408-Tabalipa Duarte-16032.74
276155-Neuza Francia-8243.40
110789-Telma Villalobos-8999.16
372197-Fulvio Villegas-10554.68
697792-Neeamia Arruda-13043.06
659106-Andreia Moita-1442.02
906623-Cassandra Varejo-4633.91
807262-Emedlia Silvera-1189.02
549990-Jonatas Felgueiras-20886.35
702330-Oliveira Carmona-14600.06
335608-Adelina Quadros-11580.74
17948-Edgar Carvalheiro-7888.67
531069-Neuza Francia-4204.94
496359-Adelina Quadros-6378.66
928304-Angelica Aranha-20215.64
502825-Fulvio Villegas-15167.39
77431-Telma Villalobos-13211.62
385651-Ermelinda Quintela-10644.86
846939-Lurdes Cotrim-16460.36
444047-Eurico Siqueira-3792.54
990822-Delfina Garcia de Gondim-18965.90
844374-Oliveira Senchez-7831.24
521606-Antonio Castelo-16856.55
147426-Flor Portella-11356.68
724726-Celeste Duarte-8741.13
640785-Jonatas Felgueiras-11286.16
242830-Augusta Paio-18136.93
751972-Estanislau Beserra-11055.95
647209-Judite Damasceno-15274.42
209623-Adelina Quadros-18098.86
778263-Angelica Aranha-13533.93
937243-Lina Andrade-17612.38
962718-Emedlio Pimentel-17102.75
998181-Nuno Balsemeo-21004.23
383125-Armindo Castalo-18396.64
364398-Domingos Pas-848.21
84755-Delfina Perdigon-12750.64
483522-Edgar Carvalheiro-15788.16
884313-Clara Alcantara-11149.79
320768-Armanda Amorim-19721.89
11568-Oliveira Senchez-13154.84
325026-Armindo Castalo-3029.37
246386-Anind Zarco-18709.00
855774-Domingos Pas-21448.98
133197-Rebeca Neto-17627.98
523310-Melinda Roserio-5986.78
45292-Edgar Carvalheiro-1692.80
776574-Odilia Bello-17957.63
102806-Celeste Duarte-1001.64
387281-Gaudancio Fiees-10234.84
74045-Silvio Mata-6500.12
153920-Neeamia Arruda-8763.37
987633-Clarindo Areosa-3381.00
613142-Liana Cardim-7209.56
177872-Odilia Bello-10130.89
922903-Sara Lameiras-20886.12
489020-Almerinda Palmeira-7811.74
635404-Taercio Mafra-10519.51
597676-Adelina Quadros-18590.54
55749-Oliveira Carmona-4349.57
702895-Cassandra Varejo-7370.31
866433-Eurico Siqueira-19711.85
450903-Zungela Ipiranga-16036.89
968078-Sidfnio Frois-13448.19
383437-Artur Grillo-11475.13
112809-Angelica Aranha-7039.52
520593-Tibofarcio Camacho-989.57
724247-Almerinda Palmeira-6075.93
690941-Cassandra Varejo-16611.91
337694-Camila Gabeira-797.63
952568-Manuel Capiperibe-21304.66
612541-Quintino Alcantara-5388.48
93581-Rebeca Neto-20502.99
191132-Oliveira Senchez-20932.67
244616-Flamednia Leiria-6651.67
387230-Moaci Mendoa-16762.80
174989-Manuel Capiperibe-14303.17
136832-Armindo Castalo-965.57
49335-Feledcia Peassego-16182.48
531655-Camila Gabeira-18005.86
487425-Filomena Barrios-16670.55
474339-Adelina Quadros-18676.67
646317-Armindo Castalo-11312.77
540049-Andreia Moita-19434.69
252324-Emiliana Foquio-7302.29
477367-Cleusa Goes-6521.33
170785-Anind Zarco-16503.08
821599-Filomena Barrios-2109.61
65213-Moaci Mendoa-16810.11
532006-Emedlio Pimentel-14770.59
245024-Delfim Higuera-340.62
939866-Leonidas Mafra-2365.37
482967-Odete Vasques-19081.83
841580-Neeamia Arruda-2102.39
