546826-Clara Alcantara-4685.25
909778-Tibofarcio Camacho-14697.92
990467-Anfnia Seixas-10920.78
45690-Flor Portella-21230.84
547026-Neeamia Arruda-6450.21
11399-Delfina Perdigon-17219.14
307298-Honorina Lira-17703.05
656530-Emedlia Silvera-18821.55
514407-Honorina Lira-11281.13
506333-Lina Andrade-19450.86
347814-Oliveira Carmona-14241.50
517188-Sidfnio Frois-10435.76
804379-Filomena Barrios-20575.66
387741-Rodolfo Paz-8141.28
261885-Odilia Camello-13176.75
709106-Tabalipa Duarte-8722.03
852535-Dulce Froes-19175.10
58338-Artur Grillo-16696.83
482373-Guida Juca-3427.14
744624-Rodolfo Paz-14382.20
606436-Eurico Siqueira-7290.84
993663-Rodolfo Paz-17056.02
172347-Telma Villalobos-6049.22
945889-Tabalipa Duarte-12763.10
320071-Micaela Chavez-2570.88
231396-Feledcia Peassego-10137.97
56684-Mercia Caeira-3761.66
703068-Oliveira Senchez-6092.25
20434-Tibofarcio Camacho-11637.07
450682-Tibefarcio Colao-8969.68
483563-Angilica Galante-19395.74
182255-Manuel Capiperibe-4650.84
456537-Ximena Castilho-907.73
329579-Daniel Vieyra-19087.19
814367-Esperada Cardoso-15995.55
6985-Leonidas Mafra-19557.87
402478-Branco Saraba-4043.60
308146-Manuel Capiperibe-8630.63
929573-Rodolfo Paz-9190.83
748464-Delfina Perdigon-17005.34
303856-Armindo Castalo-8575.34
459915-Lina Andrade-19617.16
217478-Angelica Aranha-17616.89
413627-Taercio Mafra-1675.35
919753-Andreia Moita-1408.66
30443-Lina Andrade-8518.73
938453-Aludsio Sosa-10252.75
12670-Marilda Leio-4311.00
311433-Letedcia Gago-7390.29
833466-Sofras Cuaresma-1442.94
323395-Delfina Garcia de Gondim-851.14
904008-Delfim Higuera-12905.74
85320-Marilda Leio-11713.08
523327-Domingos Pas-3322.38
196621-Neeamia Arruda-496.74
941627-Eurico Siqueira-5807.04
989739-Telma Villalobos-7916.43
913995-Telma Villalobos-10586.56
384759-Armanda Amorim-19909.67
455168-Henrique Bento-4573.17
575905-Urbano Rodrigues-16496.40
230533-Antonio Viegas-10650.61
117661-Almerinda Palmeira-13161.46
210176-Oliveira Carmona-3461.86
837659-Henrique Bento-638.99
330828-Clara Alcantara-20688.40
213020-Urbano Rodrigues-18743.46
370363-Tibefarcio Colao-20322.60
627353-Neeamia Arruda-12581.61
913565-Basilio Pedroso-4711.33
10167-Angilica Galante-13717.09
704664-Antonio Castelo-5224.56
6026-Emedlia Silvera-20325.73
99029-Silvio Mata-12213.00
946355-Antonio Viegas-4036.54
467757-Artur Grillo-18679.85
693680-Anfnia Seixas-237.14
78928-Zungela Ipiranga-1910.85
119820-Heleedsa Marins-6537.12
644141-Camila Gabeira-31.42
485357-Fulvio Villegas-5311.52
483217-Andreia Moita-1753.73
541728-Quintino Alcantara-2263.79
262563-Rebeca Neto-18554.78
685401-Eurico Siqueira-10999.41
490511-Regina Barcellos-1569.25
652225-Feledcia Peassego-17546.19
676634-Micaela Chavez-2422.14
477734-Flamednia Leiria-9733.34
956635-Esperada Cardoso-16439.78
568505-Adelina Quadros-5639.79
889250-Dulce Froes-15304.63
182107-Emedlio Pimentel-13135.21
564737-Nuno Balsemeo-12293.00
247317-Marilda Leio-16239.85
583857-Armindo Castalo-4139.92
937889-Urbano Rodrigues-18156.44
489731-Angelica Aranha-12608.37
126096-Ermelinda Quintela-7818.31
990691-Lina Andrade-16367.88
