983827-Esperada Cardoso-6673.52
493765-Leonidas Mafra-14314.43
685732-Telma Villalobos-3581.74
874700-Neeamia Arruda-6422.12
266987-Tibefarcio Colao-5193.07
8963-Silvio Mata-18995.32
667659-Lurdes Cotrim-4002.89
406046-Melinda Roserio-8090.08
467931-Eurico Siqueira-19863.45
584682-Elisa Themes-2098.33
457097-Tibofarcio Camacho-9338.17
55936-Celeste Duarte-11513.10
954046-Tabalipa Duarte-14609.96
936-Esperada Cardoso-17548.71
23757-Melinda Roserio-11376.54
247549-Guaraci Damasceno-1231.79
346488-Ubaldo Mainha-10058.47
64949-Estanislau Beserra-11572.53
240365-Feledcia Peassego-14437.21
449605-Celeste Duarte-17763.06
808090-Rodolfo Paz-5582.79
518582-Jorgina Bogalho-3198.52
188555-Antonio Viegas-15128.05
32995-Mercia Caeira-7523.23
89634-Antonio Castelo-16093.47
969950-Clara Alcantara-12011.11
382097-Feledcia Peassego-14754.57
599645-Letedcia Gago-9280.38
825236-Jorgina Bogalho-10442.79
911929-Sidfnio Frois-9642.45
831403-Armanda Amorim-4855.69
567484-Delfina Garcia de Gondim-2756.04
130289-Filomena Barrios-17657.93
205551-Tibefarcio Colao-10193.42
151618-Honorina Lira-8259.48
268181-Armanda Amorim-17049.18
564204-Anfnia Seixas-12608.16
223697-Liana Cardim-20414.16
136354-Clara Alcantara-5607.58
770108-Taercio Mafra-9526.69
742344-Letedcia Gago-12795.01
993808-Jorgina Bogalho-3275.85
96788-Letedcia Gago-13957.15
5330-Anfnia Seixas-16499.21
753074-Taercio Mafra-6975.88
363777-Romo Paranage-18238.57
84990-Mercia Caeira-8569.37
779551-Heleedsa Marins-9501.61
28763-Mercia Caeira-11132.97
556637-Moaci Mendoa-6425.84
329132-Neeamia Arruda-13143.26
187041-Jussara Varanda-15393.20
132594-Dulce Froes-16374.17
903404-Antonio Castelo-9739.38
16113-Anfnia Seixas-3012.08
76707-Eurico Siqueira-12285.71
571489-Delfina Garcia de Gondim-6621.73
398908-Lina Andrade-774.69
158609-Zungela Ipiranga-4024.98
675828-Gaudancio Fiees-5340.54
862495-Tarrataca Soares-14363.83
66364-Tabalipa Duarte-14475.70
854919-Delfim Higuera-8432.19
874803-Urbano Rodrigues-13891.23
331566-Flamednia Leiria-19571.39
376827-Basilio Pedroso-12257.32
795119-Domingos Pas-8998.20
150647-Adelina Quadros-927.35
667108-Rodolfo Paz-8458.94
513559-Adelina Quadros-15725.69
427406-Almerinda Palmeira-10779.48
183695-Taercio Mafra-6415.31
776236-Sidfnio Frois-5909.02
785463-Danilo Olaio-1742.93
249412-Elisa Themes-10416.25
921155-Zungela Ipiranga-17430.02
680823-Jussara Varanda-19547.97
613406-Odilia Bello-3864.64
14806-Henrique Bento-1356.47
913788-Aludsio Sosa-1681.61
383340-Leonidas Mafra-11265.88
236242-Oliveira Senchez-302.88
175888-Melinda Roserio-5660.65
334872-Lina Andrade-763.66
132950-Nuno Balsemeo-16826.16
586235-Liana Cardim-13910.53
771435-Neuza Francia-4302.51
292742-Cleusa Goes-16098.64
32714-Eurico Siqueira-7123.95
699016-Augusta Paio-2878.25
934773-Heleedsa Marins-8702.09
118831-Quintino Alcantara-17484.45
350258-Flamednia Leiria-751.37
483975-Clarindo Areosa-9884.72
911135-Neuza Francia-15826.05
963306-Neuza Francia-16671.91
50017-Ubaldo Mainha-3204.79
933685-Quintiliano Sousa de Arronches-5897.72
281309-Neeamia Arruda-4203.21
792701-Heleedsa Marins-6580.20
465069-Neeamia Arruda-7279.55
725818-Sara Lameiras-17080.73
274996-Silvio Mata-20924.24
888839-Artur Grillo-3244.24
385514-Eurico Siqueira-8733.35
498082-Jorgina Bogalho-4858.15
180402-Almerinda Palmeira-9048.65
113298-Trajano Fagundes-19377.98
426527-Almerinda Palmeira-18235.96
134896-Polibe Olivares-6979.05
668545-Clarindo Areosa-8763.70
927166-Jorgina Bogalho-13380.96
630649-Filomena Barrios-21133.71
987588-Andreia Moita-16207.76
816502-Jonatas Felgueiras-20841.62
766694-Armindo Castalo-8911.76
908047-Tabalipa Duarte-15803.57
44701-Adelina Quadros-2869.86
953046-Odilia Camello-7684.13
182149-Guida Juca-15895.48
431025-Flor Portella-8907.33
150801-Angelica Aranha-16896.60
460306-Basilio Pedroso-14398.07
193448-Branco Saraba-2163.11
866906-Elisa Themes-11551.27
875462-Dulce Froes-15438.94
698776-Sara Lameiras-9023.18
903216-Emiliana Foquio-16983.63
422468-Marilda Leio-2268.32
537841-Ermelinda Quintela-12030.15
74742-Liana Cardim-9899.62
981886-Guida Juca-3156.29
501445-Silvio Mata-8880.89
908413-Melinda Roserio-5047.99
607983-Urbano Rodrigues-16376.66
469316-Clara Alcantara-8650.58
23199-Ubaldo Mainha-8202.73
450034-Clara Alcantara-2606.93
863120-Urbano Rodrigues-11241.15
688984-Nuno Balsemeo-9391.69
578873-Nuno Balsemeo-4037.60
717684-Clarindo Areosa-3942.59
516232-Emedlia Silvera-1012.76
637870-Ubaldo Mainha-16381.85
553834-Armindo Castalo-1833.09
629682-Trajano Fagundes-21157.79
599404-Almerinda Palmeira-18843.18
403752-Quintino Alcantara-10692.84
571074-Oliveira Senchez-21051.47
87122-Armindo Castalo-14653.53
617693-Ximena Castilho-7394.48
110163-Mercia Caeira-8181.66
748039-Emedlia Silvera-12436.82
475274-Neuza Francia-13083.20
1669-Sidfnio Frois-12283.90
710482-Neuza Francia-115.36
993527-Almor Caiado-13491.35
549581-Odilia Bello-18485.39
798212-Artur Grillo-10606.27
161887-Tibefarcio Colao-13597.14
211152-Flamednia Leiria-18013.31
20749-Rebeca Neto-12279.58
605268-Zungela Ipiranga-21027.06
949803-Tarrataca Soares-10186.98
995471-Artur Grillo-6282.16
350255-Oliveira Carmona-4214.42
516175-Telma Villalobos-12634.36
78-Leonidas Mafra-18269.86
768351-Adelina Quadros-2253.00
716817-Branco Saraba-18774.62
18110-Delfim Higuera-12801.90
283805-Adelino Barra-9847.27
715236-Micaela Chavez-13853.32
828635-Jonatas Felgueiras-4357.98
778225-Augusta Paio-19217.94
634191-Anfnia Seixas-17316.60
26217-Romo Paranage-19811.76
553707-Emedlio Pimentel-2596.93
136765-Almor Caiado-19314.61
862818-Anind Zarco-5116.94
302635-Moaci Mendoa-17607.12
106615-Polibe Olivares-21229.96
352216-Almor Caiado-2692.28
336533-Esperada Cardoso-17380.56
18489-Tibefarcio Colao-13953.51
432457-Andreia Moita-4695.02
288918-Taercio Mafra-11195.28
581400-Manuel Capiperibe-3995.98
375836-Edgar Carvalheiro-1582.51
470439-Cassandra Varejo-14561.14
543448-Nuno Balsemeo-13579.33
322366-Danilo Olaio-16650.39
827942-Camila Gabeira-14579.08
181798-Ximena Castilho-6917.61
333736-Judite Damasceno-3852.96
795580-Almerinda Palmeira-11667.28
433937-Carminda Morais-13100.17
248632-Flor Portella-20785.98
272446-Spnia ou Sonia Guerreiro-10044.91
273730-Guaraci Damasceno-4604.77
969303-Guaraci Damasceno-1765.37
377273-Manuel Capiperibe-14328.59
814151-Fulvio Villegas-9192.04
478821-Manuel Capiperibe-209.02
716271-Cassandra Varejo-13212.36
304725-Spnia ou Sonia Guerreiro-2995.48
394727-Cassandra Varejo-8349.82
45198-Andreia Moita-6137.47
777143-Quintino Alcantara-20430.19
760030-Tibofarcio Camacho-6118.09
373029-Aludsio Sosa-11267.79
435129-Emedlia Silvera-10536.72
536591-Anfnia Seixas-3680.03
62337-Edgar Carvalheiro-14864.81
348899-Flor Portella-18521.98
447471-Emedlia Silvera-7130.19
274158-Melinda Roserio-6859.30
634230-Quintiliano Sousa de Arronches-7429.75
109087-Tabalipa Duarte-12837.52
74565-Romo Paranage-3190.29
517457-Danilo Olaio-14524.02
13913-Guida Juca-17468.37
369949-Clara Alcantara-7198.90
929858-Neeamia Arruda-19769.52
908142-Emedlia Silvera-19148.17
122186-Domingos Pas-9187.81
883922-Joaquim Rufino-1555.72
143638-Odilia Bello-9352.06
149968-Tabalipa Duarte-10413.15
691708-Elisa Themes-14783.90
42590-Lina Andrade-5594.23
688269-Basilio Pedroso-6084.37
6017-Melinda Roserio-9108.07
326339-Adelina Quadros-2382.53
160760-Tabalipa Duarte-7591.61
192847-Gaudancio Fiees-16472.84
243677-Augusta Paio-10546.84
224329-Micaela Chavez-19638.28
696354-Honorina Lira-6934.94
436894-Judite Damasceno-14341.86
205979-Artur Grillo-5027.45
376640-Spnia ou Sonia Guerreiro-11734.33
900356-Manuel Capiperibe-2049.55
830072-Taercio Mafra-1127.98
711773-Neeamia Arruda-2359.59
443413-Sara Lameiras-2791.51
439759-Nuno Balsemeo-9553.95
524026-Urbano Rodrigues-8031.36
814092-Telma Villalobos-5653.49
935395-Fulvio Villegas-15257.85
962501-Telma Villalobos-18559.91
896515-Aludsio Sosa-8608.84
784054-Spnia ou Sonia Guerreiro-2873.01
995068-Manuel Capiperibe-8551.31
943063-Henrique Bento-2463.59
568884-Elisa Themes-3758.03
994719-Trajano Fagundes-147.59
104490-Spnia ou Sonia Guerreiro-14662.83
558186-Emedlia Silvera-13706.13
505777-Delfina Perdigon-7690.65
671674-Honorina Lira-11400.28
65764-Basilio Pedroso-8954.40
409020-Esperada Cardoso-6437.41
707459-Elisa Themes-12957.36
803774-Joaquim Rufino-9421.95
858724-Ermelinda Quintela-3422.81
65157-Rodolfo Paz-11432.75
666750-Honorina Lira-1048.96
436890-Camila Gabeira-13384.54
39225-Rebeca Neto-12424.76
943355-Taercio Mafra-12511.48
355258-Clarindo Areosa-18672.14
