680016-Zungela Ipiranga-9364.18
875324-Tibofarcio Camacho-12581.05
568489-Daniel Vieyra-17716.21
62590-Clarindo Areosa-13113.58
156841-Telma Villalobos-2119.06
426267-Camila Gabeira-19978.13
565621-Antonio Viegas-11186.96
352422-Carminda Morais-18101.33
63760-Lina Andrade-15461.34
712577-Zungela Ipiranga-12616.35
973971-Sofras Cuaresma-1218.32
411622-Taercio Mafra-9757.07
755013-Augusta Paio-5147.92
617739-Odilia Camello-9458.54
444714-Danilo Olaio-20510.11
827604-Clarindo Areosa-379.54
146674-Guida Juca-8265.20
897884-Delfim Higuera-18718.72
38755-Anfnia Seixas-18909.36
632116-Neeamia Arruda-4211.65
56867-Urbano Rodrigues-14721.39
899952-Adelina Quadros-16565.50
364298-Trajano Fagundes-2498.22
966465-Delfina Garcia de Gondim-129.56
926738-Aludsio Sosa-1954.00
792964-Guida Juca-17502.28
988288-Armindo Castalo-1888.91
395488-Joaquim Rufino-18867.89
451967-Joaquim Rufino-11693.44
642177-Domingos Pas-10024.93
984098-Domingos Pas-2400.66
157746-Adelino Barra-19659.66
38447-Esperada Cardoso-9958.46
227392-Micaela Chavez-12488.13
270821-Liana Cardim-18887.40
841925-Aludsio Sosa-9800.49
366973-Polibe Olivares-5205.54
411586-Sidfnio Frois-16289.49
360891-Zungela Ipiranga-18204.01
245943-Dulce Froes-4935.59
295673-Rodolfo Paz-10575.44
404-Emedlio Pimentel-14867.01
771757-Eurico Siqueira-6092.56
364747-Leonidas Mafra-10874.83
913465-Moaci Mendoa-17197.54
862624-Telma Villalobos-2621.13
556180-Almor Caiado-10474.80
140808-Jussara Varanda-6074.08
30744-Oliveira Senchez-8137.68
264744-Odilia Bello-14100.14
507627-Mercia Caeira-6698.26
816260-Lurdes Cotrim-653.43
606948-Adelino Barra-12531.15
243989-Silvio Mata-1879.96
210199-Tibefarcio Colao-11779.09
432317-Cleusa Goes-1232.88
703307-Delfina Perdigon-9218.45
527810-Odilia Bello-16149.85
334018-Liana Cardim-19420.16
541193-Tarrataca Soares-9247.97
307866-Tibefarcio Colao-17133.05
134485-Joaquim Rufino-2526.38
662446-Neeamia Arruda-6562.44
962900-Ermelinda Quintela-17724.88
263238-Carminda Morais-5552.15
317931-Polibe Olivares-10406.47
485255-Moaci Mendoa-20613.51
648536-Armindo Castalo-19903.95
219360-Jonatas Felgueiras-3092.45
558619-Ubaldo Mainha-9857.86
428608-Anfnia Seixas-2186.11
125001-Spnia ou Sonia Guerreiro-12127.45
680905-Manuel Capiperibe-11599.24
351726-Quintino Alcantara-6694.03
18563-Trajano Fagundes-8286.66
594882-Daniel Vieyra-12099.84
976011-Branco Saraba-20754.70
201777-Odete Vasques-1776.34
929342-Flamednia Leiria-4188.54
189450-Lina Andrade-14654.12
246845-Flor Portella-4323.57
125506-Micaela Chavez-1369.99
641694-Edgar Carvalheiro-6446.80
402356-Joaquim Rufino-10610.31
167835-Manuel Capiperibe-15740.50
664680-Honorina Lira-12141.61
808858-Guaraci Damasceno-1046.54
820027-Rebeca Neto-13148.55
742350-Clarindo Areosa-173.01
909845-Emedlia Silvera-3014.90
863705-Lina Andrade-9447.37
944501-Sofras Cuaresma-15128.63
770366-Basilio Pedroso-1110.21
520099-Odilia Bello-16904.23
189303-Flor Portella-15811.07
41217-Honorina Lira-3382.88
877420-Neuza Francia-11500.97
183167-Marilda Leio-17829.17
639698-Jorgina Bogalho-20796.60
466373-Fulvio Villegas-2020.86
189109-Domingos Pas-14309.50
301921-Oliveira Carmona-16898.94
897106-Armanda Amorim-441.81
171922-Angilica Galante-19487.01
994447-Eurico Siqueira-16304.07
383243-Judite Damasceno-20654.48
933194-Quintino Alcantara-1688.42
136663-Delfina Perdigon-1635.41
711778-Domingos Pas-796.97
587883-Polibe Olivares-3361.63
954428-Delfina Garcia de Gondim-2508.69
58259-Elisa Themes-2561.71
541233-Aludsio Sosa-4890.68
561398-Delfim Higuera-15942.40
4757-Aludsio Sosa-3377.51
555497-Zungela Ipiranga-4411.34
911004-Armindo Castalo-9710.67
880134-Guaraci Damasceno-20322.04
766564-Domingos Pas-6444.32
828994-Spnia ou Sonia Guerreiro-11200.20
977271-Andreia Moita-16129.74
591451-Urbano Rodrigues-9205.49
616036-Filomena Barrios-5556.06
821392-Antonio Viegas-6291.68
243971-Delfina Perdigon-6841.73
73076-Estanislau Beserra-1542.44
866275-Flor Portella-15251.55
17340-Melinda Roserio-16520.36
709439-Augusta Paio-1703.18
582270-Ximena Castilho-13071.48
134909-Liana Cardim-9696.41
556467-Rodolfo Paz-5887.49
148863-Tabalipa Duarte-18543.65
809205-Fulvio Villegas-5157.03
225767-Angilica Galante-6689.47
392996-Camila Gabeira-17970.20
694136-Silvio Mata-16704.02
578732-Tabalipa Duarte-4579.36
183449-Judite Damasceno-4706.45
220064-Artur Grillo-17882.28
792813-Henrique Bento-4518.79
339772-Emedlio Pimentel-10074.35
951905-Antonio Castelo-15635.84
170445-Quintino Alcantara-4619.10
556790-Basilio Pedroso-14441.36
115697-Sara Lameiras-5530.45
435368-Polibe Olivares-3772.55
910454-Antonio Viegas-18878.34
453794-Emedlio Pimentel-6745.34
799248-Rebeca Neto-16767.54
808514-Emedlio Pimentel-17195.47
458864-Anind Zarco-2684.03
374453-Urbano Rodrigues-3913.55
654964-Tarrataca Soares-4965.25
154494-Adelino Barra-12130.82
600662-Antonio Viegas-10777.14
66545-Angilica Galante-2446.66
967474-Tarrataca Soares-2390.93
804436-Carminda Morais-5655.47
286872-Moaci Mendoa-13943.46
513404-Daniel Vieyra-18851.54
618940-Letedcia Gago-8601.29
159949-Ubaldo Mainha-10555.04
317997-Quintino Alcantara-306.75
869586-Almor Caiado-4488.30
73187-Danilo Olaio-8314.30
838150-Celeste Duarte-8280.13
342257-Nuno Balsemeo-21089.81
713298-Armindo Castalo-8373.02
618370-Jonatas Felgueiras-17785.88
277536-Manuel Capiperibe-2786.18
516313-Emedlio Pimentel-10842.37
641771-Antonio Castelo-9079.13
638518-Almerinda Palmeira-13132.31
160648-Estanislau Beserra-6146.17
764951-Silvio Mata-2562.07
599830-Dulce Froes-7910.45
100651-Almerinda Palmeira-4489.04
694222-Manuel Capiperibe-11176.17
350687-Taercio Mafra-13242.35
352944-Domingos Pas-5980.29
25858-Angelica Aranha-6585.46
828294-Emedlio Pimentel-17741.87
651057-Antonio Viegas-413.42
149111-Oliveira Senchez-2515.03
476950-Delfim Higuera-14702.68
751588-Delfina Perdigon-4803.84
39572-Eurico Siqueira-18214.85
308374-Almerinda Palmeira-14376.95
911488-Romo Paranage-20420.46
103082-Almerinda Palmeira-7339.15
912912-Sidfnio Frois-15459.41
476271-Tabalipa Duarte-10432.86
953107-Antonio Castelo-2814.53
661417-Rodolfo Paz-14386.02
19844-Jussara Varanda-6685.96
68871-Liana Cardim-9503.47
163000-Mercia Caeira-9643.87
677193-Urbano Rodrigues-6722.11
808395-Micaela Chavez-9111.23
691330-Domingos Pas-13122.26
603532-Adelino Barra-66.55
577668-Nuno Balsemeo-2261.32
739157-Urbano Rodrigues-7310.85
242868-Sofras Cuaresma-6872.62
765801-Cleusa Goes-7092.82
556557-Joaquim Rufino-10533.51
731316-Almor Caiado-3630.30
907083-Delfina Perdigon-12347.08
294432-Urbano Rodrigues-4910.32
244049-Trajano Fagundes-16037.24
108880-Judite Damasceno-8758.44
431133-Spnia ou Sonia Guerreiro-11134.21
39104-Quintino Alcantara-19431.60
616552-Spnia ou Sonia Guerreiro-12589.20
796238-Feledcia Peassego-14596.86
571462-Camila Gabeira-18682.42
210166-Ubaldo Mainha-8174.90
235570-Camila Gabeira-1289.13
988751-Emedlio Pimentel-12402.08
864847-Sidfnio Frois-18984.52
483292-Neuza Francia-6900.77
756999-Neeamia Arruda-13085.08
645886-Rebeca Neto-5020.63
135764-Anfnia Seixas-6996.80
404404-Feledcia Peassego-11924.76
955297-Quintiliano Sousa de Arronches-5015.64
857315-Emiliana Foquio-17247.74
789810-Oliveira Senchez-15315.26
946328-Guaraci Damasceno-5940.31
651616-Celeste Duarte-19708.96
80652-Delfim Higuera-5318.96
353321-Augusta Paio-5786.53
563642-Antonio Viegas-1898.15
450774-Angelica Aranha-964.67
257583-Eurico Siqueira-9858.71
266224-Feledcia Peassego-14198.27
33254-Jonatas Felgueiras-3042.00
806340-Fulvio Villegas-1495.07
976215-Sofras Cuaresma-429.69
870015-Daniel Vieyra-4756.21
731788-Antonio Viegas-9037.02
670416-Feledcia Peassego-555.71
633383-Antonio Castelo-11921.35
659793-Ximena Castilho-19615.86
366200-Spnia ou Sonia Guerreiro-14753.60
65192-Danilo Olaio-11931.42
328233-Regina Barcellos-8356.92
881841-Urbano Rodrigues-12204.98
477938-Trajano Fagundes-3289.91
105276-Liana Cardim-15488.61
145053-Daniel Vieyra-3361.09
80563-Melinda Roserio-16757.79
668805-Ximena Castilho-4339.29
588368-Jorgina Bogalho-14075.89
458665-Urbano Rodrigues-10014.71
716804-Augusta Paio-4080.53
318082-Tarrataca Soares-1288.97
119814-Jussara Varanda-18887.79
911810-Emedlio Pimentel-7767.74
189456-Sofras Cuaresma-16818.79
88015-Clara Alcantara-1325.40
204492-Delfim Higuera-9556.21
375856-Augusta Paio-4348.06
198453-Urbano Rodrigues-9073.94
123058-Romo Paranage-3223.69
923606-Lina Andrade-18130.86
866322-Clarindo Areosa-3569.21
17163-Regina Barcellos-5530.40
666118-Polibe Olivares-4034.69
822106-Zungela Ipiranga-20986.58
838791-Polibe Olivares-18192.62
964313-Neeamia Arruda-4689.83
385440-Moaci Mendoa-2508.75
735555-Edgar Carvalheiro-2095.90
190804-Artur Grillo-1592.30
117386-Jorgina Bogalho-15751.53
613198-Odilia Camello-13555.36
490121-Lina Andrade-3360.69
179054-Letedcia Gago-18847.36
641582-Manuel Capiperibe-20355.58
982981-Emiliana Foquio-1899.13
381010-Zulmira Becerra-9788.77
399879-Nuno Balsemeo-17832.62
224745-Guaraci Damasceno-8895.14
960329-Emedlia Silvera-18527.05
65296-Romo Paranage-13793.39
772801-Almerinda Palmeira-20249.52
400926-Silvio Mata-17709.59
69486-Estanislau Beserra-3586.54
206643-Zungela Ipiranga-7122.96
518205-Honorina Lira-2187.95
124891-Basilio Pedroso-11581.76
198489-Odilia Camello-1910.92
147559-Silvio Mata-20473.17
203259-Jussara Varanda-11917.94
488646-Manuel Capiperibe-943.75
927328-Mercia Caeira-5681.48
418331-Gaudancio Fiees-8225.49
978817-Quintino Alcantara-14106.19
791256-Trajano Fagundes-5883.42
194108-Feledcia Peassego-4543.76
993459-Honorina Lira-6805.01
669975-Eurico Siqueira-17356.99
641800-Danilo Olaio-17233.63
611787-Filomena Barrios-8530.83
319794-Angelica Aranha-14315.72
366857-Clarindo Areosa-7390.15
398876-Augusta Paio-1309.50
389622-Fulvio Villegas-20909.29
34501-Camila Gabeira-20612.37
491446-Heleedsa Marins-20774.30
227087-Odilia Bello-1819.40
655138-Emedlio Pimentel-16486.10
691830-Antonio Castelo-18182.52
45556-Gaudancio Fiees-15803.80
709351-Rebeca Neto-6402.16
748509-Eurico Siqueira-3771.00
935833-Ermelinda Quintela-6684.99
672248-Henrique Bento-11378.88
59945-Cassandra Varejo-21439.23
272863-Henrique Bento-1039.30
378265-Tibofarcio Camacho-16791.57
984689-Jussara Varanda-15853.29
290625-Odilia Bello-135.37
992688-Delfim Higuera-11585.83
777786-Quintiliano Sousa de Arronches-19172.92
650917-Emedlio Pimentel-2365.57
539410-Cleusa Goes-9794.93
377947-Romo Paranage-6736.81
661697-Trajano Fagundes-7297.41
698270-Henrique Bento-17360.14
681772-Gaudancio Fiees-19993.93
605664-Edgar Carvalheiro-528.94
139919-Guida Juca-19271.84
959043-Cassandra Varejo-7556.93
158471-Urbano Rodrigues-16864.71
90700-Rodolfo Paz-18561.22
122589-Honorina Lira-20036.61
653013-Neeamia Arruda-1125.56
587947-Edgar Carvalheiro-4212.17
961892-Antonio Viegas-6959.16
749942-Judite Damasceno-8665.97
728240-Silvio Mata-11152.03
35572-Urbano Rodrigues-9428.59
880120-Taercio Mafra-203.35
823792-Domingos Pas-20754.93
575940-Sidfnio Frois-13061.00
885073-Guida Juca-2367.39
687024-Liana Cardim-16833.92
686745-Neuza Francia-3414.96
427829-Zulmira Becerra-5024.58
183140-Heleedsa Marins-1227.25
363646-Basilio Pedroso-8814.53
437684-Almor Caiado-690.05
695880-Sofras Cuaresma-19938.85
163626-Telma Villalobos-13722.25
618709-Guaraci Damasceno-1213.17
195693-Taercio Mafra-6252.02
466694-Jorgina Bogalho-17158.89
293305-Melinda Roserio-19195.76
820873-Artur Grillo-19660.04
780372-Liana Cardim-14437.04
853573-Flamednia Leiria-2045.84
129790-Joaquim Rufino-4490.21
265293-Edgar Carvalheiro-19567.17
251830-Letedcia Gago-11883.97
731520-Clarindo Areosa-19780.16
827767-Manuel Capiperibe-18867.28
663161-Quintiliano Sousa de Arronches-7707.11
407067-Esperada Cardoso-8900.04
163783-Delfina Perdigon-5183.41
862497-Antonio Castelo-3516.38
285856-Eurico Siqueira-12564.92
678452-Jorgina Bogalho-531.38
75856-Zulmira Becerra-19794.03
874540-Nuno Balsemeo-6131.71
898298-Almor Caiado-1774.19
239421-Romo Paranage-19782.47
299335-Judite Damasceno-19574.26
765064-Sidfnio Frois-17983.50
807003-Tabalipa Duarte-18425.14
885684-Augusta Paio-4448.93
667895-Neuza Francia-20231.78
33635-Antonio Castelo-10163.73
420588-Zungela Ipiranga-17884.49
40987-Branco Saraba-20383.24
574809-Angilica Galante-9907.38
640765-Branco Saraba-9144.94
434547-Eurico Siqueira-2873.10
455553-Romo Paranage-8250.75
997090-Angilica Galante-1523.98
363678-Delfina Perdigon-2352.84
884745-Lina Andrade-3699.52
897514-Flamednia Leiria-7609.85
564477-Emiliana Foquio-18574.06
634577-Moaci Mendoa-13209.63
392346-Guaraci Damasceno-3400.54
52954-Henrique Bento-8926.95
993223-Estanislau Beserra-5706.46
359963-Fulvio Villegas-1446.18
109297-Judite Damasceno-5046.15
372304-Guaraci Damasceno-214.95
527833-Emedlio Pimentel-11943.80
894446-Lina Andrade-9847.94
634241-Cleusa Goes-15933.58
823076-Delfina Garcia de Gondim-7045.09
368194-Feledcia Peassego-10789.01
651541-Carminda Morais-7464.71
428891-Guida Juca-16854.64
32283-Domingos Pas-15583.40
710428-Almor Caiado-159.66
786683-Andreia Moita-10483.38
146730-Jorgina Bogalho-8053.82
974818-Carminda Morais-13102.77
271878-Marilda Leio-14319.11
7555-Sara Lameiras-8112.51
706483-Henrique Bento-14866.19
459824-Oliveira Senchez-1537.87
424695-Clarindo Areosa-20222.16
35643-Emiliana Foquio-9367.64
264573-Taercio Mafra-20174.75
624928-Antonio Viegas-11217.78
964034-Lina Andrade-6324.41
199339-Angilica Galante-9194.16
228359-Flor Portella-5962.04
131922-Lurdes Cotrim-15202.11
60957-Odilia Bello-7174.34
891460-Daniel Vieyra-6754.10
192735-Celeste Duarte-1393.51
474359-Adelina Quadros-18273.87
612645-Liana Cardim-15891.68
716892-Almerinda Palmeira-20767.93
159402-Rebeca Neto-11642.73
500714-Clara Alcantara-459.89
118922-Urbano Rodrigues-18542.17
164618-Quintiliano Sousa de Arronches-17398.66
460880-Feledcia Peassego-4074.43
892252-Elisa Themes-10833.34
110277-Cassandra Varejo-2190.43
60198-Almerinda Palmeira-16475.18
290650-Leonidas Mafra-4846.47
995710-Taercio Mafra-10413.64
994764-Basilio Pedroso-710.39
434543-Quintiliano Sousa de Arronches-5265.40
806217-Henrique Bento-15706.59
381666-Urbano Rodrigues-3403.40
684795-Adelina Quadros-19418.01
422089-Melinda Roserio-14192.10
569722-Basilio Pedroso-10738.36
68743-Quintino Alcantara-7804.13
471145-Silvio Mata-14757.03
557855-Esperada Cardoso-8822.15
953801-Trajano Fagundes-1217.27
139369-Manuel Capiperibe-19741.61
797547-Andreia Moita-9164.84
189397-Moaci Mendoa-18398.65
479545-Lina Andrade-19695.50
696246-Leonidas Mafra-20229.72
763662-Elisa Themes-5280.58
874530-Antonio Castelo-19191.27
503209-Tabalipa Duarte-15811.14
295047-Quintino Alcantara-11031.89
966938-Elisa Themes-4146.59
161931-Romo Paranage-6797.98
413445-Heleedsa Marins-19445.96
324050-Emiliana Foquio-17683.02
91068-Augusta Paio-18907.81
659028-Sidfnio Frois-5719.94
952886-Polibe Olivares-10427.57
599272-Marilda Leio-13746.32
658383-Guida Juca-10676.51
937223-Tabalipa Duarte-6064.63
431502-Rodolfo Paz-10324.30
652335-Urbano Rodrigues-2691.08
550617-Leonidas Mafra-9905.22
448919-Branco Saraba-4723.62
212553-Oliveira Carmona-12024.53
42668-Delfina Garcia de Gondim-8276.28
877705-Trajano Fagundes-7670.98
