300756-Anfnia Seixas-11645.22
969417-Manuel Capiperibe-7770.47
12867-Flamednia Leiria-4001.55
304475-Estanislau Beserra-20701.70
535958-Guida Juca-8169.74
172901-Armanda Amorim-13298.94
26953-Romo Paranage-20657.90
518910-Taercio Mafra-6348.44
822210-Rodolfo Paz-8945.55
876387-Henrique Bento-13498.75
243997-Ubaldo Mainha-19551.76
624506-Regina Barcellos-12606.61
63720-Domingos Pas-19546.74
303863-Tarrataca Soares-964.95
974403-Armindo Castalo-10830.31
426651-Liana Cardim-277.20
885715-Marilda Leio-18837.47
836449-Leonidas Mafra-17817.83
341295-Fulvio Villegas-19386.05
745076-Flamednia Leiria-20004.81
922378-Gaudancio Fiees-9822.42
621574-Nuno Balsemeo-5843.82
883906-Lurdes Cotrim-7044.46
301288-Delfina Garcia de Gondim-9817.50
888677-Judite Damasceno-19717.24
482842-Sofras Cuaresma-13496.67
454701-Branco Saraba-1720.69
249616-Marilda Leio-8109.06
888727-Cassandra Varejo-9442.47
82972-Melinda Roserio-7705.09
668415-Leonidas Mafra-20684.31
945813-Leonidas Mafra-17075.69
400935-Quintino Alcantara-4649.69
530297-Artur Grillo-8882.70
671077-Adelino Barra-7526.75
842883-Flamednia Leiria-8751.58
734968-Adelina Quadros-4381.29
890637-Liana Cardim-15073.79
345153-Lurdes Cotrim-4227.84
404373-Tibofarcio Camacho-2263.83
977390-Joaquim Rufino-1205.68
791848-Estanislau Beserra-20605.14
988606-Edgar Carvalheiro-8644.31
147736-Moaci Mendoa-6344.78
56751-Quintiliano Sousa de Arronches-14671.49
206404-Romo Paranage-1505.08
23348-Tarrataca Soares-10072.43
426000-Armindo Castalo-16261.34
734459-Mercia Caeira-16414.79
806372-Taercio Mafra-8444.00
870464-Tabalipa Duarte-12353.77
398168-Guaraci Damasceno-16491.69
11060-Filomena Barrios-5226.74
593044-Silvio Mata-7078.22
445410-Lina Andrade-10388.78
489539-Branco Saraba-13400.85
691922-Taercio Mafra-8136.24
23611-Letedcia Gago-17790.50
250576-Daniel Vieyra-7523.01
261544-Carminda Morais-8251.08
655838-Henrique Bento-6204.94
618226-Romo Paranage-594.09
127225-Carminda Morais-8494.20
551068-Trajano Fagundes-13080.13
969106-Nuno Balsemeo-1759.75
52418-Joaquim Rufino-3534.64
643887-Rodolfo Paz-5681.56
478482-Marilda Leio-12581.80
963191-Andreia Moita-17834.30
926817-Odete Vasques-4192.08
806436-Adelino Barra-16868.64
579438-Honorina Lira-14119.99
521320-Manuel Capiperibe-16551.26
653392-Neeamia Arruda-11331.93
607037-Silvio Mata-4806.79
955360-Flamednia Leiria-11647.31
388412-Clara Alcantara-11883.75
445893-Micaela Chavez-15588.54
70157-Sidfnio Frois-17548.17
512014-Guaraci Damasceno-12702.60
61485-Adelina Quadros-9495.83
105386-Rebeca Neto-20281.62
74589-Emedlia Silvera-18602.00
463803-Armanda Amorim-9683.70
866072-Ubaldo Mainha-604.93
243159-Urbano Rodrigues-1754.48
600954-Ermelinda Quintela-5058.37
115029-Lina Andrade-18652.83
808994-Oliveira Senchez-17378.69
966130-Angelica Aranha-8758.98
815277-Quintino Alcantara-1044.75
44977-Tabalipa Duarte-440.97
789808-Camila Gabeira-7541.72
176995-Fulvio Villegas-9366.36
757607-Anfnia Seixas-18995.02
533454-Elisa Themes-16712.61
40603-Neeamia Arruda-6053.78
922940-Henrique Bento-14174.93
691653-Feledcia Peassego-10708.19
277228-Fulvio Villegas-13487.85
122834-Spnia ou Sonia Guerreiro-5231.17
67612-Moaci Mendoa-2806.78
691000-Spnia ou Sonia Guerreiro-20334.68
30671-Lina Andrade-9941.61
256368-Letedcia Gago-4434.35
458777-Micaela Chavez-8619.69
625962-Delfim Higuera-12670.09
113631-Odete Vasques-6994.48
916733-Anind Zarco-7181.40
589074-Delfina Garcia de Gondim-9304.17
675372-Cleusa Goes-4590.56
237111-Henrique Bento-2536.40
896029-Emedlia Silvera-1948.48
726717-Neuza Francia-21428.79
709329-Anfnia Seixas-6236.51
193586-Aludsio Sosa-21401.10
971703-Judite Damasceno-4252.52
611930-Flor Portella-2798.82
778353-Eurico Siqueira-14217.99
247262-Antonio Castelo-12939.04
533842-Neeamia Arruda-7720.96
937018-Tibefarcio Colao-21083.33
501768-Mercia Caeira-10517.46
566956-Micaela Chavez-5039.89
793224-Sara Lameiras-14016.98
970885-Quintino Alcantara-13494.08
600689-Emedlia Silvera-20183.80
272295-Oliveira Senchez-18665.08
392292-Adelina Quadros-1638.03
652332-Adelina Quadros-1285.66
329643-Polibe Olivares-9621.00
579765-Marilda Leio-10400.37
470309-Regina Barcellos-6430.55
692276-Micaela Chavez-18046.22
825393-Edgar Carvalheiro-12239.32
126028-Emedlio Pimentel-14919.03
536606-Flor Portella-13230.20
199441-Romo Paranage-19842.92
260868-Quintiliano Sousa de Arronches-20276.84
121268-Emedlia Silvera-238.53
402421-Emiliana Foquio-11981.83
779697-Aludsio Sosa-17147.62
6561-Flamednia Leiria-18272.33
979041-Tarrataca Soares-17304.41
456558-Lina Andrade-14197.83
148442-Neeamia Arruda-15189.09
248279-Carminda Morais-20204.46
244123-Armanda Amorim-12021.62
264257-Henrique Bento-14914.22
87034-Carminda Morais-150.60
476069-Sidfnio Frois-2144.62
481556-Artur Grillo-7142.42
524160-Jorgina Bogalho-14752.49
622003-Neuza Francia-14017.44
858393-Regina Barcellos-9977.17
542905-Cassandra Varejo-16648.65
130074-Moaci Mendoa-4576.30
253293-Jorgina Bogalho-15418.74
184858-Lina Andrade-3416.55
317060-Emedlio Pimentel-13157.42
302231-Edgar Carvalheiro-2977.34
470016-Danilo Olaio-3972.16
432882-Elisa Themes-5067.40
628436-Elisa Themes-12693.62
781656-Tibefarcio Colao-1947.37
717937-Fulvio Villegas-6542.80
596009-Quintiliano Sousa de Arronches-19924.10
919776-Sidfnio Frois-12371.79
921381-Guida Juca-3728.81
345342-Zulmira Becerra-14271.98
829278-Camila Gabeira-1290.16
291962-Taercio Mafra-19714.86
996741-Dulce Froes-794.35
466526-Clarindo Areosa-5750.64
680360-Anind Zarco-8938.46
127504-Zulmira Becerra-3080.80
440049-Augusta Paio-3366.76
898978-Quintino Alcantara-8525.96
232062-Zulmira Becerra-9105.17
736262-Dulce Froes-20018.62
982260-Ubaldo Mainha-19942.08
962479-Delfim Higuera-11020.16
674825-Feledcia Peassego-395.29
127108-Tibefarcio Colao-2819.96
941331-Zungela Ipiranga-10836.76
492239-Ubaldo Mainha-12948.04
839090-Joaquim Rufino-4327.60
111957-Emiliana Foquio-11026.59
564135-Ximena Castilho-5514.08
413186-Judite Damasceno-12681.44
459817-Feledcia Peassego-2736.42
522612-Filomena Barrios-131.21
587939-Sofras Cuaresma-8837.96
88680-Judite Damasceno-12449.23
653272-Sara Lameiras-2183.81
579723-Neuza Francia-1463.89
585970-Almerinda Palmeira-16832.29
268023-Moaci Mendoa-3788.57
62009-Tibefarcio Colao-17654.21
372958-Edgar Carvalheiro-19208.34
546212-Edgar Carvalheiro-1248.10
960105-Melinda Roserio-8013.33
390247-Celeste Duarte-16269.21
866084-Esperada Cardoso-5335.26
821438-Spnia ou Sonia Guerreiro-2436.96
969373-Delfina Garcia de Gondim-16512.75
437393-Antonio Viegas-7693.78
149195-Henrique Bento-821.62
552813-Quintino Alcantara-4422.24
847605-Tibofarcio Camacho-6125.97
802537-Clara Alcantara-4476.59
916222-Melinda Roserio-19416.20
634786-Zulmira Becerra-19015.26
149407-Armanda Amorim-3669.09
619897-Henrique Bento-19147.30
954885-Melinda Roserio-11862.16
679313-Heleedsa Marins-16236.53
664975-Anind Zarco-15123.19
991126-Quintiliano Sousa de Arronches-19548.71
254604-Jussara Varanda-13552.35
868595-Gaudancio Fiees-9815.54
292917-Trajano Fagundes-11074.71
566534-Eurico Siqueira-17461.05
761032-Odilia Bello-16337.71
997796-Taercio Mafra-20153.91
413746-Tarrataca Soares-9618.62
137663-Domingos Pas-7670.58
722812-Carminda Morais-9667.23
986272-Celeste Duarte-19397.14
473701-Delfina Garcia de Gondim-11564.85
558057-Quintiliano Sousa de Arronches-5378.70
818255-Urbano Rodrigues-2086.79
698048-Jorgina Bogalho-9702.46
136741-Neeamia Arruda-1545.23
967713-Sara Lameiras-4425.21
45107-Rodolfo Paz-20779.35
854648-Ximena Castilho-2695.89
833731-Emedlio Pimentel-818.28
131550-Jorgina Bogalho-15968.14
333623-Danilo Olaio-9618.04
771203-Taercio Mafra-9368.79
763181-Edgar Carvalheiro-19696.97
742129-Aludsio Sosa-17069.11
826483-Lina Andrade-20500.48
714704-Melinda Roserio-12185.32
993987-Augusta Paio-11270.93
651921-Delfina Garcia de Gondim-8144.65
367818-Angelica Aranha-19042.98
323006-Anind Zarco-16139.46
992259-Antonio Castelo-18982.80
179237-Cleusa Goes-19650.51
719831-Flamednia Leiria-6483.31
939664-Marilda Leio-12030.73
921620-Cleusa Goes-10804.16
426733-Henrique Bento-19141.30
452797-Sara Lameiras-14246.41
929912-Neeamia Arruda-5738.09
512093-Elisa Themes-1286.93
405799-Joaquim Rufino-10560.16
630007-Trajano Fagundes-10005.25
658418-Esperada Cardoso-11187.04
81794-Melinda Roserio-19484.24
718390-Odilia Bello-15508.80
782605-Manuel Capiperibe-8963.18
894830-Anfnia Seixas-1392.61
571832-Urbano Rodrigues-18697.13
826016-Almor Caiado-17231.60
61085-Rodolfo Paz-21166.72
110770-Basilio Pedroso-9845.94
622974-Antonio Castelo-20712.24
931320-Taercio Mafra-20433.99
290658-Anfnia Seixas-18379.97
496875-Tabalipa Duarte-12772.32
