815692-Emedlio Pimentel-16259.03
775077-Odilia Camello-9673.06
282847-Celeste Duarte-18637.97
69085-Sara Lameiras-18647.08
708550-Honorina Lira-9072.61
906031-Cassandra Varejo-9428.78
602127-Anfnia Seixas-18171.34
653444-Andreia Moita-18652.31
569349-Odilia Camello-19314.86
382243-Angilica Galante-2673.54
262544-Sidfnio Frois-17021.70
912332-Sidfnio Frois-4084.61
86958-Odilia Camello-4727.44
73679-Clara Alcantara-9778.13
41563-Adelina Quadros-20915.22
660266-Trajano Fagundes-4009.44
862886-Danilo Olaio-3910.63
39196-Artur Grillo-17557.16
332253-Taercio Mafra-2008.02
348278-Anfnia Seixas-11721.84
728585-Neeamia Arruda-17674.47
527869-Angelica Aranha-1088.75
149305-Filomena Barrios-5869.62
567878-Antonio Castelo-16760.36
726953-Romo Paranage-14565.94
630353-Sofras Cuaresma-1507.71
928247-Mercia Caeira-10476.33
876625-Fulvio Villegas-5971.89
572491-Odilia Bello-1370.38
270837-Ubaldo Mainha-15673.86
807147-Marilda Leio-14386.31
546168-Marilda Leio-13766.75
746626-Celeste Duarte-2013.41
691368-Antonio Viegas-19239.09
449479-Marilda Leio-19666.36
762213-Elisa Themes-12367.82
502898-Filomena Barrios-6772.27
822717-Guaraci Damasceno-21051.04
375114-Letedcia Gago-9431.92
729439-Ximena Castilho-12704.63
267934-Oliveira Carmona-12067.87
769497-Cassandra Varejo-3068.49
146460-Clarindo Areosa-11265.96
2133-Letedcia Gago-19912.87
893844-Flamednia Leiria-17312.53
895859-Emedlia Silvera-2905.32
668444-Oliveira Carmona-2175.51
74487-Tibofarcio Camacho-19033.74
185886-Honorina Lira-6612.65
334896-Urbano Rodrigues-9869.94
869793-Trajano Fagundes-19052.62
551868-Letedcia Gago-8885.48
425340-Guida Juca-1932.11
639516-Leonidas Mafra-4062.13
278625-Adelina Quadros-10561.07
69620-Jussara Varanda-14520.03
642856-Lina Andrade-17446.71
442930-Emedlia Silvera-8342.62
379173-Quintiliano Sousa de Arronches-14654.48
507724-Andreia Moita-16277.83
615773-Cassandra Varejo-7411.69
510466-Elisa Themes-2442.37
254323-Leonidas Mafra-15136.63
110323-Neuza Francia-4558.19
769834-Odete Vasques-11420.97
198686-Sidfnio Frois-12441.67
642741-Filomena Barrios-19988.10
153953-Spnia ou Sonia Guerreiro-19357.69
555041-Odete Vasques-10126.64
221118-Zulmira Becerra-1726.88
881623-Clarindo Areosa-6863.04
837196-Basilio Pedroso-16128.15
824629-Almerinda Palmeira-11115.85
539439-Almor Caiado-3092.12
467407-Domingos Pas-11969.82
18730-Delfina Perdigon-12111.81
572915-Sidfnio Frois-6423.40
314757-Celeste Duarte-18554.94
835097-Edgar Carvalheiro-3115.65
803468-Cassandra Varejo-9667.86
71118-Edgar Carvalheiro-5131.84
507842-Liana Cardim-8560.21
181858-Armindo Castalo-7363.62
34860-Telma Villalobos-3474.18
706364-Judite Damasceno-954.02
991346-Honorina Lira-10364.21
959427-Filomena Barrios-3275.10
737111-Esperada Cardoso-18608.25
800032-Oliveira Senchez-281.76
43717-Romo Paranage-5899.80
975889-Armanda Amorim-8790.51
212321-Estanislau Beserra-16365.58
263480-Zulmira Becerra-9592.57
932745-Ximena Castilho-3608.08
297736-Jussara Varanda-2970.31
160990-Ubaldo Mainha-19100.22
721193-Honorina Lira-14.98
621087-Basilio Pedroso-8652.35
14625-Quintino Alcantara-21420.35
489552-Anind Zarco-5495.95
266986-Jonatas Felgueiras-5555.71
712199-Zungela Ipiranga-6987.83
695090-Adelina Quadros-4445.63
556640-Micaela Chavez-9044.96
319937-Ubaldo Mainha-2403.10
1444-Clara Alcantara-17964.71
103540-Quintiliano Sousa de Arronches-3417.08
715491-Filomena Barrios-8133.29
668407-Tibefarcio Colao-7718.60
797385-Liana Cardim-5288.66
905893-Mercia Caeira-10511.33
581401-Fulvio Villegas-7043.62
331752-Jussara Varanda-3445.73
338804-Manuel Capiperibe-7081.30
153770-Angelica Aranha-21424.50
999365-Estanislau Beserra-4479.68
383287-Nuno Balsemeo-9560.71
264964-Ermelinda Quintela-18467.87
897859-Rodolfo Paz-6859.72
565651-Rodolfo Paz-17967.69
344763-Basilio Pedroso-14741.91
694730-Almerinda Palmeira-5972.89
344227-Romo Paranage-8026.21
40382-Honorina Lira-9019.59
748645-Anfnia Seixas-12561.13
766751-Antonio Castelo-146.29
772042-Angelica Aranha-12350.12
485713-Estanislau Beserra-6237.94
45202-Sidfnio Frois-11936.91
465135-Armindo Castalo-7917.73
751416-Emedlio Pimentel-21151.18
171033-Melinda Roserio-14243.29
468887-Tibefarcio Colao-15656.73
340070-Daniel Vieyra-8362.30
857573-Regina Barcellos-1404.95
824982-Adelina Quadros-18662.62
276445-Lina Andrade-13675.50
799151-Sidfnio Frois-11335.52
624943-Mercia Caeira-19775.98
422227-Andreia Moita-3765.79
504740-Angilica Galante-11543.30
294728-Estanislau Beserra-10670.18
373592-Henrique Bento-8190.03
73085-Flor Portella-7548.60
248362-Spnia ou Sonia Guerreiro-15827.17
53195-Delfina Perdigon-11500.58
970595-Camila Gabeira-20523.35
416555-Odete Vasques-9506.50
656039-Delfim Higuera-18392.75
103258-Branco Saraba-11092.14
840216-Cleusa Goes-5572.35
695323-Neuza Francia-16575.30
396014-Adelina Quadros-7124.20
770164-Jorgina Bogalho-6720.09
890861-Edgar Carvalheiro-2907.74
506748-Flor Portella-8248.27
900930-Almerinda Palmeira-1413.14
361800-Armanda Amorim-16227.30
375071-Basilio Pedroso-15979.03
502298-Guida Juca-12605.22
208616-Cleusa Goes-14023.63
761792-Delfina Garcia de Gondim-19910.58
332861-Daniel Vieyra-1559.70
423413-Liana Cardim-17577.41
373518-Anind Zarco-11901.48
40750-Almor Caiado-7411.71
282795-Taercio Mafra-1295.88
892449-Trajano Fagundes-7229.50
636161-Dulce Froes-15073.25
687930-Dulce Froes-1653.44
953630-Urbano Rodrigues-13685.52
454354-Emedlia Silvera-19763.14
1182-Tarrataca Soares-9081.63
967708-Liana Cardim-11305.87
459719-Filomena Barrios-12509.60
725579-Odilia Camello-7045.17
818483-Spnia ou Sonia Guerreiro-6413.17
225377-Joaquim Rufino-9662.09
879170-Ermelinda Quintela-4823.62
952253-Odilia Camello-10290.49
547885-Polibe Olivares-15680.03
22633-Odilia Bello-5089.74
71820-Delfina Perdigon-16569.75
91461-Honorina Lira-14294.59
368072-Eurico Siqueira-4984.35
308866-Sara Lameiras-13021.61
904240-Celeste Duarte-3704.95
604179-Lina Andrade-21397.21
254131-Lurdes Cotrim-17901.16
745521-Tibefarcio Colao-9195.85
580646-Andreia Moita-7886.49
968122-Odilia Bello-6521.88
702447-Oliveira Carmona-3537.76
600128-Emedlia Silvera-493.84
84580-Basilio Pedroso-14967.52
45672-Delfina Perdigon-15910.61
524155-Cleusa Goes-10734.82
835528-Heleedsa Marins-736.02
355888-Ximena Castilho-14618.56
237750-Zulmira Becerra-3031.18
685394-Emedlio Pimentel-10576.99
652452-Antonio Castelo-7991.83
76924-Angelica Aranha-15038.86
509050-Augusta Paio-19324.86
400186-Ximena Castilho-10680.87
726402-Ximena Castilho-1616.49
729631-Tarrataca Soares-20651.73
744708-Lina Andrade-9775.25
480657-Manuel Capiperibe-123.97
849354-Telma Villalobos-17996.35
803052-Antonio Castelo-9258.37
922340-Angilica Galante-11064.89
229851-Almerinda Palmeira-7030.82
313758-Danilo Olaio-13725.92
298225-Rodolfo Paz-2495.08
34974-Anfnia Seixas-21272.34
832871-Flamednia Leiria-18654.80
145212-Angelica Aranha-19822.25
543472-Anfnia Seixas-3222.22
314487-Artur Grillo-8230.71
203777-Armindo Castalo-1093.91
791988-Branco Saraba-11173.13
79948-Fulvio Villegas-2040.59
770102-Oliveira Senchez-20183.73
462580-Tibefarcio Colao-1671.88
241962-Marilda Leio-4422.23
670271-Branco Saraba-1395.72
788014-Regina Barcellos-3327.17
430720-Adelina Quadros-10952.61
986981-Oliveira Carmona-17415.75
178195-Jorgina Bogalho-4272.95
722461-Daniel Vieyra-3576.04
272230-Guida Juca-1842.00
388075-Rodolfo Paz-14109.70
611750-Estanislau Beserra-16754.33
859794-Odilia Bello-20456.74
342257-Delfina Perdigon-5358.61
337827-Zulmira Becerra-13586.49
558507-Tibofarcio Camacho-11965.96
1307-Odilia Bello-621.00
31933-Delfina Perdigon-19022.78
453439-Delfim Higuera-12005.17
188164-Daniel Vieyra-12107.89
982312-Quintino Alcantara-4886.93
182345-Antonio Castelo-4068.21
53784-Angelica Aranha-12146.81
664309-Odilia Bello-7445.40
330438-Joaquim Rufino-8618.78
230088-Letedcia Gago-14014.36
906731-Flor Portella-5379.54
158503-Quintino Alcantara-12419.86
705533-Odilia Camello-14754.39
372512-Henrique Bento-2081.44
723038-Almerinda Palmeira-19391.26
559916-Jonatas Felgueiras-968.25
862079-Letedcia Gago-12908.78
838785-Basilio Pedroso-16685.43
676657-Jorgina Bogalho-13693.90
680061-Gaudancio Fiees-7261.36
279719-Heleedsa Marins-8340.43
495315-Emiliana Foquio-12872.01
988693-Antonio Viegas-3654.23
515018-Henrique Bento-5737.96
830168-Judite Damasceno-20965.19
354922-Almor Caiado-20495.95
701030-Tarrataca Soares-21084.57
728288-Dulce Froes-238.12
811656-Basilio Pedroso-6264.89
772609-Tabalipa Duarte-9801.69
686007-Flor Portella-1339.65
553157-Joaquim Rufino-2974.60
922343-Flor Portella-12254.49
730654-Adelino Barra-19709.64
198956-Urbano Rodrigues-15973.10
793211-Liana Cardim-5931.82
728466-Adelino Barra-15128.83
542155-Delfina Garcia de Gondim-12761.27
414939-Armanda Amorim-6274.55
677255-Leonidas Mafra-4287.44
591895-Oliveira Carmona-20814.30
549240-Leonidas Mafra-18285.00
224144-Romo Paranage-9119.39
322140-Quintiliano Sousa de Arronches-8071.86
215742-Tibofarcio Camacho-17223.85
144338-Delfina Garcia de Gondim-13016.94
184198-Guaraci Damasceno-17894.23
197399-Judite Damasceno-1814.81
22728-Celeste Duarte-2938.96
853192-Ximena Castilho-13485.73
852502-Elisa Themes-19241.65
816729-Quintino Alcantara-7072.31
241187-Mercia Caeira-11324.55
114569-Lurdes Cotrim-14177.77
984598-Melinda Roserio-21369.93
165090-Domingos Pas-10916.54
43670-Marilda Leio-3313.54
805017-Honorina Lira-19645.51
