793693-Almerinda Palmeira-3777.02
274901-Heleedsa Marins-12412.94
849668-Lurdes Cotrim-12078.17
917019-Letedcia Gago-11564.52
582710-Emiliana Foquio-15200.51
924143-Ximena Castilho-14035.19
623735-Marilda Leio-17036.58
853514-Guaraci Damasceno-20828.62
521315-Feledcia Peassego-217.43
31765-Delfina Perdigon-12409.19
570606-Judite Damasceno-10812.30
770008-Edgar Carvalheiro-18895.04
171109-Angilica Galante-11958.71
222970-Rebeca Neto-1613.04
657027-Judite Damasceno-8658.87
625813-Romo Paranage-5963.27
308662-Odilia Camello-10679.51
962526-Judite Damasceno-16608.04
328225-Oliveira Senchez-20723.26
455818-Judite Damasceno-2408.74
982747-Dulce Froes-5024.44
211301-Antonio Viegas-12702.14
250634-Jonatas Felgueiras-15133.85
623693-Oliveira Carmona-1331.25
448873-Jussara Varanda-15257.82
841379-Rebeca Neto-6289.24
268914-Telma Villalobos-12932.33
354687-Marilda Leio-6817.11
818241-Almor Caiado-15060.40
25216-Anfnia Seixas-19214.96
668022-Odilia Bello-7919.95
56706-Tibefarcio Colao-6427.22
949816-Odilia Bello-5674.89
229724-Clarindo Areosa-17741.13
297099-Joaquim Rufino-11240.78
283706-Ubaldo Mainha-1374.36
80985-Jorgina Bogalho-2177.05
345375-Emedlio Pimentel-9210.59
930390-Ximena Castilho-353.94
357345-Oliveira Senchez-18774.19
658006-Adelino Barra-12456.04
402979-Regina Barcellos-13686.60
878623-Fulvio Villegas-19886.10
739695-Jussara Varanda-63.56
241870-Tibofarcio Camacho-20256.53
525823-Angelica Aranha-3224.53
733718-Emedlia Silvera-19355.34
690571-Honorina Lira-14903.96
875260-Lina Andrade-6478.43
99657-Ermelinda Quintela-14802.00
335932-Tabalipa Duarte-20808.58
566833-Taercio Mafra-8047.78
36365-Mercia Caeira-10696.56
995162-Micaela Chavez-939.12
583270-Artur Grillo-1581.54
249561-Celeste Duarte-6406.80
351767-Lurdes Cotrim-229.30
675154-Regina Barcellos-17456.21
58057-Tarrataca Soares-480.12
318717-Urbano Rodrigues-7311.12
31406-Anfnia Seixas-14214.48
864146-Adelino Barra-7635.31
357292-Neuza Francia-15475.67
460660-Domingos Pas-460.79
436677-Marilda Leio-1806.62
582444-Carminda Morais-9279.12
181665-Gaudancio Fiees-2777.80
831679-Urbano Rodrigues-5954.55
394211-Angelica Aranha-6545.13
799653-Daniel Vieyra-4903.48
405349-Cleusa Goes-19803.79
902010-Lurdes Cotrim-20752.44
176263-Armanda Amorim-21436.01
106731-Quintiliano Sousa de Arronches-20265.78
465813-Armanda Amorim-17305.31
462677-Lina Andrade-11336.30
655848-Oliveira Senchez-5583.28
779046-Flor Portella-19401.60
39194-Clara Alcantara-3270.70
795200-Branco Saraba-6618.70
179425-Nuno Balsemeo-1297.91
527802-Neeamia Arruda-8116.93
407163-Lurdes Cotrim-13648.70
370227-Micaela Chavez-7114.93
412156-Guaraci Damasceno-10929.59
116220-Polibe Olivares-5199.38
731980-Odete Vasques-17805.93
127555-Ximena Castilho-6028.89
494451-Emedlia Silvera-8799.28
374373-Quintiliano Sousa de Arronches-5122.40
602390-Neeamia Arruda-2309.35
242612-Nuno Balsemeo-14574.63
126482-Spnia ou Sonia Guerreiro-6603.87
127643-Emiliana Foquio-15347.57
223109-Ubaldo Mainha-19791.69
365908-Ermelinda Quintela-268.02
138484-Delfina Garcia de Gondim-9005.34
755208-Micaela Chavez-5831.78
531405-Urbano Rodrigues-18176.72
893992-Regina Barcellos-9635.63
