533786-Odilia Camello-3205.61
419439-Quintiliano Sousa de Arronches-2771.89
660697-Heleedsa Marins-6871.54
95721-Sidfnio Frois-13335.68
124162-Emedlio Pimentel-19883.16
524997-Spnia ou Sonia Guerreiro-8094.65
911350-Delfina Garcia de Gondim-11702.83
421267-Domingos Pas-4812.35
435151-Ermelinda Quintela-12779.85
432780-Joaquim Rufino-15646.33
428009-Augusta Paio-17851.67
690282-Sofras Cuaresma-20895.87
71811-Daniel Vieyra-11417.64
334461-Gaudancio Fiees-2913.76
660997-Mercia Caeira-8065.00
71233-Zungela Ipiranga-14260.25
980420-Manuel Capiperibe-5014.53
651100-Adelino Barra-14108.74
641831-Moaci Mendoa-11858.25
265220-Heleedsa Marins-5597.75
815672-Nuno Balsemeo-16042.03
926788-Domingos Pas-11074.09
743625-Estanislau Beserra-15424.81
714802-Nuno Balsemeo-2353.32
253649-Melinda Roserio-9309.93
624616-Angilica Galante-2605.80
977067-Adelina Quadros-19405.61
612729-Armanda Amorim-10397.28
999283-Oliveira Senchez-2478.86
371049-Clara Alcantara-8131.52
892650-Danilo Olaio-18209.67
581520-Basilio Pedroso-14444.10
889802-Branco Saraba-21081.54
961841-Regina Barcellos-2043.85
926064-Estanislau Beserra-13616.39
873928-Sidfnio Frois-11257.80
879487-Adelino Barra-3062.73
821387-Nuno Balsemeo-734.02
153599-Odete Vasques-9084.02
827626-Tibofarcio Camacho-19417.73
276248-Emedlio Pimentel-4431.82
443826-Celeste Duarte-3452.80
20642-Dulce Froes-15901.69
594859-Flor Portella-10246.48
500939-Andreia Moita-10875.74
916231-Spnia ou Sonia Guerreiro-4379.64
911967-Emedlia Silvera-5018.43
468568-Micaela Chavez-17806.65
269838-Quintino Alcantara-13903.35
957609-Tibefarcio Colao-5166.79
313453-Anind Zarco-18669.55
636689-Flor Portella-6029.15
886811-Romo Paranage-21269.36
323794-Moaci Mendoa-15390.47
629738-Lurdes Cotrim-12220.64
90996-Tarrataca Soares-21069.81
332183-Honorina Lira-1594.09
846718-Jorgina Bogalho-16148.77
280036-Jorgina Bogalho-10706.64
115066-Sidfnio Frois-9221.38
239211-Antonio Viegas-19824.51
545119-Mercia Caeira-17776.04
130664-Micaela Chavez-17520.07
401998-Clarindo Areosa-18663.31
320964-Daniel Vieyra-1774.77
329978-Letedcia Gago-1945.68
302967-Letedcia Gago-8959.00
119418-Polibe Olivares-4402.63
633423-Emiliana Foquio-10485.43
965877-Angelica Aranha-14816.58
9813-Domingos Pas-15338.98
492423-Flor Portella-16484.43
922942-Odilia Camello-230.90
289308-Ximena Castilho-3954.92
219083-Liana Cardim-16428.13
213208-Branco Saraba-5576.59
220618-Antonio Viegas-18729.62
120575-Celeste Duarte-17955.98
930703-Neeamia Arruda-21062.31
888138-Emedlia Silvera-20477.13
15896-Armanda Amorim-21367.23
594726-Anind Zarco-20927.32
294023-Neeamia Arruda-3711.71
516948-Delfina Garcia de Gondim-12464.61
70945-Almor Caiado-19626.80
618456-Letedcia Gago-15944.09
734125-Delfina Perdigon-1011.46
750135-Odilia Bello-19372.67
545909-Estanislau Beserra-1277.14
885130-Romo Paranage-381.18
882865-Tibofarcio Camacho-4431.34
811029-Oliveira Senchez-11777.29
182037-Jorgina Bogalho-18720.23
642906-Tabalipa Duarte-21305.40
595634-Leonidas Mafra-16721.27
877538-Tabalipa Duarte-6742.62
334947-Ermelinda Quintela-14789.96
754476-Armanda Amorim-6872.63
288249-Tibofarcio Camacho-8868.09
569688-Lina Andrade-9786.94
