546497-Zungela Ipiranga-8778.27
451488-Angelica Aranha-11383.46
816074-Liana Cardim-17195.59
156629-Odilia Camello-7527.70
813864-Elisa Themes-21469.92
477315-Romo Paranage-16303.34
216244-Neuza Francia-17196.33
924006-Urbano Rodrigues-9852.89
794054-Guida Juca-16535.32
354119-Odete Vasques-19050.33
638473-Ubaldo Mainha-11790.96
899172-Polibe Olivares-16595.47
835030-Urbano Rodrigues-2148.80
48690-Antonio Viegas-21000.37
305015-Telma Villalobos-7043.67
977248-Manuel Capiperibe-613.61
444883-Marilda Leio-19705.77
700803-Guaraci Damasceno-1270.17
220899-Nuno Balsemeo-11678.11
990147-Leonidas Mafra-4776.82
362070-Flamednia Leiria-11703.20
44766-Neuza Francia-20532.19
106494-Mercia Caeira-145.71
727242-Guida Juca-20656.19
117653-Trajano Fagundes-13994.41
16243-Andreia Moita-11799.34
765405-Armindo Castalo-8418.96
663820-Delfim Higuera-2141.13
851068-Guida Juca-18683.34
602890-Tabalipa Duarte-18238.40
387948-Jorgina Bogalho-1437.19
269091-Tibofarcio Camacho-20007.63
214159-Lina Andrade-20908.70
555579-Camila Gabeira-21335.97
933627-Urbano Rodrigues-7342.31
194872-Oliveira Senchez-397.64
816629-Emedlio Pimentel-16805.29
15142-Jorgina Bogalho-9337.09
747121-Clara Alcantara-9320.77
806621-Telma Villalobos-11816.79
31409-Delfina Garcia de Gondim-14400.67
92663-Sofras Cuaresma-7388.53
889554-Emedlio Pimentel-7375.83
257114-Delfina Perdigon-16511.39
760385-Polibe Olivares-12845.89
220733-Branco Saraba-3423.00
615408-Basilio Pedroso-10331.17
905645-Emedlio Pimentel-10326.48
824950-Delfim Higuera-4679.12
594224-Letedcia Gago-5067.18
203614-Tabalipa Duarte-16267.50
531543-Antonio Viegas-7033.59
655480-Ubaldo Mainha-19372.48
649216-Lina Andrade-10480.22
272697-Honorina Lira-1012.99
610873-Mercia Caeira-4965.19
229043-Marilda Leio-12661.35
376259-Almerinda Palmeira-11045.57
749047-Artur Grillo-2258.98
714827-Zungela Ipiranga-4984.92
360136-Filomena Barrios-15986.96
72924-Joaquim Rufino-15227.44
154986-Branco Saraba-1239.16
820482-Urbano Rodrigues-16405.65
141342-Armanda Amorim-17638.38
567545-Lurdes Cotrim-12279.65
293964-Odete Vasques-727.10
137228-Quintino Alcantara-21260.86
145182-Emedlio Pimentel-18793.52
64948-Camila Gabeira-2645.83
703147-Moaci Mendoa-6109.43
607542-Leonidas Mafra-635.32
870794-Rodolfo Paz-15086.87
415163-Odilia Camello-13890.24
465059-Manuel Capiperibe-13556.82
329923-Polibe Olivares-5457.66
714137-Emiliana Foquio-14490.60
749460-Almor Caiado-8037.13
341539-Carminda Morais-17898.59
831675-Mercia Caeira-5804.40
814093-Zungela Ipiranga-19771.43
8759-Angilica Galante-11642.67
463569-Judite Damasceno-9926.54
834003-Sara Lameiras-12520.69
285628-Leonidas Mafra-8430.51
574790-Rebeca Neto-20143.80
345066-Basilio Pedroso-9676.11
341852-Rodolfo Paz-11163.60
425055-Regina Barcellos-14177.02
376427-Delfim Higuera-20975.34
910794-Odilia Camello-15068.64
388293-Artur Grillo-12443.89
914552-Heleedsa Marins-6853.69
128207-Zungela Ipiranga-21012.03
366090-Anfnia Seixas-6900.05
318601-Ubaldo Mainha-3630.96
520580-Neeamia Arruda-2009.58
815048-Joaquim Rufino-2763.00
306529-Danilo Olaio-5677.25
689261-Oliveira Senchez-8071.01
