592757-Sara Lameiras-16998.59
469720-Jussara Varanda-8230.49
801351-Melinda Roserio-11726.13
73175-Odilia Camello-14134.25
307860-Silvio Mata-10243.51
876584-Celeste Duarte-17839.93
953232-Lina Andrade-13978.27
702524-Tarrataca Soares-18234.77
566273-Armindo Castalo-13854.50
837056-Taercio Mafra-4744.82
977568-Sofras Cuaresma-1405.91
713103-Danilo Olaio-12080.61
17958-Delfim Higuera-16268.62
724775-Eurico Siqueira-20699.35
332148-Angilica Galante-4147.59
941486-Emiliana Foquio-9746.36
229108-Lurdes Cotrim-6951.05
447720-Sara Lameiras-8418.08
8709-Odilia Bello-20603.74
304174-Delfina Perdigon-4827.28
567620-Ubaldo Mainha-13777.05
690206-Emiliana Foquio-19904.18
378484-Cleusa Goes-6089.53
195864-Tarrataca Soares-9786.77
438604-Augusta Paio-14150.10
31911-Daniel Vieyra-14819.51
650897-Odilia Bello-1356.97
97158-Telma Villalobos-5331.44
537093-Emiliana Foquio-20901.53
943217-Elisa Themes-8149.73
314746-Jorgina Bogalho-12065.41
793494-Quintiliano Sousa de Arronches-6697.48
849180-Liana Cardim-276.43
766804-Neuza Francia-4528.38
135893-Odilia Camello-12112.77
780661-Branco Saraba-11798.25
544986-Neeamia Arruda-21424.76
447510-Feledcia Peassego-12020.90
641701-Oliveira Carmona-1821.43
242887-Emiliana Foquio-4680.86
55420-Manuel Capiperibe-3869.17
605926-Guida Juca-792.27
574803-Nuno Balsemeo-7530.76
12714-Anfnia Seixas-18878.43
128082-Zungela Ipiranga-12584.96
253055-Andreia Moita-14272.76
361825-Angilica Galante-12213.38
650794-Neuza Francia-13357.85
600388-Oliveira Carmona-4649.43
702962-Heleedsa Marins-6691.86
811748-Odete Vasques-2837.58
945310-Estanislau Beserra-6863.64
342910-Spnia ou Sonia Guerreiro-17199.38
383033-Tibofarcio Camacho-18459.51
261542-Feledcia Peassego-20430.79
933393-Zungela Ipiranga-15788.49
430498-Guida Juca-19352.11
920106-Anind Zarco-11003.78
15726-Neuza Francia-17549.78
254452-Basilio Pedroso-16941.97
579501-Emedlio Pimentel-17330.09
821973-Romo Paranage-9304.71
808064-Sara Lameiras-21038.14
354252-Zulmira Becerra-9857.13
776395-Ubaldo Mainha-1764.91
694036-Zungela Ipiranga-8874.24
404188-Delfina Perdigon-33.71
451836-Jorgina Bogalho-18142.91
800844-Branco Saraba-10798.23
609265-Ubaldo Mainha-1295.94
87281-Clara Alcantara-15791.74
839369-Lina Andrade-15205.12
955103-Lina Andrade-328.36
525638-Fulvio Villegas-167.07
47336-Odilia Bello-12124.83
680983-Tibefarcio Colao-5836.94
163282-Marilda Leio-17050.98
372411-Tibefarcio Colao-15030.66
475516-Guaraci Damasceno-13133.83
72985-Angelica Aranha-16009.93
867781-Carminda Morais-8875.96
188003-Jonatas Felgueiras-16044.36
495315-Leonidas Mafra-1429.07
616275-Melinda Roserio-3704.33
966620-Moaci Mendoa-19854.80
324244-Anind Zarco-5886.77
589837-Esperada Cardoso-20538.41
742952-Aludsio Sosa-18737.29
187345-Carminda Morais-11487.21
971444-Zungela Ipiranga-16337.94
349703-Lina Andrade-7281.78
901622-Filomena Barrios-1648.83
998230-Delfim Higuera-8743.78
414889-Henrique Bento-6655.11
54905-Lurdes Cotrim-5239.94
178323-Jussara Varanda-6263.18
995531-Sidfnio Frois-18599.08
427069-Polibe Olivares-20806.51
441126-Emedlio Pimentel-9553.54
838545-Domingos Pas-17113.26
