493384-Leonidas Mafra-12466.89
725245-Camila Gabeira-4242.14
162350-Manuel Capiperibe-18378.23
461108-Honorina Lira-3112.85
397838-Trajano Fagundes-10680.58
980433-Camila Gabeira-19209.71
179604-Quintino Alcantara-15059.10
98112-Ubaldo Mainha-21437.79
253036-Branco Saraba-9621.67
97840-Heleedsa Marins-21219.10
621965-Basilio Pedroso-9259.20
965723-Fulvio Villegas-6221.62
173794-Antonio Castelo-14453.24
218456-Oliveira Carmona-11593.02
936707-Polibe Olivares-3162.16
225753-Ermelinda Quintela-12661.96
135723-Micaela Chavez-20553.76
979401-Flor Portella-13179.90
180948-Tibefarcio Colao-16422.43
512717-Neeamia Arruda-15448.58
606766-Domingos Pas-16434.79
906534-Feledcia Peassego-7989.62
420279-Honorina Lira-9661.35
273243-Odilia Bello-16563.54
410717-Edgar Carvalheiro-13808.07
606393-Quintiliano Sousa de Arronches-1795.49
806082-Delfim Higuera-6106.85
916147-Tarrataca Soares-5561.80
321192-Estanislau Beserra-7083.61
892684-Rodolfo Paz-8408.74
407305-Tabalipa Duarte-15014.81
842087-Camila Gabeira-17893.87
438629-Flamednia Leiria-21288.08
875632-Oliveira Senchez-625.97
130556-Mercia Caeira-1970.08
84889-Armanda Amorim-14526.14
751766-Regina Barcellos-14554.20
827145-Almerinda Palmeira-17113.37
376434-Cleusa Goes-691.74
201725-Antonio Castelo-17860.67
884506-Branco Saraba-3939.91
563094-Leonidas Mafra-11138.33
719565-Quintino Alcantara-2727.88
11360-Feledcia Peassego-14636.63
656935-Celeste Duarte-15507.94
625703-Taercio Mafra-8503.95
659767-Adelino Barra-6286.63
862148-Jonatas Felgueiras-7934.90
761302-Almor Caiado-5153.83
538178-Silvio Mata-14365.85
672789-Oliveira Carmona-8069.86
320959-Henrique Bento-2700.65
356517-Leonidas Mafra-6247.85
716095-Guaraci Damasceno-6897.96
672936-Flor Portella-21214.53
637757-Domingos Pas-20055.95
733303-Silvio Mata-5217.71
765656-Emedlio Pimentel-4281.50
134613-Odilia Camello-1334.27
194068-Spnia ou Sonia Guerreiro-3459.65
320355-Angilica Galante-19066.38
953481-Oliveira Carmona-20219.59
419183-Leonidas Mafra-3338.32
672442-Henrique Bento-11185.48
588889-Domingos Pas-1437.37
331785-Melinda Roserio-19013.75
469667-Moaci Mendoa-14016.25
270653-Neuza Francia-999.07
78242-Polibe Olivares-18550.41
752515-Antonio Viegas-2937.52
44254-Silvio Mata-14970.72
321613-Cassandra Varejo-15640.26
664040-Odilia Bello-16084.45
791098-Camila Gabeira-19031.17
230501-Jorgina Bogalho-17642.23
122831-Urbano Rodrigues-5950.71
642847-Ubaldo Mainha-13935.40
933966-Henrique Bento-4933.27
374686-Nuno Balsemeo-8354.06
242663-Leonidas Mafra-7876.75
76073-Judite Damasceno-17867.19
64059-Rebeca Neto-3445.57
527580-Estanislau Beserra-10262.21
823152-Filomena Barrios-1615.28
183222-Sofras Cuaresma-5877.59
764375-Artur Grillo-1313.98
753424-Lurdes Cotrim-7980.41
367319-Manuel Capiperibe-9619.75
404421-Andreia Moita-10513.49
482991-Mercia Caeira-11995.92
313449-Dulce Froes-17526.68
732503-Armindo Castalo-3222.49
693634-Romo Paranage-10777.76
616026-Almerinda Palmeira-581.16
655768-Clarindo Areosa-5292.99
434453-Rebeca Neto-4875.80
800219-Dulce Froes-18343.33
706381-Guida Juca-16762.17
939943-Aludsio Sosa-1131.37
95501-Odete Vasques-11476.21
