382837-Joaquim Rufino-10335.53
673636-Jorgina Bogalho-33.91
621712-Dulce Froes-6842.23
639765-Odilia Bello-12365.73
115790-Quintiliano Sousa de Arronches-725.19
264653-Clarindo Areosa-2610.22
892237-Joaquim Rufino-8042.79
223698-Elisa Themes-8933.02
840762-Augusta Paio-14156.04
683440-Lurdes Cotrim-5867.81
506048-Sidfnio Frois-15231.64
20301-Cleusa Goes-4793.54
926806-Aludsio Sosa-2414.92
509689-Eurico Siqueira-16941.32
363461-Celeste Duarte-13577.64
843790-Delfina Garcia de Gondim-17160.29
911314-Angelica Aranha-11664.38
535618-Clara Alcantara-61.78
563003-Elisa Themes-6690.18
942419-Melinda Roserio-10877.02
346180-Elisa Themes-16002.08
819616-Feledcia Peassego-2027.45
167440-Manuel Capiperibe-5856.71
254796-Zungela Ipiranga-6091.81
430988-Delfim Higuera-3680.61
610309-Lurdes Cotrim-7779.05
328390-Sidfnio Frois-3263.32
325248-Andreia Moita-16208.68
624270-Tarrataca Soares-559.47
44104-Armindo Castalo-18908.90
245468-Esperada Cardoso-16197.52
127553-Marilda Leio-2760.88
363995-Guaraci Damasceno-107.72
609209-Mercia Caeira-15080.27
986608-Adelino Barra-17094.58
128336-Danilo Olaio-6875.84
331749-Basilio Pedroso-8509.13
972733-Quintiliano Sousa de Arronches-8562.38
791338-Filomena Barrios-15968.62
144680-Quintiliano Sousa de Arronches-1934.23
683493-Fulvio Villegas-15276.68
462883-Delfina Garcia de Gondim-6803.12
986799-Aludsio Sosa-2781.93
182046-Delfina Perdigon-5628.02
558313-Filomena Barrios-10807.88
511767-Melinda Roserio-10424.33
369845-Quintiliano Sousa de Arronches-162.81
43861-Telma Villalobos-13162.54
618491-Celeste Duarte-6535.62
140385-Anfnia Seixas-8447.06
68314-Branco Saraba-8299.06
748459-Domingos Pas-618.85
33140-Estanislau Beserra-8908.72
573444-Jonatas Felgueiras-17550.54
656873-Romo Paranage-11161.29
714415-Guida Juca-14896.41
872732-Marilda Leio-15060.10
427509-Marilda Leio-14915.71
253051-Almerinda Palmeira-9197.05
940924-Cassandra Varejo-19938.46
51585-Emedlio Pimentel-1624.31
830502-Emedlio Pimentel-13401.79
437933-Emiliana Foquio-15082.12
237872-Dulce Froes-6773.02
355880-Feledcia Peassego-3554.75
262215-Nuno Balsemeo-1047.06
601563-Flor Portella-6125.79
222027-Rebeca Neto-5825.23
612690-Antonio Viegas-8707.76
81244-Daniel Vieyra-9267.17
739665-Jussara Varanda-9437.68
336853-Ximena Castilho-3021.15
302989-Danilo Olaio-18295.53
141224-Aludsio Sosa-15093.07
66307-Jonatas Felgueiras-20516.63
603848-Oliveira Senchez-2424.42
814670-Danilo Olaio-14190.43
35914-Esperada Cardoso-13027.81
344145-Jorgina Bogalho-12099.11
874207-Eurico Siqueira-17939.92
250133-Micaela Chavez-17522.48
56588-Trajano Fagundes-19145.85
558385-Andreia Moita-1954.04
788664-Telma Villalobos-17805.45
320868-Angilica Galante-19826.12
328224-Estanislau Beserra-19177.32
557851-Silvio Mata-9280.63
849777-Armindo Castalo-5196.15
180567-Domingos Pas-364.75
286920-Flamednia Leiria-3983.50
626113-Oliveira Carmona-14516.00
733378-Leonidas Mafra-12111.73
955571-Dulce Froes-10172.47
246977-Rodolfo Paz-2305.53
361819-Ermelinda Quintela-16758.73
655978-Filomena Barrios-14137.18
391669-Cassandra Varejo-16962.76
170455-Armindo Castalo-9886.42
247068-Almor Caiado-20208.22
750550-Adelina Quadros-13686.26
