407869-Neuza Francia-10129.42
582247-Celeste Duarte-3612.29
512462-Celeste Duarte-7544.88
450154-Lina Andrade-4716.82
60225-Taercio Mafra-9341.39
793350-Neuza Francia-18281.16
879810-Sidfnio Frois-2708.78
54061-Delfim Higuera-12522.95
843138-Odilia Bello-6147.41
147212-Quintino Alcantara-9591.51
418481-Elisa Themes-13955.59
874949-Domingos Pas-8716.57
319670-Filomena Barrios-2896.86
526744-Ubaldo Mainha-11491.36
442756-Andreia Moita-4527.13
698150-Clara Alcantara-500.22
702870-Estanislau Beserra-5859.02
134654-Jonatas Felgueiras-7779.56
256581-Micaela Chavez-4823.16
396805-Gaudancio Fiees-13624.63
448884-Guida Juca-1453.98
476069-Zulmira Becerra-597.89
215800-Lurdes Cotrim-506.25
959394-Dulce Froes-18351.52
385141-Danilo Olaio-18755.95
949947-Clarindo Areosa-8998.09
146669-Domingos Pas-12015.12
738061-Henrique Bento-20346.47
624269-Anind Zarco-19064.20
251535-Dulce Froes-1193.33
545933-Emiliana Foquio-20747.82
398982-Estanislau Beserra-1957.74
425632-Mercia Caeira-12859.90
621993-Telma Villalobos-18049.49
987276-Camila Gabeira-768.51
65354-Zungela Ipiranga-13308.01
649577-Zungela Ipiranga-9524.64
652459-Aludsio Sosa-13602.02
611709-Flamednia Leiria-16588.26
403170-Spnia ou Sonia Guerreiro-3155.94
657701-Mercia Caeira-4371.40
310135-Basilio Pedroso-12715.39
751775-Camila Gabeira-15429.65
334994-Artur Grillo-15411.03
70184-Honorina Lira-2676.07
916454-Tabalipa Duarte-3226.72
571954-Taercio Mafra-17563.21
255905-Armindo Castalo-8594.90
102961-Heleedsa Marins-5576.18
886056-Daniel Vieyra-13330.22
1995-Romo Paranage-2531.96
416014-Celeste Duarte-17585.06
87831-Flor Portella-16137.74
782301-Armanda Amorim-20171.09
426115-Letedcia Gago-5086.95
437118-Letedcia Gago-11116.12
248906-Silvio Mata-4307.00
524500-Oliveira Carmona-18149.56
518313-Cleusa Goes-8565.75
854615-Urbano Rodrigues-16094.61
784940-Neeamia Arruda-20454.63
855222-Domingos Pas-20918.79
980795-Branco Saraba-19444.84
587291-Zungela Ipiranga-7417.82
296703-Micaela Chavez-2887.25
612661-Sofras Cuaresma-6621.62
116870-Melinda Roserio-10454.11
942556-Guaraci Damasceno-2434.52
774882-Tibefarcio Colao-17639.70
225559-Gaudancio Fiees-8233.41
697755-Ubaldo Mainha-20321.26
881877-Leonidas Mafra-15324.97
88059-Andreia Moita-5959.95
68076-Joaquim Rufino-7655.82
673275-Mercia Caeira-14348.78
490192-Adelina Quadros-7240.08
918930-Tibofarcio Camacho-11031.24
47794-Sara Lameiras-335.83
649041-Feledcia Peassego-5223.58
825634-Armindo Castalo-9795.84
979980-Quintino Alcantara-5907.98
630427-Basilio Pedroso-17566.80
160285-Henrique Bento-19407.68
690090-Oliveira Carmona-6093.52
2143-Judite Damasceno-19270.26
555262-Ubaldo Mainha-21075.16
753862-Leonidas Mafra-1149.51
395905-Quintiliano Sousa de Arronches-6749.99
973189-Rebeca Neto-13076.48
36730-Tibofarcio Camacho-7219.90
957495-Liana Cardim-5274.86
4073-Jonatas Felgueiras-6221.17
580742-Armanda Amorim-9502.77
635592-Fulvio Villegas-13089.67
788618-Andreia Moita-2924.85
336525-Letedcia Gago-3370.41
891972-Eurico Siqueira-21047.95
571831-Basilio Pedroso-1987.07
835008-Silvio Mata-13046.80
972739-Telma Villalobos-7442.33
