54591-Heleedsa Marins-8735.17
240469-Cleusa Goes-15548.61
409180-Mercia Caeira-14676.48
537240-Antonio Castelo-16913.62
965718-Spnia ou Sonia Guerreiro-9606.38
629123-Telma Villalobos-8292.42
231050-Silvio Mata-19048.89
810588-Cleusa Goes-2749.05
869203-Mercia Caeira-5579.49
135906-Moaci Mendoa-10287.88
124626-Neeamia Arruda-8043.59
963775-Manuel Capiperibe-6701.16
748799-Silvio Mata-19025.25
785519-Adelina Quadros-15945.79
790182-Gaudancio Fiees-2440.61
310169-Tarrataca Soares-1162.07
942112-Cassandra Varejo-19074.38
839898-Filomena Barrios-1387.65
751374-Neeamia Arruda-17756.34
320693-Feledcia Peassego-18617.70
718460-Anfnia Seixas-18618.94
149481-Gaudancio Fiees-833.74
957395-Basilio Pedroso-18271.23
930034-Quintino Alcantara-9904.25
264834-Leonidas Mafra-11842.15
238080-Armindo Castalo-7080.42
970169-Odete Vasques-18499.84
107242-Branco Saraba-8723.40
149684-Camila Gabeira-20360.92
657005-Odilia Camello-6959.29
436447-Angelica Aranha-6271.63
608008-Artur Grillo-5558.29
379455-Oliveira Carmona-20367.87
192671-Aludsio Sosa-952.33
617601-Micaela Chavez-7174.98
587259-Zungela Ipiranga-5692.52
763472-Trajano Fagundes-4797.39
893644-Tarrataca Soares-2063.62
788361-Liana Cardim-240.28
833180-Clara Alcantara-4906.85
164005-Zulmira Becerra-4876.38
905464-Liana Cardim-8192.46
21330-Augusta Paio-81.42
776756-Angelica Aranha-21043.35
957261-Domingos Pas-1124.69
353026-Spnia ou Sonia Guerreiro-7190.56
306925-Micaela Chavez-18928.19
761070-Tarrataca Soares-12462.29
71711-Ximena Castilho-10655.34
473870-Antonio Castelo-9788.84
804592-Cleusa Goes-7005.64
815042-Gaudancio Fiees-20924.70
654701-Oliveira Carmona-9430.07
797317-Danilo Olaio-12267.84
172923-Quintino Alcantara-17867.41
562705-Filomena Barrios-16596.11
204744-Quintino Alcantara-15534.34
69209-Leonidas Mafra-11707.11
328750-Almor Caiado-13837.83
100348-Delfina Perdigon-20812.57
557359-Armanda Amorim-18115.78
652584-Antonio Castelo-12019.09
510382-Tibefarcio Colao-8080.80
510208-Quintino Alcantara-5193.94
361086-Quintiliano Sousa de Arronches-4310.83
680617-Judite Damasceno-12606.46
56059-Anind Zarco-14298.51
767237-Edgar Carvalheiro-14184.36
224147-Carminda Morais-14327.65
215150-Polibe Olivares-14968.65
606131-Quintino Alcantara-21014.23
561095-Clara Alcantara-15865.92
501858-Odete Vasques-7716.18
449751-Esperada Cardoso-18121.29
697881-Rebeca Neto-3700.06
203511-Quintino Alcantara-8526.87
319665-Nuno Balsemeo-18317.43
385974-Oliveira Senchez-9050.26
679858-Domingos Pas-14662.50
273030-Romo Paranage-2859.82
123006-Fulvio Villegas-4905.88
583436-Flor Portella-6331.49
436658-Quintiliano Sousa de Arronches-6586.51
402782-Moaci Mendoa-15101.01
246420-Gaudancio Fiees-1193.15
689551-Tibofarcio Camacho-4205.18
778530-Guaraci Damasceno-19258.38
234452-Eurico Siqueira-18937.40
126527-Edgar Carvalheiro-14949.37
816209-Oliveira Senchez-21132.10
371143-Heleedsa Marins-15348.49
865040-Nuno Balsemeo-15714.32
950484-Zulmira Becerra-12773.85
170561-Delfina Perdigon-14607.88
35480-Filomena Barrios-4935.51
906326-Micaela Chavez-9542.41
980070-Angelica Aranha-19560.19
796417-Odilia Camello-6337.70
155310-Zungela Ipiranga-5534.13
764542-Angelica Aranha-10002.29
