958960-Augusta Paio-12465.14
724416-Odilia Bello-10431.66
89893-Dulce Froes-13605.43
801117-Celeste Duarte-2720.04
406937-Flamednia Leiria-8151.35
822464-Gaudancio Fiees-6030.78
842526-Filomena Barrios-15739.77
139085-Almerinda Palmeira-8328.13
652649-Letedcia Gago-5435.84
154946-Elisa Themes-19524.77
749254-Heleedsa Marins-6239.53
908469-Joaquim Rufino-14006.77
4693-Anind Zarco-18457.67
781324-Fulvio Villegas-3330.85
739097-Esperada Cardoso-1520.08
669840-Sidfnio Frois-2838.30
670338-Daniel Vieyra-16956.73
172780-Tabalipa Duarte-14643.28
223282-Adelina Quadros-3084.97
529840-Filomena Barrios-16746.52
691325-Flor Portella-5509.18
366875-Artur Grillo-20468.26
725079-Quintino Alcantara-12913.47
626688-Liana Cardim-10736.45
48285-Delfina Perdigon-2579.00
88324-Marilda Leio-18775.70
723208-Polibe Olivares-20782.41
851585-Odilia Camello-8899.30
792874-Cleusa Goes-76.69
834726-Nuno Balsemeo-19721.99
354068-Oliveira Carmona-9244.07
342564-Guaraci Damasceno-2582.90
8278-Artur Grillo-10170.15
957456-Antonio Viegas-2661.58
507567-Almor Caiado-4252.07
549196-Tabalipa Duarte-1618.11
937512-Armanda Amorim-790.51
998688-Branco Saraba-17509.02
904513-Jonatas Felgueiras-17152.12
307638-Spnia ou Sonia Guerreiro-5155.63
879360-Flamednia Leiria-1044.33
368934-Rebeca Neto-11057.76
201181-Filomena Barrios-6253.00
897148-Fulvio Villegas-5087.74
238158-Elisa Themes-10892.82
996013-Zulmira Becerra-3713.47
324201-Clara Alcantara-7862.85
409414-Sidfnio Frois-18822.83
940783-Odilia Bello-8287.04
625239-Silvio Mata-815.28
541678-Cassandra Varejo-13154.08
865073-Nuno Balsemeo-7862.93
478652-Zungela Ipiranga-5410.10
107494-Emedlio Pimentel-18709.08
410991-Tibefarcio Colao-15546.62
921077-Fulvio Villegas-19976.58
242427-Antonio Viegas-7824.99
614601-Augusta Paio-21349.08
405538-Silvio Mata-5023.65
408110-Taercio Mafra-1875.07
489749-Marilda Leio-10150.49
4521-Neeamia Arruda-17619.14
811344-Letedcia Gago-5389.09
402143-Fulvio Villegas-5105.32
283431-Flamednia Leiria-19429.44
962775-Judite Damasceno-9663.81
473021-Mercia Caeira-20376.23
784383-Fulvio Villegas-9407.54
895551-Angilica Galante-15741.60
711037-Liana Cardim-13580.84
571183-Filomena Barrios-8080.90
838998-Zulmira Becerra-286.11
399768-Angelica Aranha-1254.23
971025-Lurdes Cotrim-17238.25
482623-Lina Andrade-10376.25
656366-Emedlia Silvera-13035.87
4621-Telma Villalobos-7455.77
851588-Zulmira Becerra-1498.77
639385-Tibefarcio Colao-13987.73
276092-Adelina Quadros-10260.00
936004-Leonidas Mafra-12605.71
644446-Tarrataca Soares-12704.10
782844-Basilio Pedroso-18418.10
829850-Emiliana Foquio-13682.98
925664-Spnia ou Sonia Guerreiro-17207.80
964924-Marilda Leio-1589.53
901411-Micaela Chavez-8279.58
977553-Henrique Bento-2153.26
807951-Esperada Cardoso-4559.65
314495-Marilda Leio-20522.41
421648-Clarindo Areosa-8966.93
619158-Domingos Pas-1518.54
427899-Letedcia Gago-15796.37
659215-Manuel Capiperibe-14239.83
231601-Ermelinda Quintela-1954.25
428488-Sara Lameiras-19843.90
729003-Zulmira Becerra-13148.08
606168-Jorgina Bogalho-2243.02
877070-Taercio Mafra-18011.10
920908-Rebeca Neto-11769.41
