449851-Lurdes Cotrim-1627.45
581295-Almerinda Palmeira-6373.33
469860-Zungela Ipiranga-3419.96
733666-Emedlio Pimentel-1478.94
965508-Emedlia Silvera-6143.18
350670-Sidfnio Frois-20090.74
870788-Leonidas Mafra-12793.69
69206-Neeamia Arruda-2418.82
210874-Cassandra Varejo-12502.50
892812-Clara Alcantara-6074.38
256257-Henrique Bento-1974.04
332670-Anfnia Seixas-7189.86
723872-Delfim Higuera-12374.56
436123-Tibefarcio Colao-13801.89
329611-Clarindo Areosa-9156.71
495546-Urbano Rodrigues-6085.38
15783-Emiliana Foquio-5449.25
951141-Estanislau Beserra-7519.94
305162-Domingos Pas-10532.05
959982-Melinda Roserio-14240.98
843957-Almerinda Palmeira-12928.71
472907-Emiliana Foquio-18042.03
434516-Rebeca Neto-3284.44
908795-Estanislau Beserra-9938.80
760287-Antonio Viegas-14652.09
446563-Joaquim Rufino-12482.21
723011-Elisa Themes-15092.37
368246-Odilia Camello-9357.05
412137-Emedlia Silvera-11810.10
705767-Manuel Capiperibe-1874.86
437631-Ximena Castilho-12093.30
90285-Honorina Lira-1143.19
212320-Regina Barcellos-18347.54
822651-Rodolfo Paz-2701.79
622242-Flor Portella-20109.39
92953-Judite Damasceno-12289.02
618157-Zungela Ipiranga-20806.25
68642-Silvio Mata-15505.10
513616-Spnia ou Sonia Guerreiro-20279.22
680303-Nuno Balsemeo-4681.44
945165-Marilda Leio-17735.82
597163-Manuel Capiperibe-18466.72
968966-Domingos Pas-14064.01
784446-Tibefarcio Colao-16902.23
996079-Taercio Mafra-19308.46
417124-Liana Cardim-8964.55
575830-Tabalipa Duarte-13430.73
971630-Artur Grillo-16681.42
588368-Quintino Alcantara-4761.72
214855-Anind Zarco-9678.52
843777-Clara Alcantara-2723.13
802740-Clara Alcantara-18299.11
81003-Feledcia Peassego-10023.96
629433-Melinda Roserio-2656.97
356825-Domingos Pas-6136.93
56172-Guida Juca-13641.10
141331-Polibe Olivares-16176.86
884371-Gaudancio Fiees-7361.74
137186-Edgar Carvalheiro-18027.62
828264-Odilia Camello-17034.93
179724-Regina Barcellos-6258.53
112847-Almerinda Palmeira-19266.56
234269-Telma Villalobos-14252.54
272662-Quintiliano Sousa de Arronches-9563.99
50679-Flamednia Leiria-7902.72
674209-Sofras Cuaresma-7903.29
268909-Letedcia Gago-379.86
452937-Lina Andrade-6138.71
778583-Romo Paranage-19210.08
792167-Armanda Amorim-16923.53
657641-Carminda Morais-3960.49
836521-Camila Gabeira-19531.62
442324-Odilia Camello-17679.12
444014-Lina Andrade-12467.01
658743-Daniel Vieyra-20797.52
566238-Artur Grillo-19029.42
583623-Emedlia Silvera-16127.28
319433-Delfim Higuera-4046.97
712593-Letedcia Gago-20944.75
900527-Almor Caiado-7157.84
581739-Odilia Camello-15314.42
632710-Flamednia Leiria-5187.94
339829-Elisa Themes-16552.37
816802-Silvio Mata-16481.97
209414-Nuno Balsemeo-7633.72
874492-Augusta Paio-17619.38
868206-Clara Alcantara-17130.38
848241-Moaci Mendoa-868.74
215320-Fulvio Villegas-19145.87
590277-Tibefarcio Colao-4090.04
834080-Edgar Carvalheiro-15685.85
642806-Taercio Mafra-17242.18
612949-Dulce Froes-6550.74
11482-Emedlia Silvera-19338.91
627421-Sara Lameiras-746.17
511443-Celeste Duarte-1624.91
337759-Emiliana Foquio-8403.60
924333-Rodolfo Paz-21462.08
691399-Odilia Bello-3989.40
966596-Tibofarcio Camacho-18145.30
25741-Almerinda Palmeira-16428.80
526473-Odete Vasques-2800.39
338019-Odilia Camello-18266.52
902703-Quintiliano Sousa de Arronches-16081.80
664538-Ubaldo Mainha-8713.24
314973-Angelica Aranha-16958.35
903894-Clarindo Areosa-16896.89
563981-Elisa Themes-3181.30
581962-Melinda Roserio-1333.38
703134-Daniel Vieyra-10823.04
344378-Camila Gabeira-17333.30
571080-Branco Saraba-14703.73
532303-Branco Saraba-8122.27
567876-Honorina Lira-14141.30
10953-Angilica Galante-6293.11
587300-Leonidas Mafra-13686.26
138706-Cassandra Varejo-10990.46
566081-Augusta Paio-15336.10
201315-Lurdes Cotrim-6117.09
292431-Almor Caiado-2479.28
429708-Estanislau Beserra-8512.72
447226-Adelina Quadros-18428.44
20495-Regina Barcellos-6518.92
246112-Basilio Pedroso-809.76
684616-Telma Villalobos-20639.87
930723-Tarrataca Soares-2330.91
44933-Sara Lameiras-11932.30
848653-Antonio Viegas-14897.96
782568-Zungela Ipiranga-11215.13
570781-Oliveira Senchez-4873.22
663536-Regina Barcellos-14017.52
86575-Moaci Mendoa-12127.16
915427-Judite Damasceno-2002.52
971760-Odete Vasques-1910.15
158276-Tibefarcio Colao-6456.99
172218-Artur Grillo-2881.47
812207-Ubaldo Mainha-8141.92
14843-Andreia Moita-17660.40
344105-Emiliana Foquio-13143.39
865605-Taercio Mafra-17399.10
831532-Augusta Paio-19775.73
586264-Marilda Leio-16131.76
184530-Leonidas Mafra-21170.92
191337-Neeamia Arruda-65.80
658208-Fulvio Villegas-9907.38
145152-Ubaldo Mainha-14039.10
206767-Rebeca Neto-4672.39
530814-Mercia Caeira-14272.54
650671-Polibe Olivares-15225.98
284005-Micaela Chavez-13649.80
755951-Tibofarcio Camacho-12023.28
979867-Trajano Fagundes-18859.14
435682-Oliveira Carmona-9636.15
143892-Augusta Paio-12348.06
866961-Sidfnio Frois-6329.81
289506-Carminda Morais-12221.26
374954-Micaela Chavez-10878.49
651885-Almor Caiado-14233.80
968952-Zulmira Becerra-15710.31
657780-Henrique Bento-5048.31
256446-Emiliana Foquio-8595.87
944837-Emiliana Foquio-18895.67
325882-Branco Saraba-5125.19
798656-Sofras Cuaresma-12236.63
367623-Armindo Castalo-20665.29
674707-Gaudancio Fiees-15393.35
408478-Fulvio Villegas-20777.10
381144-Antonio Castelo-2008.79
123899-Guaraci Damasceno-19698.47
980849-Tarrataca Soares-1090.22
817599-Romo Paranage-6532.78
982033-Taercio Mafra-12852.23
93119-Eurico Siqueira-14705.49
819037-Danilo Olaio-11788.64
867474-Daniel Vieyra-4167.48
896640-Sara Lameiras-1749.39
51686-Ubaldo Mainha-18573.47
572083-Tibefarcio Colao-16362.45
988646-Taercio Mafra-9388.85
435694-Polibe Olivares-12878.66
713583-Aludsio Sosa-19006.84
94617-Celeste Duarte-18321.82
558663-Neeamia Arruda-8207.91
541403-Quintino Alcantara-19776.11
703081-Antonio Viegas-949.94
910658-Adelino Barra-1008.91
453642-Clarindo Areosa-10699.43
223337-Feledcia Peassego-19425.15
387982-Leonidas Mafra-19945.03
400176-Polibe Olivares-6494.55
950404-Trajano Fagundes-5596.85
262408-Ubaldo Mainha-4372.96
313729-Branco Saraba-243.71
430251-Delfim Higuera-19809.13
926981-Armanda Amorim-10881.32
171543-Ermelinda Quintela-15600.43
838644-Adelina Quadros-6410.13
