739712-Odilia Camello-4485.37
157971-Filomena Barrios-15753.78
84360-Leonidas Mafra-20066.38
825721-Zulmira Becerra-4248.18
400758-Cleusa Goes-1055.49
610007-Clarindo Areosa-10043.36
989812-Carminda Morais-14269.26
268771-Zulmira Becerra-2580.51
446907-Artur Grillo-21097.27
617122-Ermelinda Quintela-5021.09
117224-Judite Damasceno-7728.48
291697-Quintino Alcantara-17460.06
173891-Clarindo Areosa-1426.07
931501-Oliveira Carmona-17014.33
581699-Polibe Olivares-5283.50
172976-Polibe Olivares-15399.60
26751-Regina Barcellos-12424.66
573571-Telma Villalobos-20527.35
687321-Armanda Amorim-14756.98
899635-Filomena Barrios-88.31
758824-Edgar Carvalheiro-18949.49
638778-Fulvio Villegas-17077.57
929208-Camila Gabeira-14144.47
857331-Melinda Roserio-988.95
603605-Neuza Francia-19694.77
414933-Edgar Carvalheiro-16051.66
562609-Anind Zarco-4157.09
152641-Angilica Galante-3137.99
793684-Micaela Chavez-18814.86
161496-Gaudancio Fiees-13439.02
154238-Almor Caiado-17236.61
511622-Letedcia Gago-13218.16
875267-Angilica Galante-17137.45
845885-Liana Cardim-6111.19
765549-Manuel Capiperibe-5862.39
551370-Trajano Fagundes-17446.54
297002-Oliveira Senchez-7957.33
508611-Rodolfo Paz-13138.86
487670-Liana Cardim-14096.79
164736-Daniel Vieyra-10453.57
673282-Marilda Leio-7230.28
646885-Sara Lameiras-12155.39
893594-Armanda Amorim-21214.14
103654-Odilia Camello-14357.77
692213-Tibofarcio Camacho-8600.59
790027-Taercio Mafra-9226.10
53720-Liana Cardim-10159.07
542747-Artur Grillo-2349.32
314328-Aludsio Sosa-6324.20
604840-Tibofarcio Camacho-15365.84
797565-Celeste Duarte-8087.74
167680-Celeste Duarte-3439.37
353963-Eurico Siqueira-18498.31
318328-Ximena Castilho-2984.51
885401-Aludsio Sosa-836.59
207844-Edgar Carvalheiro-10274.50
700590-Antonio Castelo-4400.20
926250-Jorgina Bogalho-8845.62
553816-Camila Gabeira-5273.93
860620-Moaci Mendoa-12499.98
40864-Adelino Barra-1013.12
248785-Cassandra Varejo-9524.79
512358-Silvio Mata-8303.50
706850-Angelica Aranha-14486.68
678148-Tibofarcio Camacho-12710.70
224504-Almor Caiado-8837.94
380936-Estanislau Beserra-20314.95
960800-Odete Vasques-12149.37
472705-Sara Lameiras-18954.91
404323-Spnia ou Sonia Guerreiro-11878.68
436742-Jonatas Felgueiras-1374.25
243243-Andreia Moita-16146.74
987063-Celeste Duarte-3927.03
78150-Artur Grillo-7404.10
136508-Antonio Castelo-19460.88
338000-Jorgina Bogalho-5748.29
505355-Ermelinda Quintela-18442.10
692295-Clarindo Areosa-3276.87
957918-Daniel Vieyra-5551.59
100201-Guaraci Damasceno-10115.64
273040-Silvio Mata-10860.00
241296-Lurdes Cotrim-15872.44
205353-Ubaldo Mainha-7117.47
519174-Dulce Froes-3093.42
17440-Augusta Paio-6784.78
585552-Almor Caiado-19028.16
464057-Rebeca Neto-7148.38
353546-Jonatas Felgueiras-18495.30
180269-Esperada Cardoso-18964.88
530746-Ubaldo Mainha-13831.05
232893-Flamednia Leiria-15593.78
876631-Sofras Cuaresma-3791.35
710745-Tibofarcio Camacho-9423.41
247592-Zungela Ipiranga-19318.60
194023-Neuza Francia-5013.94
744538-Emedlio Pimentel-694.96
123641-Lina Andrade-15199.60
744972-Dulce Froes-4418.29
536628-Cassandra Varejo-1975.26
4018-Antonio Viegas-5350.57
