974379-Zulmira Becerra-16919.29
97309-Jussara Varanda-11621.71
339526-Quintino Alcantara-7051.94
975006-Oliveira Carmona-12265.82
395853-Esperada Cardoso-9331.17
690057-Letedcia Gago-18974.59
261207-Gaudancio Fiees-12394.39
139729-Celeste Duarte-21035.43
228985-Oliveira Carmona-14988.95
964163-Honorina Lira-11501.50
138546-Urbano Rodrigues-1586.41
95897-Tibofarcio Camacho-1617.38
234804-Ubaldo Mainha-17130.78
414283-Antonio Viegas-20700.53
736657-Sidfnio Frois-4969.65
699995-Neuza Francia-1681.71
134004-Tarrataca Soares-12684.33
596803-Tarrataca Soares-16605.72
130624-Cassandra Varejo-4353.18
367598-Angilica Galante-19472.82
994050-Danilo Olaio-8499.37
65446-Jorgina Bogalho-12350.32
824289-Liana Cardim-14552.67
777136-Odete Vasques-191.98
311746-Emedlio Pimentel-19509.35
479682-Antonio Viegas-19221.51
623202-Flamednia Leiria-7138.01
205691-Angelica Aranha-13153.98
363732-Jussara Varanda-20735.29
416352-Carminda Morais-9374.13
619060-Delfina Perdigon-3489.23
978938-Tarrataca Soares-19999.88
76943-Adelino Barra-6103.29
252602-Guida Juca-11801.06
513625-Aludsio Sosa-6409.34
739513-Angilica Galante-20734.14
620323-Moaci Mendoa-9325.54
966319-Quintiliano Sousa de Arronches-6052.76
884525-Marilda Leio-10476.39
120280-Adelina Quadros-16110.56
670451-Spnia ou Sonia Guerreiro-12981.91
640881-Odilia Bello-2676.86
676522-Gaudancio Fiees-8287.63
463123-Anind Zarco-3995.32
964023-Branco Saraba-10500.46
915879-Lina Andrade-11297.85
535038-Andreia Moita-8069.22
955504-Gaudancio Fiees-13498.88
290433-Neuza Francia-1242.89
154097-Taercio Mafra-18604.10
463149-Regina Barcellos-20630.80
178937-Jonatas Felgueiras-15822.37
399609-Delfim Higuera-16529.14
949456-Adelino Barra-15828.93
121964-Jorgina Bogalho-13913.74
745233-Moaci Mendoa-8818.06
782593-Judite Damasceno-19763.41
889951-Artur Grillo-10938.13
272997-Zungela Ipiranga-16971.03
295465-Basilio Pedroso-15647.74
406411-Sofras Cuaresma-16342.37
192191-Spnia ou Sonia Guerreiro-1069.32
180799-Liana Cardim-11303.32
449179-Leonidas Mafra-10197.98
733580-Edgar Carvalheiro-9554.36
580333-Sofras Cuaresma-15781.81
728951-Delfina Garcia de Gondim-6664.80
799758-Delfina Garcia de Gondim-13003.70
759072-Anfnia Seixas-19376.43
524123-Tibofarcio Camacho-14784.55
698839-Clara Alcantara-15338.61
986377-Tibofarcio Camacho-12545.70
511264-Celeste Duarte-9082.67
466376-Angilica Galante-13237.16
831186-Anfnia Seixas-7529.66
569719-Ximena Castilho-2460.63
630556-Rebeca Neto-9327.92
32385-Marilda Leio-14725.92
279765-Fulvio Villegas-10678.67
630426-Fulvio Villegas-19903.91
754817-Aludsio Sosa-18056.06
148791-Leonidas Mafra-4291.09
958582-Armanda Amorim-15906.20
616503-Ximena Castilho-5006.03
588362-Marilda Leio-8894.34
996124-Artur Grillo-20010.04
585021-Neuza Francia-4221.51
170352-Rodolfo Paz-2766.99
642068-Micaela Chavez-5109.79
273165-Daniel Vieyra-6746.10
359110-Polibe Olivares-1848.81
822666-Aludsio Sosa-6760.30
856025-Guida Juca-1075.05
672689-Neeamia Arruda-17571.21
721839-Polibe Olivares-2022.26
220702-Judite Damasceno-6932.22
298668-Eurico Siqueira-5133.23
684688-Armanda Amorim-3290.10
662169-Guida Juca-14406.52
22887-Antonio Castelo-14909.25
