960099-Romo Paranage-6468.19
410945-Ermelinda Quintela-19100.80
205226-Cassandra Varejo-16499.84
452830-Rebeca Neto-16873.54
866630-Basilio Pedroso-13260.03
731526-Odilia Camello-7709.64
316319-Delfina Garcia de Gondim-955.03
777135-Gaudancio Fiees-15107.88
228740-Artur Grillo-4397.10
20705-Ermelinda Quintela-7365.64
838792-Sara Lameiras-7445.24
330127-Regina Barcellos-1784.51
912264-Camila Gabeira-6156.57
509936-Carminda Morais-16311.09
885567-Artur Grillo-854.92
227883-Carminda Morais-11552.24
170756-Taercio Mafra-6920.57
156085-Anind Zarco-4113.50
8183-Ximena Castilho-16695.79
92997-Estanislau Beserra-20496.00
838834-Delfina Perdigon-3349.55
920369-Augusta Paio-3502.85
82349-Delfina Garcia de Gondim-8341.97
744968-Cleusa Goes-10597.07
277839-Henrique Bento-10975.93
329805-Judite Damasceno-15528.21
829324-Quintino Alcantara-10965.08
348371-Tarrataca Soares-6951.80
171431-Tibefarcio Colao-7681.88
704181-Adelino Barra-15112.81
800920-Almerinda Palmeira-5196.36
938101-Domingos Pas-5875.57
10317-Oliveira Carmona-14776.39
255497-Almerinda Palmeira-5449.00
126473-Henrique Bento-16241.78
489875-Domingos Pas-17465.08
77230-Nuno Balsemeo-16828.54
237560-Ubaldo Mainha-15287.18
231650-Jussara Varanda-6474.06
837294-Lina Andrade-16261.10
42495-Aludsio Sosa-9064.28
718749-Moaci Mendoa-13803.66
679831-Delfina Perdigon-10788.93
838005-Lina Andrade-6176.64
219560-Romo Paranage-16277.91
193710-Letedcia Gago-20472.81
504692-Lina Andrade-8838.74
323262-Spnia ou Sonia Guerreiro-9771.12
838209-Fulvio Villegas-5908.60
541364-Emedlio Pimentel-13946.97
42077-Guaraci Damasceno-11432.56
179181-Armanda Amorim-1714.91
389399-Taercio Mafra-9771.71
238728-Quintino Alcantara-995.25
988488-Emedlia Silvera-7457.45
432870-Augusta Paio-18659.38
901679-Domingos Pas-7179.60
740592-Jorgina Bogalho-5457.99
297979-Domingos Pas-20446.38
777976-Heleedsa Marins-16876.95
368412-Neuza Francia-9862.54
902911-Ermelinda Quintela-4599.49
803224-Ermelinda Quintela-6963.38
112370-Taercio Mafra-10255.77
602200-Melinda Roserio-19925.66
882835-Flor Portella-9265.15
960503-Basilio Pedroso-17214.17
912433-Almor Caiado-17651.57
492538-Joaquim Rufino-4389.72
932468-Branco Saraba-5377.50
585869-Liana Cardim-15401.18
495238-Silvio Mata-575.37
895675-Lurdes Cotrim-17653.40
983364-Micaela Chavez-12999.69
596310-Anfnia Seixas-14265.71
954074-Oliveira Senchez-16254.54
283070-Celeste Duarte-17964.15
55287-Angilica Galante-6758.43
143042-Polibe Olivares-13883.36
868194-Neeamia Arruda-2297.85
321163-Danilo Olaio-7423.71
27674-Ubaldo Mainha-19218.66
683261-Spnia ou Sonia Guerreiro-17922.78
677322-Judite Damasceno-13307.78
764939-Clara Alcantara-6368.90
934600-Odilia Camello-4563.61
619176-Rebeca Neto-5076.44
236697-Nuno Balsemeo-15086.99
527757-Guaraci Damasceno-18578.42
790333-Flor Portella-14522.27
318755-Manuel Capiperibe-19795.48
965081-Carminda Morais-1310.92
148576-Henrique Bento-6617.75
188816-Henrique Bento-21204.53
198170-Lina Andrade-12377.34
295192-Guida Juca-61.85
362717-Jussara Varanda-14998.04
361248-Heleedsa Marins-9975.57
203218-Esperada Cardoso-2646.01
897517-Odilia Camello-18873.91
