110900-Polibe Olivares-2889.91
739171-Telma Villalobos-10409.21
894084-Moaci Mendoa-21249.40
414074-Tibofarcio Camacho-8169.81
861989-Taercio Mafra-18507.55
253221-Carminda Morais-1171.09
44366-Cleusa Goes-11058.67
439131-Augusta Paio-3422.44
309487-Letedcia Gago-16917.16
232539-Henrique Bento-15969.90
195084-Sofras Cuaresma-13246.18
156560-Elisa Themes-17983.57
416602-Ximena Castilho-20742.51
782868-Neuza Francia-9121.81
342211-Estanislau Beserra-20480.43
921458-Augusta Paio-7408.13
575177-Gaudancio Fiees-9318.57
249254-Anfnia Seixas-8288.13
357921-Clarindo Areosa-12401.22
956678-Silvio Mata-19663.55
861380-Adelino Barra-4910.66
240366-Emedlia Silvera-2807.39
56351-Andreia Moita-15101.56
328401-Adelino Barra-12494.55
581769-Silvio Mata-5843.13
106608-Trajano Fagundes-19572.35
256475-Carminda Morais-18343.26
757321-Polibe Olivares-13640.92
18683-Cassandra Varejo-7709.66
511958-Jussara Varanda-4064.39
995544-Danilo Olaio-7233.01
613045-Letedcia Gago-20105.41
103632-Telma Villalobos-10141.14
361389-Ubaldo Mainha-20064.42
800390-Antonio Castelo-15095.40
315328-Esperada Cardoso-13741.63
126722-Taercio Mafra-17174.20
311641-Jonatas Felgueiras-14976.93
825569-Estanislau Beserra-10572.28
461641-Jorgina Bogalho-20877.40
968748-Adelina Quadros-18912.52
541974-Armanda Amorim-17923.82
854231-Polibe Olivares-14420.02
838473-Trajano Fagundes-7668.79
277568-Dulce Froes-6791.96
546431-Quintiliano Sousa de Arronches-10795.11
566521-Henrique Bento-5611.55
913015-Ximena Castilho-559.83
384223-Danilo Olaio-3928.08
305363-Moaci Mendoa-6642.70
182168-Adelino Barra-6892.39
359668-Emiliana Foquio-9587.80
594581-Henrique Bento-17536.35
459609-Jonatas Felgueiras-2889.90
766803-Almor Caiado-21092.67
130634-Dulce Froes-13563.30
174064-Rodolfo Paz-21348.96
637214-Cleusa Goes-19843.26
826463-Emedlio Pimentel-1212.26
727790-Feledcia Peassego-16115.32
402208-Filomena Barrios-4192.30
845261-Branco Saraba-15625.90
669995-Oliveira Senchez-6097.01
12746-Angelica Aranha-7221.60
751254-Letedcia Gago-17589.27
685909-Tibefarcio Colao-9345.74
132041-Guida Juca-17707.48
249074-Odete Vasques-16899.02
832299-Camila Gabeira-422.45
739987-Regina Barcellos-324.89
917429-Antonio Castelo-16008.91
333371-Manuel Capiperibe-1962.53
46141-Taercio Mafra-19059.23
909968-Emedlia Silvera-17294.52
763327-Edgar Carvalheiro-4337.19
883784-Marilda Leio-8454.05
366828-Antonio Viegas-18965.37
746276-Clarindo Areosa-20007.86
484200-Adelina Quadros-12141.35
932118-Carminda Morais-20768.75
428099-Zulmira Becerra-9583.09
154310-Estanislau Beserra-6951.59
503124-Delfim Higuera-987.21
36418-Armindo Castalo-9226.31
246505-Jorgina Bogalho-13083.94
383837-Almerinda Palmeira-12177.94
611752-Fulvio Villegas-20071.61
104314-Manuel Capiperibe-15164.24
498738-Domingos Pas-17299.08
654190-Sofras Cuaresma-6213.57
782110-Nuno Balsemeo-19497.85
833760-Quintino Alcantara-18394.55
621699-Rebeca Neto-18529.58
848626-Adelina Quadros-4525.11
559991-Ximena Castilho-5077.58
474344-Romo Paranage-16301.42
310299-Ubaldo Mainha-4592.70
683544-Ermelinda Quintela-9133.74
875858-Delfim Higuera-3873.89
203188-Eurico Siqueira-10710.43
