691330-Domingos Pas-13122.26
603532-Adelino Barra-66.55
577668-Nuno Balsemeo-2261.32
739157-Urbano Rodrigues-7310.85
242868-Sofras Cuaresma-6872.62
765801-Cleusa Goes-7092.82
556557-Joaquim Rufino-10533.51
731316-Almor Caiado-3630.30
907083-Delfina Perdigon-12347.08
294432-Urbano Rodrigues-4910.32
244049-Trajano Fagundes-16037.24
108880-Judite Damasceno-8758.44
431133-Spnia ou Sonia Guerreiro-11134.21
39104-Quintino Alcantara-19431.60
616552-Spnia ou Sonia Guerreiro-12589.20
796238-Feledcia Peassego-14596.86
571462-Camila Gabeira-18682.42
210166-Ubaldo Mainha-8174.90
235570-Camila Gabeira-1289.13
988751-Emedlio Pimentel-12402.08
864847-Sidfnio Frois-18984.52
483292-Neuza Francia-6900.77
756999-Neeamia Arruda-13085.08
645886-Rebeca Neto-5020.63
135764-Anfnia Seixas-6996.80
404404-Feledcia Peassego-11924.76
955297-Quintiliano Sousa de Arronches-5015.64
857315-Emiliana Foquio-17247.74
789810-Oliveira Senchez-15315.26
946328-Guaraci Damasceno-5940.31
651616-Celeste Duarte-19708.96
80652-Delfim Higuera-5318.96
353321-Augusta Paio-5786.53
563642-Antonio Viegas-1898.15
450774-Angelica Aranha-964.67
257583-Eurico Siqueira-9858.71
266224-Feledcia Peassego-14198.27
33254-Jonatas Felgueiras-3042.00
806340-Fulvio Villegas-1495.07
976215-Sofras Cuaresma-429.69
870015-Daniel Vieyra-4756.21
731788-Antonio Viegas-9037.02
670416-Feledcia Peassego-555.71
633383-Antonio Castelo-11921.35
659793-Ximena Castilho-19615.86
366200-Spnia ou Sonia Guerreiro-14753.60
65192-Danilo Olaio-11931.42
328233-Regina Barcellos-8356.92
881841-Urbano Rodrigues-12204.98
477938-Trajano Fagundes-3289.91
105276-Liana Cardim-15488.61
145053-Daniel Vieyra-3361.09
80563-Melinda Roserio-16757.79
668805-Ximena Castilho-4339.29
588368-Jorgina Bogalho-14075.89
458665-Urbano Rodrigues-10014.71
716804-Augusta Paio-4080.53
318082-Tarrataca Soares-1288.97
119814-Jussara Varanda-18887.79
911810-Emedlio Pimentel-7767.74
189456-Sofras Cuaresma-16818.79
88015-Clara Alcantara-1325.40
204492-Delfim Higuera-9556.21
375856-Augusta Paio-4348.06
198453-Urbano Rodrigues-9073.94
123058-Romo Paranage-3223.69
923606-Lina Andrade-18130.86
866322-Clarindo Areosa-3569.21
17163-Regina Barcellos-5530.40
666118-Polibe Olivares-4034.69
822106-Zungela Ipiranga-20986.58
838791-Polibe Olivares-18192.62
964313-Neeamia Arruda-4689.83
385440-Moaci Mendoa-2508.75
735555-Edgar Carvalheiro-2095.90
190804-Artur Grillo-1592.30
117386-Jorgina Bogalho-15751.53
613198-Odilia Camello-13555.36
490121-Lina Andrade-3360.69
179054-Letedcia Gago-18847.36
641582-Manuel Capiperibe-20355.58
982981-Emiliana Foquio-1899.13
381010-Zulmira Becerra-9788.77
399879-Nuno Balsemeo-17832.62
224745-Guaraci Damasceno-8895.14
960329-Emedlia Silvera-18527.05
65296-Romo Paranage-13793.39
772801-Almerinda Palmeira-20249.52
400926-Silvio Mata-17709.59
69486-Estanislau Beserra-3586.54
206643-Zungela Ipiranga-7122.96
518205-Honorina Lira-2187.95
124891-Basilio Pedroso-11581.76
198489-Odilia Camello-1910.92
147559-Silvio Mata-20473.17
203259-Jussara Varanda-11917.94
488646-Manuel Capiperibe-943.75
927328-Mercia Caeira-5681.48
418331-Gaudancio Fiees-8225.49
978817-Quintino Alcantara-14106.19
