73853-Feledcia Peassego-5341.71
231910-Adelino Barra-17495.38
444952-Jonatas Felgueiras-10928.93
4892-Flor Portella-17527.98
291441-Delfina Perdigon-2292.52
66565-Flamednia Leiria-7923.63
265537-Delfina Perdigon-2060.51
233788-Augusta Paio-15030.33
545803-Telma Villalobos-10590.05
999166-Camila Gabeira-12505.66
443043-Cleusa Goes-14776.40
274636-Moaci Mendoa-11373.88
619790-Honorina Lira-9373.50
724446-Angelica Aranha-16623.54
290342-Polibe Olivares-10991.62
312472-Armindo Castalo-1727.45
261215-Filomena Barrios-11570.11
205897-Polibe Olivares-1017.61
944064-Trajano Fagundes-13233.07
359255-Angilica Galante-4758.22
146373-Delfim Higuera-18402.65
104297-Letedcia Gago-3260.56
632515-Flamednia Leiria-8196.76
537566-Clara Alcantara-18204.01
273025-Filomena Barrios-20106.91
744101-Rebeca Neto-6205.20
94166-Angelica Aranha-5362.97
495409-Celeste Duarte-21305.03
445537-Eurico Siqueira-6119.64
400230-Delfina Garcia de Gondim-18893.23
437490-Lina Andrade-11059.86
114817-Delfina Perdigon-9436.06
696826-Spnia ou Sonia Guerreiro-10042.39
144821-Flor Portella-2332.93
947343-Flamednia Leiria-3835.66
912185-Artur Grillo-16843.10
138617-Joaquim Rufino-6329.20
892175-Eurico Siqueira-17304.16
890297-Flor Portella-373.78
711489-Almor Caiado-9077.78
354917-Emedlia Silvera-12972.15
779978-Neuza Francia-5358.46
777659-Micaela Chavez-19085.43
935046-Rodolfo Paz-20576.88
525642-Celeste Duarte-4981.52
807085-Augusta Paio-4765.80
124551-Oliveira Senchez-182.35
739256-Urbano Rodrigues-2801.27
373448-Judite Damasceno-13640.18
971192-Ubaldo Mainha-2982.46
408095-Oliveira Carmona-18536.01
830530-Clara Alcantara-14278.97
375498-Guida Juca-14946.75
675516-Urbano Rodrigues-7261.26
268149-Estanislau Beserra-9426.52
910070-Mercia Caeira-20074.59
894437-Micaela Chavez-2461.00
799064-Esperada Cardoso-4898.39
635712-Lina Andrade-5742.12
333567-Odete Vasques-11111.83
325562-Honorina Lira-18425.91
49189-Antonio Viegas-17269.38
619263-Rebeca Neto-17078.30
248964-Ubaldo Mainha-6420.22
83112-Angelica Aranha-9102.90
69051-Almerinda Palmeira-7487.17
635318-Heleedsa Marins-18416.11
436883-Jorgina Bogalho-5269.27
882273-Aludsio Sosa-6825.62
345433-Adelina Quadros-1984.12
54204-Telma Villalobos-21297.38
879856-Antonio Castelo-13313.03
118718-Emiliana Foquio-4864.39
32097-Daniel Vieyra-15036.88
587745-Armindo Castalo-21457.71
794951-Clarindo Areosa-7633.56
977153-Clarindo Areosa-21279.92
775254-Tabalipa Duarte-19629.45
895807-Branco Saraba-5483.44
744964-Armindo Castalo-13956.89
777564-Clarindo Areosa-5082.60
918054-Clarindo Areosa-18871.39
513317-Telma Villalobos-5177.75
455203-Neeamia Arruda-423.23
419228-Armanda Amorim-11869.11
673541-Leonidas Mafra-5992.22
160917-Clara Alcantara-2867.15
775792-Clara Alcantara-4954.91
317232-Urbano Rodrigues-17153.87
420949-Jussara Varanda-2256.48
936862-Camila Gabeira-14324.25
706886-Telma Villalobos-7358.60
296561-Rebeca Neto-20103.73
325151-Camila Gabeira-5213.45
557972-Almerinda Palmeira-12057.64
78136-Feledcia Peassego-6789.54
954694-Elisa Themes-18371.15
339316-Regina Barcellos-794.07
701591-Silvio Mata-2277.24
891087-Jonatas Felgueiras-8171.45
