18226-Adelino Barra-4597.30
797236-Antonio Viegas-10787.39
855917-Aludsio Sosa-2827.10
729397-Rodolfo Paz-16372.28
485555-Tibofarcio Camacho-6549.91
839004-Mercia Caeira-17077.92
513621-Ximena Castilho-6666.91
429737-Cassandra Varejo-6874.37
483719-Guaraci Damasceno-16546.71
835271-Odete Vasques-18709.93
165917-Silvio Mata-5735.28
498170-Ubaldo Mainha-14663.25
515280-Liana Cardim-16371.81
141885-Henrique Bento-6314.27
11418-Feledcia Peassego-3894.29
291209-Rebeca Neto-15012.68
297629-Fulvio Villegas-5052.98
257226-Angelica Aranha-5597.28
883898-Basilio Pedroso-14652.11
855546-Camila Gabeira-7205.63
369717-Gaudancio Fiees-17747.29
130256-Manuel Capiperibe-19582.27
113951-Flamednia Leiria-5052.59
323563-Danilo Olaio-19084.01
277265-Melinda Roserio-4129.28
221906-Angelica Aranha-20702.20
475137-Odilia Camello-6860.33
419383-Daniel Vieyra-17412.91
317441-Guida Juca-20001.75
886058-Filomena Barrios-12655.46
964476-Andreia Moita-8104.33
570922-Esperada Cardoso-10945.63
535336-Joaquim Rufino-10491.93
164579-Almerinda Palmeira-9570.33
737106-Odete Vasques-3078.27
254822-Almerinda Palmeira-19040.48
40381-Lurdes Cotrim-10110.40
123754-Zungela Ipiranga-4429.76
934680-Emedlia Silvera-8872.93
989580-Neeamia Arruda-18511.79
91023-Cassandra Varejo-9106.60
953980-Regina Barcellos-7867.47
43919-Tibofarcio Camacho-7982.83
392471-Neeamia Arruda-4349.64
174225-Armanda Amorim-3282.17
367897-Armindo Castalo-8674.72
813751-Honorina Lira-14065.12
293064-Daniel Vieyra-3031.52
63063-Tibefarcio Colao-2646.03
40350-Micaela Chavez-6085.93
564119-Camila Gabeira-20556.84
36792-Trajano Fagundes-20856.38
72272-Jonatas Felgueiras-5091.98
300863-Zulmira Becerra-21265.91
78832-Zungela Ipiranga-2562.81
683444-Clara Alcantara-17536.49
852957-Quintino Alcantara-989.79
578860-Tabalipa Duarte-2732.72
280537-Dulce Froes-18703.36
275429-Angelica Aranha-4478.92
965946-Aludsio Sosa-15664.56
316564-Romo Paranage-17414.93
930909-Regina Barcellos-20675.65
827965-Adelina Quadros-14463.83
688664-Gaudancio Fiees-8349.78
282815-Feledcia Peassego-5411.78
348889-Spnia ou Sonia Guerreiro-3215.47
927267-Zulmira Becerra-11871.26
174407-Cleusa Goes-14334.06
24990-Adelina Quadros-19476.82
468596-Guida Juca-2861.64
112600-Emedlio Pimentel-16544.80
910983-Guida Juca-3969.28
907663-Oliveira Senchez-16067.56
527815-Silvio Mata-14239.61
912962-Feledcia Peassego-1767.60
463703-Andreia Moita-8801.09
510143-Domingos Pas-6455.52
312641-Flor Portella-19237.27
966965-Spnia ou Sonia Guerreiro-6842.68
29817-Quintiliano Sousa de Arronches-18307.37
548966-Sidfnio Frois-9763.66
77554-Adelina Quadros-2067.93
687855-Elisa Themes-312.17
680730-Sara Lameiras-4287.45
167717-Guaraci Damasceno-16556.58
348610-Adelino Barra-11706.38
560016-Odilia Camello-12201.48
413498-Andreia Moita-20774.61
189594-Regina Barcellos-13179.44
647381-Zungela Ipiranga-15369.74
785511-Clara Alcantara-60.39
404195-Delfina Perdigon-6141.17
467047-Henrique Bento-11338.05
285680-Spnia ou Sonia Guerreiro-8640.02
581463-Esperada Cardoso-6396.86
153563-Trajano Fagundes-10020.34
318164-Filomena Barrios-1251.11
551589-Elisa Themes-13435.24
28247-Eurico Siqueira-17957.14
