641113-Zungela Ipiranga-14377.14
841888-Jorgina Bogalho-18457.11
770472-Nuno Balsemeo-10040.12
814883-Lina Andrade-7027.63
833541-Romo Paranage-20084.34
374168-Delfim Higuera-5206.34
558992-Neeamia Arruda-10302.58
636554-Judite Damasceno-10285.32
752189-Basilio Pedroso-11306.37
584355-Quintiliano Sousa de Arronches-19315.12
653859-Mercia Caeira-3916.69
705958-Jonatas Felgueiras-14935.11
445012-Carminda Morais-8137.98
553034-Emedlio Pimentel-9056.13
890046-Taercio Mafra-20504.46
653128-Dulce Froes-4903.37
541607-Emedlio Pimentel-11258.96
376876-Anfnia Seixas-11465.32
159483-Sofras Cuaresma-20082.84
827399-Angilica Galante-1223.85
323828-Filomena Barrios-6670.39
534295-Branco Saraba-14947.45
488804-Micaela Chavez-9017.06
454875-Guida Juca-1087.76
184311-Odilia Camello-3326.66
864006-Moaci Mendoa-14073.19
177537-Almor Caiado-16968.61
265225-Filomena Barrios-7957.54
885135-Clara Alcantara-18329.13
658872-Letedcia Gago-11692.57
460531-Honorina Lira-770.97
414873-Jonatas Felgueiras-21416.31
912843-Daniel Vieyra-6186.37
208560-Delfina Garcia de Gondim-8070.91
116909-Quintiliano Sousa de Arronches-12622.76
504134-Jussara Varanda-18451.40
711700-Tibefarcio Colao-9288.34
331303-Letedcia Gago-16910.99
999497-Judite Damasceno-8655.00
952119-Judite Damasceno-17301.59
806228-Romo Paranage-19216.20
699331-Leonidas Mafra-18315.51
853740-Esperada Cardoso-8059.80
714465-Gaudancio Fiees-18061.89
350894-Armindo Castalo-14428.22
653071-Esperada Cardoso-17663.26
790478-Joaquim Rufino-11195.54
788370-Estanislau Beserra-6284.02
56328-Moaci Mendoa-14394.01
753834-Micaela Chavez-12658.70
224640-Flamednia Leiria-2301.92
276222-Zungela Ipiranga-11468.92
991933-Henrique Bento-12157.46
344223-Antonio Viegas-13384.60
787969-Romo Paranage-16238.11
507482-Tarrataca Soares-2569.80
399472-Ubaldo Mainha-7927.71
125124-Anfnia Seixas-6330.75
466016-Mercia Caeira-5736.48
307282-Heleedsa Marins-2999.18
824147-Leonidas Mafra-9811.43
477142-Honorina Lira-5469.36
197494-Edgar Carvalheiro-11389.27
898044-Dulce Froes-12282.72
303706-Clarindo Areosa-16220.60
47741-Spnia ou Sonia Guerreiro-14350.83
117930-Domingos Pas-3649.99
258677-Ubaldo Mainha-14881.24
801286-Tibefarcio Colao-531.07
261606-Clarindo Areosa-12204.14
108107-Taercio Mafra-2777.55
630665-Tibofarcio Camacho-12942.32
77669-Nuno Balsemeo-18064.29
753801-Cleusa Goes-4728.44
922584-Ubaldo Mainha-12471.47
902208-Jorgina Bogalho-12771.95
862095-Sidfnio Frois-1818.29
109077-Tibofarcio Camacho-12280.88
431524-Artur Grillo-7494.06
402116-Odete Vasques-1851.84
291039-Oliveira Senchez-8012.92
839285-Celeste Duarte-6804.39
323077-Artur Grillo-9695.16
250699-Honorina Lira-7367.87
450023-Gaudancio Fiees-13207.09
225370-Dulce Froes-501.28
84224-Heleedsa Marins-14769.90
458760-Trajano Fagundes-20990.99
957751-Polibe Olivares-4020.47
79917-Neuza Francia-12544.49
616188-Basilio Pedroso-6612.56
907063-Rodolfo Paz-17510.96
946036-Mercia Caeira-7759.35
414250-Judite Damasceno-10221.86
242453-Quintino Alcantara-15706.36
734352-Antonio Viegas-18958.61
421335-Esperada Cardoso-12854.62
937684-Ubaldo Mainha-1044.37
542078-Delfina Garcia de Gondim-19883.95
68506-Danilo Olaio-5479.91
778574-Basilio Pedroso-12986.07
296742-Flamednia Leiria-2230.30
253675-Zungela Ipiranga-7629.76
727042-Almerinda Palmeira-4299.07
986997-Regina Barcellos-18441.49
988827-Delfina Garcia de Gondim-19578.84
602038-Adelino Barra-20483.05
721428-Sofras Cuaresma-1497.59
939723-Odilia Camello-17853.01
237503-Delfina Perdigon-12618.86
467830-Clara Alcantara-9121.81
470798-Delfina Perdigon-15374.78
85693-Daniel Vieyra-16707.31
635592-Odilia Bello-1339.75
887546-Cleusa Goes-19589.62
775226-Delfina Garcia de Gondim-20239.51
40354-Mercia Caeira-3790.69
283507-Telma Villalobos-6487.91
963445-Tibefarcio Colao-6372.47
554270-Almor Caiado-7464.84
135899-Tarrataca Soares-834.68
324521-Nuno Balsemeo-14569.39
59903-Danilo Olaio-1755.41
771728-Cleusa Goes-13101.77
906952-Odilia Bello-15880.64
191676-Guaraci Damasceno-4323.56
876604-Lina Andrade-18863.96
383071-Adelino Barra-7931.96
648762-Neeamia Arruda-15521.59
732106-Tabalipa Duarte-18567.14
701609-Telma Villalobos-1073.66
368551-Feledcia Peassego-18976.91
29673-Silvio Mata-10082.67
422299-Clara Alcantara-3495.55
306175-Letedcia Gago-3514.62
151947-Branco Saraba-7106.54
981146-Sidfnio Frois-12375.30
363106-Antonio Castelo-18329.13
51959-Domingos Pas-4990.78
987428-Odilia Bello-11688.10
923369-Armindo Castalo-8090.28
811259-Delfim Higuera-3319.13
154600-Ximena Castilho-12749.43
555438-Ubaldo Mainha-10138.82
133013-Fulvio Villegas-18301.88
774870-Odilia Bello-13878.56
288939-Jonatas Felgueiras-17108.37
715576-Antonio Castelo-10307.17
338287-Delfina Garcia de Gondim-21437.69
636869-Honorina Lira-13922.72
649241-Spnia ou Sonia Guerreiro-16701.96
544006-Oliveira Senchez-9135.23
645686-Spnia ou Sonia Guerreiro-5791.94
14183-Zungela Ipiranga-8427.50
937578-Esperada Cardoso-8668.83
322823-Polibe Olivares-921.74
877948-Anfnia Seixas-10984.63
963204-Jorgina Bogalho-14771.79
478015-Jonatas Felgueiras-20215.17
587495-Spnia ou Sonia Guerreiro-21361.54
507398-Eurico Siqueira-15303.19
455685-Almor Caiado-3113.80
317260-Mercia Caeira-3770.25
154500-Nuno Balsemeo-5880.40
356999-Ermelinda Quintela-12939.77
263637-Oliveira Senchez-6988.16
542713-Joaquim Rufino-16606.94
175375-Letedcia Gago-11221.74
41080-Heleedsa Marins-9161.68
675436-Antonio Viegas-15417.56
98575-Micaela Chavez-20202.63
233867-Delfim Higuera-10132.35
892571-Oliveira Carmona-10000.69
745638-Andreia Moita-11082.23
864860-Micaela Chavez-2040.97
866898-Heleedsa Marins-1178.77
42973-Elisa Themes-899.36
198377-Celeste Duarte-18311.11
48686-Delfina Garcia de Gondim-20771.52
415835-Domingos Pas-8243.44
969397-Domingos Pas-16124.42
842263-Basilio Pedroso-18166.76
94790-Artur Grillo-2030.85
372664-Melinda Roserio-16458.31
206421-Armindo Castalo-5452.12
17287-Honorina Lira-20630.79
160788-Judite Damasceno-19966.38
998522-Sofras Cuaresma-14443.53
526395-Ubaldo Mainha-18834.02
738776-Filomena Barrios-10403.34
706806-Basilio Pedroso-10513.03
454237-Letedcia Gago-12991.46
436753-Nuno Balsemeo-20952.40
4319-Odilia Camello-16691.29
311435-Emedlio Pimentel-6088.52
198748-Henrique Bento-2083.86
478951-Tabalipa Duarte-11665.47
178405-Jonatas Felgueiras-8490.61
21542-Anfnia Seixas-3781.04
16738-Zulmira Becerra-6698.43
872132-Sidfnio Frois-11185.50
686300-Sofras Cuaresma-15970.04
176757-Polibe Olivares-9709.57
268779-Sara Lameiras-2404.78
191652-Armanda Amorim-5137.89
842941-Regina Barcellos-19949.88
573191-Tarrataca Soares-5069.83
974431-Carminda Morais-4346.78
728687-Ximena Castilho-14617.00
400997-Almor Caiado-13702.33
407195-Melinda Roserio-9846.21
233031-Armindo Castalo-19173.07
720768-Basilio Pedroso-16900.01
965196-Tarrataca Soares-5057.86
338979-Henrique Bento-104.94
81244-Leonidas Mafra-7493.37
692924-Camila Gabeira-4904.26
883865-Emedlia Silvera-12304.01
619885-Gaudancio Fiees-1186.46
976434-Urbano Rodrigues-11860.47
175938-Rodolfo Paz-11779.70
441554-Mercia Caeira-11457.20
711167-Manuel Capiperibe-2409.57
454235-Emedlio Pimentel-5589.22
675077-Augusta Paio-16212.61
685127-Emedlia Silvera-18893.42
715837-Zulmira Becerra-15715.51
213455-Fulvio Villegas-18344.35
905442-Rebeca Neto-13795.71
296989-Manuel Capiperibe-5850.64
437537-Eurico Siqueira-1207.57
199218-Jorgina Bogalho-11051.98
784685-Emiliana Foquio-8404.26
887047-Antonio Castelo-2973.96
291436-Carminda Morais-18640.71
673151-Odilia Bello-17592.73
907839-Heleedsa Marins-19779.89
52337-Flamednia Leiria-8797.18
630134-Oliveira Senchez-10466.24
337213-Feledcia Peassego-17929.21
607275-Ximena Castilho-1938.75
363867-Liana Cardim-15290.74
840020-Tabalipa Duarte-12733.75
272854-Andreia Moita-11167.78
143917-Honorina Lira-15650.70
275837-Polibe Olivares-4812.59
266209-Estanislau Beserra-7621.67
324310-Letedcia Gago-7507.36
334005-Neeamia Arruda-16773.66
915180-Odete Vasques-15132.20
76973-Anfnia Seixas-14443.43
995322-Moaci Mendoa-5012.23
111781-Armindo Castalo-19770.63
653870-Angilica Galante-18178.53
108527-Tarrataca Soares-5825.13
150831-Clara Alcantara-20397.89
465907-Guaraci Damasceno-16365.71
285946-Anfnia Seixas-9444.12
340755-Letedcia Gago-17977.46
19425-Odete Vasques-12811.77
651648-Lurdes Cotrim-21272.54
642257-Clara Alcantara-1617.66
223176-Honorina Lira-7848.78
179089-Estanislau Beserra-5420.48
429748-Ximena Castilho-18781.57
266589-Tibofarcio Camacho-2148.24
362763-Ubaldo Mainha-16062.90
626110-Armanda Amorim-15880.92
141671-Emedlia Silvera-10399.49
23229-Estanislau Beserra-10084.85
640700-Neuza Francia-11391.37
117713-Carminda Morais-16257.79
818135-Aludsio Sosa-18500.02
98339-Liana Cardim-9376.97
747530-Taercio Mafra-56.44
909627-Liana Cardim-6189.10
376819-Sidfnio Frois-11112.73
931666-Jonatas Felgueiras-974.15
898478-Spnia ou Sonia Guerreiro-4755.57
127614-Flamednia Leiria-17755.80
50605-Zungela Ipiranga-12157.37
228073-Armanda Amorim-2403.71
688044-Henrique Bento-14981.90
25949-Regina Barcellos-5238.04
928360-Liana Cardim-12825.52
987454-Danilo Olaio-619.78
870414-Anfnia Seixas-10493.55
559498-Almor Caiado-15862.86
857006-Neuza Francia-4697.01
103693-Artur Grillo-16448.29
351688-Lina Andrade-20978.79
736287-Odilia Bello-18086.24
416100-Odilia Bello-9388.28
614302-Antonio Viegas-2733.70
26334-Dulce Froes-3542.99
565593-Regina Barcellos-9122.86
531372-Guaraci Damasceno-146.73
770081-Elisa Themes-14152.33
424184-Ximena Castilho-2596.06
635352-Delfim Higuera-18827.10
459518-Manuel Capiperibe-8505.78
504679-Clara Alcantara-4498.30
437603-Danilo Olaio-1587.63
76427-Sidfnio Frois-18273.77
519490-Henrique Bento-20984.03
514321-Nuno Balsemeo-9774.85
3253-Letedcia Gago-12310.17
846753-Taercio Mafra-18227.87
492838-Ermelinda Quintela-7027.27
839987-Danilo Olaio-4938.79
15814-Aludsio Sosa-8243.38
103628-Celeste Duarte-7623.59
815150-Filomena Barrios-5483.13
871128-Armindo Castalo-16803.90
297512-Nuno Balsemeo-3874.26
539014-Odilia Camello-994.56
550385-Urbano Rodrigues-8784.60
751094-Jorgina Bogalho-16263.06
184288-Gaudancio Fiees-17817.99
739677-Tibofarcio Camacho-18146.39
4604-Jussara Varanda-12221.71
363460-Almerinda Palmeira-21022.75
552533-Jorgina Bogalho-19686.06
504275-Sara Lameiras-17599.94
349340-Almor Caiado-17498.08
114062-Urbano Rodrigues-1448.63
364036-Flamednia Leiria-49.30
146984-Ubaldo Mainha-13446.81
232989-Sofras Cuaresma-12843.82
46235-Manuel Capiperibe-836.38
738427-Jorgina Bogalho-17726.42
285434-Cleusa Goes-7595.22
191937-Ximena Castilho-17890.75
411890-Honorina Lira-7250.95
538073-Neeamia Arruda-15424.45
89976-Adelino Barra-20445.59
614624-Odete Vasques-10614.39
82568-Emiliana Foquio-19715.86
889615-Telma Villalobos-1553.35
495901-Clarindo Areosa-6103.82
257763-Armanda Amorim-16831.20
707369-Lurdes Cotrim-20504.05
948345-Ubaldo Mainha-3271.14
795843-Aludsio Sosa-13565.26
670046-Andreia Moita-3765.80
352115-Neuza Francia-20696.70
897416-Cassandra Varejo-928.01
372687-Aludsio Sosa-17668.84
45374-Rodolfo Paz-1282.90
616116-Filomena Barrios-12537.85
308239-Romo Paranage-5155.60
675403-Letedcia Gago-12832.67
564716-Neuza Francia-13642.15
528711-Nuno Balsemeo-5795.28
104367-Guida Juca-6891.98
641024-Almor Caiado-12955.50
736392-Romo Paranage-3959.63
787212-Delfina Perdigon-1428.53
940468-Flamednia Leiria-18808.98
429150-Antonio Castelo-4520.30
815844-Filomena Barrios-2348.55
322627-Taercio Mafra-8545.30
751284-Estanislau Beserra-9230.95
293752-Edgar Carvalheiro-821.40
878274-Camila Gabeira-12042.44
42923-Odilia Bello-15368.86
394026-Filomena Barrios-9771.38
546208-Honorina Lira-5864.42
98389-Spnia ou Sonia Guerreiro-1888.99
940184-Esperada Cardoso-20873.28
83847-Rodolfo Paz-4496.60
270789-Quintino Alcantara-12539.83
757435-Eurico Siqueira-1082.50
459427-Melinda Roserio-16345.44
688959-Anind Zarco-7469.39
632429-Clarindo Areosa-21169.81
125601-Emedlia Silvera-13718.92
582243-Lina Andrade-7519.54
407747-Andreia Moita-20240.53
131134-Joaquim Rufino-10215.09
884872-Flamednia Leiria-11455.93
9905-Artur Grillo-7643.80
665284-Neuza Francia-11611.38
932076-Delfim Higuera-15525.97
822640-Lurdes Cotrim-3708.03
474048-Neeamia Arruda-4524.35
527324-Jonatas Felgueiras-9455.61
718859-Henrique Bento-986.59
868571-Silvio Mata-2020.67
400576-Angelica Aranha-9891.98
293080-Daniel Vieyra-7645.99
845576-Emiliana Foquio-19106.09
380690-Dulce Froes-9867.91
166058-Judite Damasceno-10637.23
528138-Ermelinda Quintela-760.62
312499-Heleedsa Marins-13755.36
111120-Manuel Capiperibe-565.80
801676-Odete Vasques-13912.99
446727-Rebeca Neto-16711.67
177365-Neeamia Arruda-10850.84
417423-Sidfnio Frois-17203.77
250748-Jonatas Felgueiras-18792.23
980835-Melinda Roserio-6681.20
848766-Urbano Rodrigues-3428.02
830320-Cassandra Varejo-3903.30
614457-Fulvio Villegas-15576.43
349958-Taercio Mafra-16667.54
646073-Jussara Varanda-20895.56
601396-Emedlia Silvera-14305.19
623676-Ubaldo Mainha-17136.96
844045-Emedlio Pimentel-18131.13
180081-Jorgina Bogalho-7268.81
641689-Lina Andrade-13668.61
894153-Quintino Alcantara-5992.27
385901-Elisa Themes-21240.57
423222-Eurico Siqueira-20171.88
29219-Mercia Caeira-7310.54
698514-Nuno Balsemeo-13587.00
182669-Adelino Barra-18513.01
350256-Guida Juca-2634.41
601851-Carminda Morais-18792.86
263240-Esperada Cardoso-10209.82
147293-Flor Portella-17466.24
151054-Basilio Pedroso-7480.34
956932-Lina Andrade-12364.20
609417-Artur Grillo-11403.60
904657-Delfim Higuera-18353.89
986476-Melinda Roserio-12306.04
623847-Zulmira Becerra-7173.03
779848-Anind Zarco-19666.53
664548-Basilio Pedroso-17687.71
662667-Andreia Moita-18440.34
57657-Emedlia Silvera-19241.82
830353-Odete Vasques-5298.49
313169-Letedcia Gago-1513.22
885482-Neuza Francia-11789.32
161748-Zungela Ipiranga-8753.53
491927-Flor Portella-9073.39
522092-Antonio Viegas-12169.63
886342-Sidfnio Frois-10872.59
175651-Manuel Capiperibe-844.40
783119-Rebeca Neto-216.19
372476-Telma Villalobos-16256.77
585411-Jussara Varanda-19685.07
348783-Aludsio Sosa-16493.37
48492-Clarindo Areosa-6447.39
107760-Zungela Ipiranga-9719.00
72160-Almor Caiado-12143.92
156556-Almor Caiado-5834.31
543619-Judite Damasceno-9303.17
99955-Judite Damasceno-3710.09
943769-Oliveira Carmona-7847.92
821949-Almor Caiado-10451.65
914491-Elisa Themes-7512.66
339747-Ermelinda Quintela-6511.32
603703-Oliveira Senchez-19811.80
799426-Antonio Viegas-15868.04
864277-Cleusa Goes-13033.93
268381-Domingos Pas-2140.66
151936-Quintino Alcantara-11836.09
294790-Domingos Pas-18837.09
877845-Joaquim Rufino-19356.53
596471-Zungela Ipiranga-10359.91
991974-Lurdes Cotrim-11089.06
411059-Angelica Aranha-5367.62
166897-Ubaldo Mainha-16183.66
177672-Urbano Rodrigues-12376.81
605134-Leonidas Mafra-2700.62
424858-Delfina Garcia de Gondim-17703.30
675288-Neeamia Arruda-5129.99
759119-Micaela Chavez-18802.93
852001-Dulce Froes-16616.88
737053-Gaudancio Fiees-20262.84
303104-Andreia Moita-3047.92
135565-Antonio Viegas-6132.03
99571-Odete Vasques-3058.87
276318-Liana Cardim-275.81
257215-Polibe Olivares-7501.86
630773-Danilo Olaio-15406.11
586253-Armanda Amorim-8348.02
667274-Eurico Siqueira-17105.61
457439-Moaci Mendoa-2439.30
416871-Manuel Capiperibe-15146.67
883869-Elisa Themes-1254.86
256574-Marilda Leio-11226.22
391085-Taercio Mafra-8622.38
407456-Ximena Castilho-13255.14
621467-Emedlia Silvera-19517.71
897395-Sidfnio Frois-18969.19
503621-Celeste Duarte-13750.21
624785-Delfina Perdigon-15696.88
555678-Esperada Cardoso-696.62
174144-Joaquim Rufino-9580.79
109358-Odete Vasques-9759.63
320591-Jonatas Felgueiras-12322.19
251606-Basilio Pedroso-1161.27
69300-Filomena Barrios-13935.34
467698-Emedlio Pimentel-20071.56
568285-Judite Damasceno-795.70
279569-Quintino Alcantara-16760.73
309542-Clarindo Areosa-8672.14
900971-Lina Andrade-16807.70
422209-Cassandra Varejo-14834.60
126662-Zulmira Becerra-1540.86
833785-Almerinda Palmeira-1449.23
646441-Tibofarcio Camacho-20691.75
213257-Tabalipa Duarte-19377.60
810552-Jorgina Bogalho-19257.45
695540-Artur Grillo-6358.29
498994-Urbano Rodrigues-17561.09
839872-Mercia Caeira-18264.18
385448-Branco Saraba-4098.35
593160-Antonio Viegas-20452.58
396233-Artur Grillo-18049.01
645831-Manuel Capiperibe-19617.35
147585-Neuza Francia-14908.97
259876-Danilo Olaio-12546.27
422864-Emedlia Silvera-4309.54
258018-Delfina Perdigon-9716.49
662732-Flor Portella-4786.65
656980-Almerinda Palmeira-3270.21
381899-Edgar Carvalheiro-20864.06
876816-Clarindo Areosa-15315.16
832227-Delfina Garcia de Gondim-17679.12
390193-Camila Gabeira-16240.74
871307-Almerinda Palmeira-1847.38
43527-Flor Portella-18609.98
492506-Tarrataca Soares-16039.37
685941-Delfim Higuera-14207.12
224822-Liana Cardim-13908.91
388718-Augusta Paio-10430.64
970821-Odilia Bello-12444.46
904805-Feledcia Peassego-15283.23
612880-Flamednia Leiria-12306.71
738060-Delfina Garcia de Gondim-5055.78
597778-Zulmira Becerra-16454.49
871181-Urbano Rodrigues-2770.09
287877-Leonidas Mafra-4855.02
658418-Flamednia Leiria-20491.88
678345-Antonio Castelo-13089.29
879356-Lina Andrade-208.34
101324-Lina Andrade-113.21
246048-Cleusa Goes-16902.26
906689-Cassandra Varejo-6603.55
995832-Anfnia Seixas-8740.93
192012-Letedcia Gago-21456.91
610110-Elisa Themes-16710.78
542706-Augusta Paio-7048.83
412664-Telma Villalobos-18255.41
27059-Estanislau Beserra-17097.36
532271-Angilica Galante-8361.32
617983-Guaraci Damasceno-16792.33
149743-Fulvio Villegas-20304.79
4367-Clara Alcantara-12739.02
563139-Lina Andrade-11774.14
699900-Delfina Garcia de Gondim-12176.06
285958-Delfina Perdigon-15792.16
397543-Angilica Galante-19757.59
494459-Jussara Varanda-18636.88
