196677-Filomena Barrios-8892.80
326131-Ermelinda Quintela-4934.46
956535-Odilia Bello-3109.61
130833-Daniel Vieyra-5205.11
933385-Regina Barcellos-19518.94
453454-Marilda Leio-3665.25
195390-Edgar Carvalheiro-4729.91
704770-Antonio Viegas-16848.46
492991-Antonio Viegas-13473.68
800993-Tibofarcio Camacho-2986.21
815706-Clarindo Areosa-10368.18
450949-Liana Cardim-1826.60
672486-Elisa Themes-10876.17
803411-Zulmira Becerra-20317.48
896436-Ubaldo Mainha-17241.97
872617-Emiliana Foquio-1881.67
67232-Odilia Bello-6003.63
394416-Eurico Siqueira-13370.67
353326-Nuno Balsemeo-10410.77
907636-Delfina Garcia de Gondim-12918.78
476928-Antonio Castelo-16456.93
842903-Quintino Alcantara-3046.61
655114-Dulce Froes-18073.33
427847-Camila Gabeira-20231.37
711645-Tarrataca Soares-9505.49
405840-Carminda Morais-5989.38
141726-Spnia ou Sonia Guerreiro-18970.06
351798-Danilo Olaio-10419.16
441090-Lina Andrade-3717.86
898713-Spnia ou Sonia Guerreiro-18966.94
977541-Neuza Francia-17826.87
874253-Honorina Lira-9190.46
947683-Odilia Bello-19467.01
638014-Aludsio Sosa-8816.46
592432-Cleusa Goes-3918.74
260674-Manuel Capiperibe-2817.96
96193-Sidfnio Frois-9179.38
810733-Clara Alcantara-6258.06
592711-Estanislau Beserra-10902.47
451471-Fulvio Villegas-15111.46
704358-Domingos Pas-396.39
167078-Odete Vasques-20075.14
290581-Danilo Olaio-11549.78
263705-Delfina Garcia de Gondim-7171.32
373509-Delfina Garcia de Gondim-5782.41
549134-Celeste Duarte-3150.18
179548-Tibefarcio Colao-1156.30
815632-Lurdes Cotrim-5804.41
884506-Celeste Duarte-8990.34
739498-Gaudancio Fiees-21124.85
804595-Armindo Castalo-12177.06
556725-Sidfnio Frois-20078.73
387848-Tibofarcio Camacho-4926.80
920374-Armanda Amorim-6269.44
98503-Branco Saraba-1388.34
666583-Heleedsa Marins-21263.83
514104-Danilo Olaio-7460.79
331848-Tabalipa Duarte-424.11
438910-Anfnia Seixas-10572.95
309083-Jorgina Bogalho-20150.35
841082-Angilica Galante-5173.56
496095-Estanislau Beserra-4944.29
697431-Jorgina Bogalho-7178.16
876422-Odilia Camello-9867.37
703786-Judite Damasceno-353.52
255604-Celeste Duarte-4030.18
341605-Tabalipa Duarte-2240.49
57983-Spnia ou Sonia Guerreiro-4163.81
731823-Tibefarcio Colao-16058.20
923132-Guida Juca-5876.45
632437-Zulmira Becerra-10204.86
47744-Danilo Olaio-7964.98
852483-Jussara Varanda-19231.96
853589-Angelica Aranha-12605.89
282062-Armanda Amorim-16732.92
60468-Adelino Barra-15920.64
737941-Zungela Ipiranga-13319.22
494029-Taercio Mafra-10084.97
660716-Henrique Bento-12022.29
122508-Telma Villalobos-6646.68
651608-Armanda Amorim-15083.00
536259-Elisa Themes-6558.65
849537-Silvio Mata-1152.33
979292-Lurdes Cotrim-3790.87
362250-Oliveira Carmona-20743.69
96914-Flor Portella-10449.46
849868-Camila Gabeira-15646.84
651567-Regina Barcellos-846.94
833861-Armanda Amorim-9423.55
352012-Rodolfo Paz-8999.94
515102-Emiliana Foquio-19726.45
680567-Emedlio Pimentel-3826.98
344500-Celeste Duarte-9195.48
720686-Ubaldo Mainha-60.43
201899-Sara Lameiras-7764.05
975574-Estanislau Beserra-11185.02
846370-Tabalipa Duarte-14353.52
123188-Moaci Mendoa-19510.04
929420-Armanda Amorim-9343.54
447833-Moaci Mendoa-21387.06
