217311-Eurico Siqueira-257.50
910148-Trajano Fagundes-3473.10
17277-Angilica Galante-14115.32
789421-Moaci Mendoa-14543.05
856312-Delfim Higuera-81.27
261575-Delfim Higuera-2603.65
470720-Cassandra Varejo-8601.59
525075-Melinda Roserio-9120.52
219829-Domingos Pas-7052.03
201291-Elisa Themes-8578.67
213553-Edgar Carvalheiro-7546.00
923946-Melinda Roserio-19625.11
873191-Andreia Moita-10770.44
972799-Dulce Froes-18348.34
422865-Clarindo Areosa-15942.06
66044-Henrique Bento-20544.68
671671-Sidfnio Frois-13164.55
559943-Zulmira Becerra-1354.96
421959-Gaudancio Fiees-10507.16
635441-Zungela Ipiranga-11799.17
341374-Neuza Francia-5966.47
313959-Sidfnio Frois-18415.71
596575-Quintino Alcantara-19054.45
411080-Fulvio Villegas-3339.34
563163-Polibe Olivares-10493.56
325486-Sara Lameiras-14264.23
453037-Antonio Viegas-11036.10
255873-Melinda Roserio-7546.87
110671-Zungela Ipiranga-18451.09
168917-Oliveira Carmona-2092.61
610169-Angilica Galante-61.18
651737-Sofras Cuaresma-12614.32
236473-Almor Caiado-275.45
348952-Cleusa Goes-20109.56
327649-Leonidas Mafra-760.36
512526-Tabalipa Duarte-6733.61
681509-Tarrataca Soares-19158.14
821671-Ermelinda Quintela-3685.86
458087-Trajano Fagundes-12386.97
810586-Taercio Mafra-9363.82
596813-Neeamia Arruda-3195.09
30320-Aludsio Sosa-1426.77
551405-Micaela Chavez-2209.14
33261-Liana Cardim-16312.62
448685-Branco Saraba-19135.90
736896-Lurdes Cotrim-5146.19
447584-Taercio Mafra-16363.01
285126-Adelina Quadros-1526.39
809463-Delfina Perdigon-4940.97
958908-Delfim Higuera-15639.07
368902-Ubaldo Mainha-2470.20
897172-Honorina Lira-14350.51
857676-Rodolfo Paz-5271.18
879693-Augusta Paio-15761.52
374305-Guaraci Damasceno-6211.17
388322-Anind Zarco-8588.54
279935-Delfim Higuera-15683.01
502181-Cassandra Varejo-17055.86
310933-Heleedsa Marins-20253.96
816862-Basilio Pedroso-778.71
221589-Urbano Rodrigues-3672.40
651636-Urbano Rodrigues-7521.37
242388-Andreia Moita-3465.11
746669-Cleusa Goes-13253.91
29785-Edgar Carvalheiro-14047.65
419384-Sidfnio Frois-6606.70
427992-Odilia Bello-19139.50
253471-Emedlia Silvera-6379.68
717492-Armindo Castalo-14962.79
794493-Zungela Ipiranga-14326.12
778709-Eurico Siqueira-13833.50
783305-Adelino Barra-16680.02
354953-Telma Villalobos-2817.61
45058-Daniel Vieyra-17405.08
886882-Armanda Amorim-12330.54
878166-Danilo Olaio-6729.89
206750-Oliveira Carmona-5749.34
352923-Aludsio Sosa-4277.04
601810-Camila Gabeira-3839.37
762875-Ubaldo Mainha-9377.32
795026-Micaela Chavez-15055.11
67167-Odete Vasques-1868.10
992820-Moaci Mendoa-5641.65
913311-Romo Paranage-10172.10
257388-Sara Lameiras-9746.13
850300-Odilia Bello-10574.92
145778-Jorgina Bogalho-21246.98
391053-Leonidas Mafra-14495.68
604657-Angilica Galante-7376.86
613875-Adelino Barra-20144.49
751922-Joaquim Rufino-10627.60
756739-Lina Andrade-3973.44
763611-Odilia Camello-7703.36
531277-Trajano Fagundes-3807.66
322759-Zungela Ipiranga-5540.23
684194-Carminda Morais-5473.90
34966-Filomena Barrios-10215.36
319419-Eurico Siqueira-17429.27
823730-Guida Juca-12020.48
749037-Sara Lameiras-8951.78
438891-Ximena Castilho-1074.46
122943-Quintiliano Sousa de Arronches-2222.03
133556-Quintino Alcantara-7599.67
309329-Filomena Barrios-20024.98
211674-Taercio Mafra-13953.37
727473-Honorina Lira-1715.38
251245-Emiliana Foquio-11515.73
473387-Clara Alcantara-6154.08
295880-Carminda Morais-11382.32
287828-Tibofarcio Camacho-9564.98
761164-Esperada Cardoso-10079.36
994561-Daniel Vieyra-6505.76
571538-Oliveira Carmona-712.26
484917-Heleedsa Marins-19815.35
680711-Silvio Mata-9562.63
899958-Camila Gabeira-1175.07
509309-Mercia Caeira-5227.58
170895-Emedlio Pimentel-17.48
275769-Spnia ou Sonia Guerreiro-40.44
428588-Polibe Olivares-12673.32
759579-Jussara Varanda-15110.93
53370-Romo Paranage-17980.87
550347-Micaela Chavez-3781.75
14121-Domingos Pas-1691.76
492322-Neeamia Arruda-15518.57
307709-Elisa Themes-7852.73
177179-Flamednia Leiria-5642.99
619346-Tibefarcio Colao-19104.70
986335-Celeste Duarte-1242.62
585522-Domingos Pas-7026.91
682298-Aludsio Sosa-2459.67
231906-Esperada Cardoso-10090.20
357288-Antonio Castelo-10665.70
224706-Jorgina Bogalho-11785.84
627136-Liana Cardim-12000.77
292605-Clara Alcantara-3789.01
981290-Guaraci Damasceno-10340.78
428085-Camila Gabeira-222.14
622729-Liana Cardim-1062.00
861102-Spnia ou Sonia Guerreiro-2767.86
947385-Zungela Ipiranga-14904.68
126389-Delfina Perdigon-4602.16
909027-Leonidas Mafra-21315.73
866839-Letedcia Gago-1333.15
517444-Domingos Pas-7419.42
25203-Armanda Amorim-6187.51
806426-Odilia Camello-20287.32
403125-Edgar Carvalheiro-11996.76
469843-Delfim Higuera-2808.15
315054-Urbano Rodrigues-14236.77
850994-Antonio Castelo-16006.24
353593-Sofras Cuaresma-1752.67
392575-Zungela Ipiranga-10931.76
1933-Carminda Morais-4375.59
195790-Delfim Higuera-5250.76
982820-Eurico Siqueira-7601.02
187084-Ubaldo Mainha-19279.08
469409-Tabalipa Duarte-2978.27
449142-Antonio Castelo-20752.97
145321-Emedlio Pimentel-9421.29
627117-Zulmira Becerra-18959.80
93180-Heleedsa Marins-8878.50
775417-Rebeca Neto-10742.42
547468-Heleedsa Marins-13742.44
634039-Marilda Leio-8189.56
662266-Edgar Carvalheiro-6084.55
957458-Polibe Olivares-11216.42
984554-Guida Juca-12451.12
204342-Melinda Roserio-10010.77
755905-Emedlia Silvera-4957.39
467641-Honorina Lira-58.83
835991-Lurdes Cotrim-10219.76
470992-Zulmira Becerra-18567.51
281672-Branco Saraba-3468.15
167573-Domingos Pas-9204.49
613436-Marilda Leio-246.28
677168-Elisa Themes-4255.85
165196-Lurdes Cotrim-20045.70
480645-Emiliana Foquio-16662.90
609709-Delfina Perdigon-18390.46
383796-Tibefarcio Colao-17990.30
137548-Emedlio Pimentel-9993.83
257261-Henrique Bento-17628.54
619160-Edgar Carvalheiro-8876.52
741529-Andreia Moita-9588.19
820159-Fulvio Villegas-3539.49
870574-Flor Portella-19806.26
563508-Guida Juca-13243.08
884721-Guaraci Damasceno-8303.05
283355-Joaquim Rufino-4264.31
421084-Zulmira Becerra-10548.15
957729-Estanislau Beserra-3164.68
470117-Odilia Camello-12467.26
733667-Rebeca Neto-6248.61
328551-Antonio Viegas-19726.03
372457-Quintiliano Sousa de Arronches-18139.39
560354-Micaela Chavez-7573.26
816998-Heleedsa Marins-20718.90
675999-Romo Paranage-5602.91
825346-Cleusa Goes-15185.74
537298-Marilda Leio-11475.12
795848-Judite Damasceno-16004.69
436988-Jussara Varanda-17519.39
